type,basisOfRecord,institutionCode,collectionCode,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,eventDate,year,month,day,country,stateProvince,municipality,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,identifiedBy,dateIdentified,typeStatus,scientifname,kingdom,phylum,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,modified,occurrenceID_GBIF,rightsHolder
Collection,PreservedSpecimen,RB,RB,141105,"Epífita ou terrestre, ciófila à semi-heliófila, folhas verdes concolores com bainha alvacenta; infl. passada com escapo verde, brácteas escapais verdes, brácteas primárias verdes; frutos passados castanhos; em cultivo no JBRJ.",15761,"Martinelli, G.",30/09/1999,1999,9,30,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho, estrada entre Ibatinga e Sete Barras, SP 139.",NA,NA,-24.0938889,-48.0025,E. Leme & C. M. Vieira,Jul-02,,Nidularium krisgreeniae Leme,Plantae,NA,BROMELIACEAE,Nidularium,krisgreeniae,,specie,Leme,15/10/2017,urn:catalog:RB:141105,RB
Collection,PreservedSpecimen,RB,RB,141109,"Epífita, ciófila, frequente, folhas concolores com bainha alvacenta; infl. com escapo verde, brácteas escapais verde avermelhadas; brácteas primárias vermelhas; flores com ovário verde-alvacento; brácteas florais alvacentas; pétalas verdes com margens verde-alvacentas; em cultivo no JBRJ.",15766,"Martinelli, G.",30/09/1999,1999,9,30,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho, estrada entre Ibatinga e Sete Barras, SP-139.",NA,NA,-24.1652777,-48.1952777,E.M.C. Leme & C. Vieira,Jul-02,,Nidularium krisgreeniae Leme,Plantae,NA,BROMELIACEAE,Nidularium,krisgreeniae,,specie,Leme,15/10/2017,urn:catalog:RB:141109,RB
Collection,PreservedSpecimen,RB,RB,141128,"Epífita, ciófila à semi-heliófila, frequente, folhas verde concolores com ápice vinoso; bainha castanha e parte superior vinosa; infrut. com escapo verde-avermelhada, brácteas escapais inferiores verde avermelhada, superiores vermelhas; brácteas primárias inferiores vermelhas, superiores paleáceas; ramos verdes; brácteas florais passadas de cor castanho-paleáceao, frutos maduros castanhos.",15791,"Martinelli, G.",01/10/1999,1999,10,1,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.2922222,-48.1716666,C.M. Vieira,Oct-02,,Vriesea philippocoburgii Wawra,Plantae,NA,BROMELIACEAE,Vriesea,philippocoburgii,,specie,Wawra,15/10/2017,urn:catalog:RB:141128,RB
Collection,PreservedSpecimen,RB,RB,766524,"Arvoreta, ca. 6m alt., flores brancas com odor, tronco avermelhado.",914,P.L.R. de Moraes,22/04/1994,1994,4,22,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,F.F. Masine,2003,,Eugenia cerasiflora Miq.,Plantae,NA,MYRTACEAE,Eugenia,cerasiflora,,specie,Miq.,08/07/2014,urn:catalog:RB:766524,RB
Collection,PreservedSpecimen,RB,RB,862110,"Arviretam mais ou menos 7m de altura, flores brancas",637,P.L.R. de Moraes,18/01/1992,1992,1,18,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,V.C. Souza,16/07/1993,,Schinus terebinthifolius Raddi,Plantae,NA,ANACARDIACEAE,Schinus,terebinthifolius,,specie,Raddi,14/07/2014,urn:catalog:RB:862110,RB
Collection,PreservedSpecimen,RB,RB,789173,Flores brancas.,1282,"Moraes, P. L. R. de",04/10/1996,1996,10,4,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos botelho.,NA,NA,NA,NA,,,,Rhipsalis juengeri Barthlott & N.P.Taylor,Plantae,NA,CACTACEAE,Rhipsalis,juengeri,,specie,Barthlott & N.P.Taylor,25/07/2014,urn:catalog:RB:789173,RB
Collection,PreservedSpecimen,RB,RB,939243,"Arvoreta de mais ou menos 6m de altura, beira de estrada de serviço",420,P.L.R. de Moraes,1989-1,1989,1,NA,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,R.R. Rodrigues,,,Dodonaea viscosa Jacq.,Plantae,NA,SAPINDACEAE,Dodonaea,viscosa,,specie,Jacq.,11/10/2017,urn:catalog:RB:939243,RB
Collection,PreservedSpecimen,RB,RB,940534,"Árvore ca 15 m, com cheiro de Terebentina",2224,L.R. Pedro de Moraes,28/08/2000,2000,8,28,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.05,-47.9833333,D. Daly,2014,,Protium kleinii Cuatrec.,Plantae,NA,BURSERACEAE,Protium,kleinii,,specie,Cuatrec.,31/03/2015,urn:catalog:RB:940534,RB
Collection,PreservedSpecimen,RB,RB,1033363,"CB: A3-07. Sprawling tree to 5m., spreading to a width of c. 3m. from 2 principal trunks. Flowers entirely white",81,E.J. Lucas,25/01/2003,2003,1,25,Brasil,São Paulo,,Carlos Botelho.,NA,NA,NA,NA,,,,Marlierea eugeniopsoides ( D.Legrand & Kausel) D.Legrand,Plantae,NA,MYRTACEAE,Marlierea,eugeniopsoides,,specie,( D.Legrand & Kausel) D.Legrand,01/02/2016,urn:catalog:RB:1033363,RB
Collection,PreservedSpecimen,RB,RB,1024627,,399,T.N.C. Vasconcelos,08/10/2014,2014,10,8,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.0577778,-47.9825,DFLIMA,Jul-16,,Myrcia splendens (Sw.) DC.,Plantae,NA,MYRTACEAE,Myrcia,splendens,,specie,(Sw.) DC.,14/10/2017,urn:catalog:RB:1024627,RB
