type,basisOfRecord,institutionCode,collectionCode,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,eventDate,year,month,day,country,stateProvince,municipality,locality,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,identifiedBy,dateIdentified,typeStatus,scientifname,kingdom,phylum,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,modified,occurrenceID_GBIF,rightsHolder
Collection,PreservedSpecimen,RB,RB,42336,"árvore ca. 8m, frutos imaturos, área aberta.",971,P.L.R. Morais,,NA,NA,NA,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,J.C. Lopes,2011,,Annona dolabripetala Raddi,Plantae,NA,ANNONACEAE,Annona,dolabripetala,,specie,Raddi,08/07/2014,urn:catalog:RB:42336,RB
Collection,PreservedSpecimen,RB,RB,137856,Trepadeira sobre árv. dominante ca. de 25m fr. Verdes.,948,P. L. R. Morais,23/04/1994,1994,4,23,Brasil,São Paulo,São Miguel Arcanjo,PArq. Estad. de Carlos Botelho.,NA,NA,NA,NA,A .Vaz,28/12/1994,,Bauhinia microstachya (Raddi) J.F.Macbr.,Plantae,NA,LEGUMINOSAE,Bauhinia,microstachya,,specie,(Raddi) J.F.Macbr.,22/07/2014,urn:catalog:RB:137856,RB
Collection,PreservedSpecimen,RB,RB,141119,"Epifita, ciófila, pouco frequente, folhas verdes concolores, bainha castanha; brácteas primárias vermelho-vivo; flores passadas com ovário alvo, sépalas alvacentas com ápice lilás, em cultivo no JBRJ.",15778,"Martinelli, G.",01/10/1999,1999,10,1,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho. Mata Atlantica de encosta.,NA,NA,-24.0861111,-47.9441667,E. Leme & C. M. Vieira,01/07/2002,,Nidularium campo-alegrense Leme,Plantae,NA,BROMELIACEAE,Nidularium,campo-alegrense,,specie,Leme,15/10/2017,urn:catalog:RB:141119,RB
Collection,PreservedSpecimen,RB,RB,141122,"Erva epifita, ciófila,folhas verdes concolores com máculas verde-escuras; bainha castanho-claras; infl. passada de cor paleácea.",15782,G. Martinelli,01/10/1999,1999,10,1,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho. Mata Atlantica de encosta.,NA,NA,-24.0827778,-47.9316667,C. M. Vieira,01/07/2002,,Wittrockia cyathiformis (Vell.) Leme,Plantae,NA,BROMELIACEAE,Wittrockia,cyathiformis,,specie,(Vell.) Leme,15/10/2017,urn:catalog:RB:141122,RB
Collection,PreservedSpecimen,RB,RB,738787,"Árvore, ca. 5m. Botões creme",3333,P.L.R. de Moraes,02/09/2011,2011,9,2,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho. Estrada de Serviço, próximo ao Mirante.",NA,NA,NA,NA,A. Peixoto,16/12/2012,,Mollinedia schottiana (Spreng.) Perkins,Plantae,NA,MONIMIACEAE,Mollinedia,schottiana,,specie,(Spreng.) Perkins,08/07/2014,urn:catalog:RB:738787,RB
Collection,PreservedSpecimen,RB,RB,767114,"Arvoreta, ca 6m alt.; frutos verdes",1184,P.L.R. de Moraes,02/05/1995,1995,5,2,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,M.L. Kawasaki,,,Myrcia pubipetala Miq.,Plantae,NA,MYRTACEAE,Myrcia,pubipetala,,specie,Miq.,08/07/2014,urn:catalog:RB:767114,RB
Collection,PreservedSpecimen,RB,RB,808599,"Epífita e terrestre, coletada a 15m de alt.; Sépala roxa pétala amarela",387,S. M. Gomes et. al.;,20/04/2002,2002,4,20,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual de Carlos Botelho, Núcleo Sete Barras.",NA,NA,-24.0666667,-47.9666667,A. O. Araujo,Apr-02,,Nematanthus striatus (Handro) Chautems,Plantae,NA,GESNERIACEAE,Nematanthus,striatus,,specie,(Handro) Chautems,08/07/2014,urn:catalog:RB:808599,RB
Collection,PreservedSpecimen,RB,RB,1074660,Arvoreta 2 m alt.;,392,T.N.C. Vasconcelos,08/10/2014,2014,10,8,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.05,-47.8166667,E.J. Lírio,Dec-15,,Mollinedia triflora (Spreng.) Tul.,Plantae,NA,MONIMIACEAE,Mollinedia,triflora,,specie,(Spreng.) Tul.,19/10/2017,urn:catalog:RB:1074660,RB
Collection,PreservedSpecimen,RB,RB,1077242,"Árvore ca. 15m alt., frutos verdes, estrada do Delfino",1207,P.L.R. de Moraes,03/03/1995,1995,3,3,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,,,,Vitex,Plantae,NA,LAMIACEAE,Vitex,,,genus,,29/02/2016,urn:catalog:RB:1077242,RB
Collection,PreservedSpecimen,RB,RB,1049661,Árvore n. 8543 (Parcela PECB - Número da placa 8543),30005,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho.,NA,NA,-24.1913889,-47.9247223,J.C. Lopes,2012,,Annona dolabripetala Raddi,Plantae,NA,ANNONACEAE,Annona,dolabripetala,,specie,Raddi,19/10/2017,urn:catalog:RB:1049661,RB
Collection,PreservedSpecimen,RB,RB,1187973,#,1186,L.R. Pedro de Moraes,02/03/1995,1995,3,2,Brasil,São Paulo,São Miguel Arcanjo,Parque Estacional de Carlos Botelho,NA,NA,NA,NA,M.A. Pinho- Ferreira,22/12/2005,,Psychotria suterella Müll.Arg.,Plantae,NA,RUBIACEAE,Psychotria,suterella,,specie,Müll.Arg.,24/10/2017,urn:catalog:RB:1187973,RB
Collection,PreservedSpecimen,RB,RB,1188023,#,30288,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual de Carlos Botelho. Floresta Ombrófila Densa Submontana.,NA,NA,-24.1913889,-47.9247223,,,,Psychotria suterella Müll.Arg.,Plantae,NA,RUBIACEAE,Psychotria,suterella,,specie,Müll.Arg.,24/10/2017,urn:catalog:RB:1188023,RB
Collection,PreservedSpecimen,RB,RB,1122328,Árvore no. 6863,30176,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho,NA,NA,-24.1913889,-47.9247223,,,,Myrcia tijucensis Kiaersk.,Plantae,NA,MYRTACEAE,Myrcia,tijucensis,,specie,Kiaersk.,18/10/2017,urn:catalog:RB:1122328,RB
Collection,PreservedSpecimen,RB,RB,1135049,,806,F.F. Mazine,25/01/2003,2003,1,25,Brasil,São Paulo,Sete Barras,Parque estadual de Carlos Botelho-,NA,NA,NA,NA,,,,Neomitranthes glomerata (D.Legrand) D.Legrand,Plantae,NA,MYRTACEAE,Neomitranthes,glomerata,,specie,(D.Legrand) D.Legrand,17/10/2017,urn:catalog:RB:1135049,RB
Collection,PreservedSpecimen,RB,RB,1214912,#,627,R.G. Udulitsch,22/04/2002,2002,4,22,Brasil,São Paulo,Sete Barras,Parque Estadual de Carlos Botelho. Estrada Estadual São Miguel Arcanjo.,NA,NA,-24.1836111,-47.9941666,V.C. Souza,2002,,Elephantopus mollis Kunth,Plantae,NA,ASTERACEAE,Elephantopus,mollis,,specie,Kunth,15/10/2017,urn:catalog:RB:1214912,RB
Collection,PreservedSpecimen,RB,RB,1220940,#,45,P.L. de Moraes,04/04/1990,1990,4,4,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho,NA,NA,NA,NA,R.B. Tome,28/08/1997,,Trema micrantha (L.) Blume,Plantae,NA,ULMACEAE,Trema,micrantha,,specie,(L.) Blume,24/10/2017,urn:catalog:RB:1220940,RB
Collection,PreservedSpecimen,RB,RB,1221148,#,30072,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,"Parcela Permanente, Parque Estadual de Carlos Botelho.",NA,NA,-24.1830556,-47.9247223,,,,Citronella paniculata (Mart.) R.A.Howard,Plantae,NA,ICACINACEAE,Citronella,paniculata,,specie,(Mart.) R.A.Howard,18/10/2017,urn:catalog:RB:1221148,RB
Collection,PreservedSpecimen,RB,RB,933923,Arvoreta com frutos verdes.,1149,P.L.R. de Moraes,19/01/1995,1995,1,19,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,Sandra Knapp ,2018,,Solanum melissarum Bohs,Plantae,NA,SOLANACEAE,Solanum,melissarum,,specie,Bohs,04/04/2018,urn:catalog:RB:933923,RB
Collection,PreservedSpecimen,RB,RB,420183,"Arvoreta, flores brancas, ca. de 6 m de altura.",638,Pedro L. R. de Moraes,18/01/1992,1992,1,18,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,,2019,,Myrceugenia,Plantae,NA,MYRTACEAE,Myrceugenia,,,genus,,06/09/2019,urn:catalog:RB:420183,RB
Collection,PreservedSpecimen,RB,RB,810978,"Trepadeira sobre árvore dominante ca. de 25m (Chrysophyllum viride Mart. & Eichl. ex Miq.), frutos verdes",948,P.L.R. Moraes,23/04/1994,1994,4,23,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,J. Kuntz,11/11/2019,,Schnella microstachya Raddi,Plantae,NA,LEGUMINOSAE,Schnella,microstachya,,specie,Raddi,19/11/2019,urn:catalog:RB:810978,RB
Collection,PreservedSpecimen,RB,RB,128898,"Árvore nº 138, frutos maduros amarelos.",1012,P. L. R. de Moraes,29/06/1994,1994,6,29,Brasil,São Paulo,São Miguel Arcanjo,Pq. Est. Carlos Botelho.,NA,NA,NA,NA,Pedro Moraes,03/02/2009,,Cryptocarya mandioccana Meisn.,Plantae,NA,LAURACEAE,Cryptocarya,mandioccana,,specie,Meisn.,22/07/2014,urn:catalog:RB:128898,RB
Collection,PreservedSpecimen,RB,RB,308885,"árvore de +/- 6 m de altura, tronco com escamas, frutos verdes, ao lado do  barracão",476,"Moraes, Pedro Luis R. de",1991,1991,NA,30,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,,,,Eugenia subavenia O.Berg,Plantae,NA,MYRTACEAE,Eugenia,subavenia,,specie,O.Berg,04/10/2017,urn:catalog:RB:308885,RB
Collection,PreservedSpecimen,RB,RB,128612,"Árvore n°. 326 - ca. 25m de alt., com frutos imaturos",1269,Pedro L.R. de Moraes,02/03/1996,1996,3,2,Brasil,São Paulo,,Parque E. Carlos Botelho - Mun. São Miguel Arcanjo.,NA,NA,NA,NA,Pedro Moraes,03/02/2009,,Cryptocarya mandioccana Meisn.,Plantae,NA,LAURACEAE,Cryptocarya,mandioccana,,specie,Meisn.,22/07/2014,urn:catalog:RB:128612,RB
Collection,PreservedSpecimen,RB,RB,336318,"Arvoreta, 4 m de altura, flores brancas,",700,"Moraes, Pedro L. R. de",06/07/1992,1992,7,6,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,M.R. Barbosa,2007,,Chomelia brasiliana A.Rich.,Plantae,NA,RUBIACEAE,Chomelia,brasiliana,,specie,A.Rich.,22/07/2014,urn:catalog:RB:336318,RB
Collection,PreservedSpecimen,RB,RB,298711,,1176,"Moraes, Pedro L.R.",19/01/1995,1995,1,19,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,,,,Peperomia,Plantae,NA,PIPERACEAE,Peperomia,,,genus,,08/07/2014,urn:catalog:RB:298711,RB
Collection,PreservedSpecimen,RB,RB,420335,"Árvore ca. 25 cm de altura, tronco esbranquiçado, escamante, frutos alaranjados.",976,P. L. R. de Moraes,21/05/1994,1994,5,21,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,L.H. Soares-Silva,May-07,,Eugenia speciosa Cambess.,Plantae,NA,MYRTACEAE,Eugenia,speciosa,,specie,Cambess.,08/07/2014,urn:catalog:RB:420335,RB
Collection,PreservedSpecimen,RB,RB,141124,"Epífita, ciófila, folhas verde concolores com máculas verde-escuras; bainha castanho claro; infl. jovem com escapo castanho-vinoso com indumento, brácteas escapais alvacentas; brácteas primárias róseo-alvacento, flores com botões verde-alvacento; em cultivo no JBRJ.",15784,"Martinelli, G.",01/10/1999,1999,10,1,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.2308334,-48.0775,C.M. Vieira,Jul-02,,Wittrockia cyathiformis (Vell.) Leme,Plantae,NA,BROMELIACEAE,Wittrockia,cyathiformis,,specie,(Vell.) Leme,15/10/2017,urn:catalog:RB:141124,RB
Collection,PreservedSpecimen,RB,RB,311304,"Arvoreta, subosque, estames esbrenquiçados, tronco cinza sem escamas.",818,"Moraes, Pedro Luís R. de",28/03/1993,1993,3,28,Brasil,São Paulo,,Município de São Miguel Arcanjo - Parque Estadual Carlos Botelho. Fazenda Intervales - Núcleo Saibadela - Sete Barras.,NA,NA,NA,NA,,,,Myrceugenia myrcioides (Cambess.) O.Berg,Plantae,NA,MYRTACEAE,Myrceugenia,myrcioides,,specie,(Cambess.) O.Berg,22/07/2014,urn:catalog:RB:311304,RB
Collection,PreservedSpecimen,RB,RB,786354,"Árvore no. 5606; fruto, caule irregular, não descamante (Parque PECB - Número da placa 5606).",525,"Duarte, A. R. ",,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho. .,NA,NA,-24.1913889,-47.9247223,,,,Eugenia verticillata (Vell.) Angely,Plantae,NA,MYRTACEAE,Eugenia,verticillata,,specie,(Vell.) Angely,18/10/2017,urn:catalog:RB:786354,RB
Collection,PreservedSpecimen,RB,RB,671269,,717,"Moraes, Pedro L.R. de",10/09/1992,1992,9,10,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,F.L.R. Filardi,Jul-13,,Machaerium debile (Vell.) Stellfeld,Plantae,NA,LEGUMINOSAE,Machaerium,debile,,specie,(Vell.) Stellfeld,07/07/2014,urn:catalog:RB:671269,RB
Collection,PreservedSpecimen,RB,RB,857390,,335,R.A.F. Lima,24/04/2006,2006,4,24,Brasil,São Paulo,São Miguel Arcanjo,Beira de estrada ( Km 76 - SP 139) - Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,R. Goldenberg,2014,,Miconia latecrenata (DC.) Naudin,Plantae,NA,MELASTOMATACEAE,Miconia,latecrenata,,specie,(DC.) Naudin,18/10/2017,urn:catalog:RB:857390,RB
Collection,PreservedSpecimen,RB,RB,828130,Árvore de 8m de alt.; flores brancas; beira de estrada,381,L.R. Pedro Moraes et. al.;,13/01/1991,1991,1,13,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho;.,NA,NA,NA,NA,,,,Dalbergia brasiliensis Vogel,Plantae,NA,LEGUMINOSAE,Dalbergia,brasiliensis,,specie,Vogel,23/01/2015,urn:catalog:RB:828130,RB
Collection,PreservedSpecimen,RB,RB,1024623,,395,T.N.C. Vasconcelos,08/10/2014,2014,10,8,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.0577778,-47.9825,,,,Myrcia splendens (Sw.) DC.,Plantae,NA,MYRTACEAE,Myrcia,splendens,,specie,(Sw.) DC.,14/10/2017,urn:catalog:RB:1024623,RB
Collection,PreservedSpecimen,RB,RB,936342,Pétalas e sépalas brancas; estames amarelos,332,R.A.F. de Lima,13/06/2004,2004,6,13,Brasil,São Paulo,Sete Barras,Beira de estrada (Km 47 - SP 139) - Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,,,,Solanum swartizianum Rem. & Schult.,Plantae,NA,SOLANACEAE,Solanum,swartizianum,,specie,Rem. & Schult.,14/10/2017,urn:catalog:RB:936342,RB
Collection,PreservedSpecimen,RB,RB,1184223,Árvore de ca. 6 m de altura,47,P.L.R. Moraes,04/04/1990,1990,4,4,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho,NA,NA,NA,NA,R.R. Rodrigues,16/06/1990,,Rapanea ferruginea (Ruiz & Pav.) Mez,Plantae,NA,PRIMULACEAE,Rapanea,ferruginea,,specie,(Ruiz & Pav.) Mez,18/10/2017,urn:catalog:RB:1184223,RB
Collection,PreservedSpecimen,RB,RB,1182211,#,49,Moraes,,NA,NA,NA,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho,NA,NA,NA,NA,M.S. Ferrucci,2001,,Cupania oblongifolia Mart.,Plantae,NA,SAPINDACEAE,Cupania,oblongifolia,,specie,Mart.,24/10/2017,urn:catalog:RB:1182211,RB
Collection,PreservedSpecimen,RB,RB,1184375,Erva de 70 cm de altura. Flores brancas,641,R. Faria,21/04/2002,2002,4,21,Brasil,São Paulo,Sete Barras,"Parque Estadual de Carlos Botelho, núcleo Sete Barras, estrada Estadual São Miguel Arcanjo - Sete Barras (SP-139)",NA,NA,-24.1413889,-47.9941666,V.C. Souza,2002,,Rubus rosaefolius Sm.,Plantae,NA,ROSACEAE,Rubus,rosaefolius,,specie,Sm.,18/10/2017,urn:catalog:RB:1184375,RB
Collection,PreservedSpecimen,RB,RB,1119364,Árvore no. 151,30138,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela Permanente - Parque Estadual de Carlos Botelho,NA,NA,-24.1913889,-47.9247223,,,,Eugenia oblongata O.Berg,Plantae,NA,MYRTACEAE,Eugenia,oblongata,,specie,O.Berg,18/10/2017,urn:catalog:RB:1119364,RB
Collection,PreservedSpecimen,RB,RB,420181,"Árvore de mais ou menos 6 m de altura, tronco cinza liso, sem placas, (mesma espécie 737).",738,Pedro L. R. de Moraes,17/11/1992,1992,11,17,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,A.GIARETTA,Aug-17,,Eugenia brevistyla D.Legrand,Plantae,NA,MYRTACEAE,Eugenia,brevistyla,,specie,D.Legrand,23/08/2017,urn:catalog:RB:420181,RB
Collection,PreservedSpecimen,RB,RB,596664,"Folhas verdes,bracteas escapais verde-rosadas, escapo verde e eixo da inflorescência também verde. Bráctea floral e sepala róseas, pétalas, estames e estigma e estilete amarelos. O ovário esverdeado e flor de antese noturna com odor de alho. Brácteas com substância pegajosa (com cheiro característico) em seu interior.",15768,G. Martinelli,30/09/1999,1999,9,30,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho, estrada entre Ibatinga e Sete Barras, SP 139.",NA,NA,-23.8783334,-47.9972222,I.M.Vessous,27/08/2019,,Vriesea platynema var. rosea (hortus ex Antoine) Mez,Plantae,NA,BROMELIACEAE,Vriesea,platynema,rosea,var.,Gaudich.,09/09/2019,urn:catalog:RB:596664,RB
Collection,PreservedSpecimen,RB,RB,820811,Árvore no. 6621,30017,V.C. Souza,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho.,NA,NA,-24.1913889,-47.9247223,,,,Copaifera trapezifolia Hayne,Plantae,NA,LEGUMINOSAE,Copaifera,trapezifolia,,specie,Hayne,19/10/2017,urn:catalog:RB:820811,RB
Collection,PreservedSpecimen,RB,RB,1002831,Árvore de 7m. Frutos de coloração pêssego,207,A.P. Savassi,19/04/2002,2002,4,19,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual de Carlos Botelho, Núcleo S.M. Arcanjo.",NA,NA,-24.0583333,-47.9897222,L.C. Bernacci et S.L. Jung-Mendaçolli,,,Rapanea gardneriana (A. DC.) Mez,Plantae,NA,PRIMULACEAE,Rapanea,gardneriana,,specie,(A. DC.) Mez,28/09/2015,urn:catalog:RB:1002831,RB
Collection,PreservedSpecimen,RB,RB,128943,"Árvore 20m, DAP 56,02cm, inicio de dispersão",2434,Pedro L.R.de Morães,21/05/2001,2001,5,21,Brasil,São Paulo,Piracicaba,"Parque Estadual Carlos Botelho, Raizão, Sete Barras.",NA,NA,-24.1830556,-47.9241667,Pedro Moraes,03/02/2009,,Cryptocarya mandioccana Meisn.,Plantae,NA,LAURACEAE,Cryptocarya,mandioccana,,specie,Meisn.,22/07/2014,urn:catalog:RB:128943,RB
Collection,PreservedSpecimen,RB,RB,305746,,,Pedro Luiz Rodrigues de Moraes,,NA,NA,NA,Brasil,São Paulo,,"Parque Estadual Carlos Botelho. Sul do Estado. Áreas dos Mun. de São Miguel Arcanjo, Capão Bonito e Sete Barros, ao longo da chamada Escarpa Atlântica; Serra de Paranapiacaba. Área de 37432,43 ha.",NA,NA,-24.7333333,-47.7666667,Graziela,04/11/1991,,Campomanesia xanthocarpa (Mart.) O.Berg var. xanthocarpa,Plantae,NA,MYRTACEAE,Campomanesia,xanthocarpa,xanthocarpa,var.,(Mart.) O.Berg,19/10/2017,urn:catalog:RB:305746,RB
Collection,PreservedSpecimen,RB,RB,309478,,,Pedro Luiz Rodrigues de Moraes,,NA,NA,NA,Brasil,São Paulo,São Miguel Arcanjo,"Parque estadual Carlos Botelho. Capão Bonito e Sete Barros, ao longo de Chanada Escarpa Atlântica, Serra de Paranapiacaba. Area de 37432,43 ha.",NA,NA,-22.7333333,-47.7666667,Graziela,03/11/1991,,Eugenia subavenia O.Berg,Plantae,NA,MYRTACEAE,Eugenia,subavenia,,specie,O.Berg,19/10/2017,urn:catalog:RB:309478,RB
Collection,PreservedSpecimen,RB,RB,310052,"árvore ca 10m, frutos verdes",957,P.L.R.Morais,23/04/1994,1994,4,23,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,M.Sobral,2005,,Gomidesia flagellaris D. Legand,Plantae,NA,MYRTACEAE,Gomidesia,flagellaris,,specie,D. Legand,22/07/2014,urn:catalog:RB:310052,RB
Collection,PreservedSpecimen,RB,RB,141127,"Epífita, ciófila frequente, folhas verdes concolores, bainha verde claras; infl. com  escapo verde-alvacento, brácteas escapais verdes; brácteas primárias vermelhas; flores com cálice verde, corola verde com margens alvacentas; brácteas florais verdes; em cultivo no JBRJ.",15789,"Martinelli, G.",01/10/1999,1999,10,1,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,-24.1936111,-48.0761111,E. Leme & C. M. Vieira,Jul-02,,Nidularium krisgreeniae Leme,Plantae,NA,BROMELIACEAE,Nidularium,krisgreeniae,,specie,Leme,06/10/2017,urn:catalog:RB:141127,RB
Collection,PreservedSpecimen,RB,RB,141112,"Erva epífita, ciófila, folhas concolores com bainha alvacenta; infl. com escapo verde, brácteas escapais verdes, brácteas primárias vermelhas; flores passadas verde-alvacentas; em cultivo no JBRJ.",15770,"Martinelli, G.",30/09/1999,1999,9,30,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho, estrada entre Ibatinga e Sete Barras, SP 139.",NA,NA,-24.375,-48.2052777,E. Leme & C. M. Vieira,Jul-02,,Nidularium krisgreeniae Leme,Plantae,NA,BROMELIACEAE,Nidularium,krisgreeniae,,specie,Leme,15/10/2017,urn:catalog:RB:141112,RB
Collection,PreservedSpecimen,RB,RB,179465,"Árvore ca. 12m, frutos jovens.",969,P. L. R. Morais,24/04/1994,1994,4,24,Brasil,São Paulo,São Miguel Arcanjo,Pq. Estadual de Carlos Botelho.,NA,NA,NA,NA,,,,Machaerium nyctitans (Vell.) Benth.,Plantae,NA,LEGUMINOSAE,Machaerium,nyctitans,,specie,(Vell.) Benth.,22/07/2014,urn:catalog:RB:179465,RB
Collection,PreservedSpecimen,RB,RB,843545,"Árvore de 5m de altura, flores brancas, beira de açude",673,P.L.R. de Moraes,23/03/1992,1992,3,23,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,,,,Inga,Plantae,NA,LEGUMINOSAE,Inga,,,genus,,08/07/2014,urn:catalog:RB:843545,RB
Collection,PreservedSpecimen,RB,RB,311360,"Arvoreta, subosque, estames esbranquiçados, tronco cinza sem escamas.",818,"Moraes, Pedro Luís R. de",28/03/1993,1993,3,28,Brasil,São Paulo,,Município de São Miguel Arcanjo - Parque Estadual Carlos Botelho - Fazenda Intervales - Núcleo Saibadela - Sete Barras.,NA,NA,NA,NA,,2006,,Myrceugenia myrcioides (Cambess.) O.Berg,Plantae,NA,MYRTACEAE,Myrceugenia,myrcioides,,specie,(Cambess.) O.Berg,22/07/2014,urn:catalog:RB:311360,RB
Collection,PreservedSpecimen,RB,RB,311349,"Arvoreta ca. 4m de altura, beira d´ água, tronco cinza, sem escamas",817,"Moraes, Pedro Luís R. de",28/03/1993,1993,3,28,Brasil,São Paulo,,Município de São Miguel Arcanjo - Parque Estadual Carlos Botelho - Fazenda Intervales - Núcleo Saibadela - Seta Barras.,NA,NA,NA,NA,M.L. Kawasaki,1998,,Myrceugenia myrcioides (Cambess.) O.Berg,Plantae,NA,MYRTACEAE,Myrceugenia,myrcioides,,specie,(Cambess.) O.Berg,22/07/2014,urn:catalog:RB:311349,RB
Collection,PreservedSpecimen,RB,RB,832910,Árvore ca. 10m alt.; frutos verdes,1179,P.L.R. de Moraes,02/03/1995,1995,3,2,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,B.P. Azevedo,05/03/2010,,Clethra scabra Pers.,Plantae,NA,CLETHRACEAE,Clethra,scabra,,specie,Pers.,08/07/2014,urn:catalog:RB:832910,RB
Collection,PreservedSpecimen,RB,RB,782163,"3m altura; , flores brancas",1286,P.R. L. Moraes,04/10/1996,1996,10,4,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,M. Sobral ; F.F. Mazine,2013,,Eugenia involucrata DC.,Plantae,NA,MYRTACEAE,Eugenia,involucrata,,specie,DC.,08/07/2014,urn:catalog:RB:782163,RB
Collection,PreservedSpecimen,RB,RB,859988,Árvore no. 11264,805,R.A.F. Lima,,NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho.,NA,NA,-24.1913889,-47.9247223,,,,Aspidosperma olivaceum Müll.Arg.,Plantae,NA,APOCYNACEAE,Aspidosperma,olivaceum,,specie,Müll.Arg.,19/10/2017,urn:catalog:RB:859988,RB
Collection,PreservedSpecimen,RB,RB,812515,"Arvorteta, ca. 5 m alt; sub-bosque, frutos castanhos.",909,L.R. Moraes,21/04/1994,1994,4,21,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual de Carlos Botelho.,NA,NA,NA,NA,L. Biral,Jul-13,,Maytenus schumanniana Loes.,Plantae,NA,CELASTRACEAE,Maytenus,schumanniana,,specie,Loes.,06/04/2015,urn:catalog:RB:812515,RB
Collection,PreservedSpecimen,RB,RB,854115,"Arbóreo ca. 5,0 m. Flores brancas",573,M.O. Bünger,07/12/2011,2011,12,7,Brasil,São Paulo,São Miguel Arcanjo,"Parque Estadual Carlos Botelho, Trilha da Canela.",NA,NA,-24.0619444,-47.9925,R. Goldenberg,2014,,Leandra brackenridgei (A.Gray) Cogn.,Plantae,NA,MELASTOMATACEAE,Leandra,brackenridgei,,specie,(A.Gray) Cogn.,19/10/2017,urn:catalog:RB:854115,RB
Collection,PreservedSpecimen,RB,RB,937172,"Arvoreta, beira de estrada",162,P.L.R. de Moraes,20/06/1990,1990,6,20,Brasil,São Paulo,São Miguel Arcanjo,Parque Estadual Carlos Botelho.,NA,NA,NA,NA,J.R. Stehmann et J. Semir,18/08/1999,,Aureliana fasciculata (Vell.) Sendtn.,Plantae,NA,SOLANACEAE,Aureliana,fasciculata,,specie,(Vell.) Sendtn.,19/03/2015,urn:catalog:RB:937172,RB
