source,loc.correct,country_code,NAME_0,NAME_1,NAME_2,NAME_3
gadm,argentina_buenos aires_general rodriguez,AR,Argentina,Buenos Aires,General Rodríguez,NA
gadm,argentina_buenos aires_general san martin,AR,Argentina,Buenos Aires,General San Martín,NA
gadm,argentina_buenos aires_general sarmiento,AR,Argentina,Buenos Aires,General Sarmiento,NA
gadm,argentina_buenos aires_general viamonte,AR,Argentina,Buenos Aires,General Viamonte,NA
gadm,argentina_buenos aires_general villegas,AR,Argentina,Buenos Aires,General Villegas,NA
gadm,argentina_buenos aires_guamini,AR,Argentina,Buenos Aires,Guaminí,NA
gadm,argentina_buenos aires_hipolito yrigoyen,AR,Argentina,Buenos Aires,Hipólito Yrigoyen,NA
gadm,argentina_buenos aires_junin,AR,Argentina,Buenos Aires,Junín,NA
gadm,argentina_buenos aires_la costa,AR,Argentina,Buenos Aires,La Costa,NA
gadm,argentina_buenos aires_la matanza,AR,Argentina,Buenos Aires,La Matanza,NA
gadm,argentina_buenos aires_la plata,AR,Argentina,Buenos Aires,La Plata,NA
gadm,argentina_buenos aires_lanus,AR,Argentina,Buenos Aires,Lanús,NA
gadm,argentina_buenos aires_laprida,AR,Argentina,Buenos Aires,Laprida,NA
gadm,argentina_buenos aires_las flores,AR,Argentina,Buenos Aires,Las Flores,NA
gadm,argentina_buenos aires_leandro n. alem,AR,Argentina,Buenos Aires,Leandro N. Alem,NA
gadm,argentina_buenos aires_lincoln,AR,Argentina,Buenos Aires,Lincoln,NA
gadm,argentina_buenos aires_loberia,AR,Argentina,Buenos Aires,Lobería,NA
gadm,argentina_buenos aires_lobos,AR,Argentina,Buenos Aires,Lobos,NA
gadm,argentina_buenos aires_lomas zamora,AR,Argentina,Buenos Aires,Lomas de Zamora,NA
gadm,argentina_buenos aires_lujan,AR,Argentina,Buenos Aires,Luján,NA
gadm,argentina_buenos aires_magdalena,AR,Argentina,Buenos Aires,Magdalena,NA
gadm,argentina_buenos aires_maipu,AR,Argentina,Buenos Aires,Maipú,NA
gadm,argentina_buenos aires_mar chiquita,AR,Argentina,Buenos Aires,Mar Chiquita,NA
gadm,argentina_buenos aires_marcos paz,AR,Argentina,Buenos Aires,Marcos Paz,NA
gadm,argentina_buenos aires_mercedes,AR,Argentina,Buenos Aires,Mercedes,NA
gadm,argentina_buenos aires_merlo,AR,Argentina,Buenos Aires,Merlo,NA
gadm,argentina_buenos aires_monte,AR,Argentina,Buenos Aires,Monte,NA
gadm,argentina_buenos aires_monte hermoso,AR,Argentina,Buenos Aires,Monte Hermoso,NA
gadm,argentina_buenos aires_moreno,AR,Argentina,Buenos Aires,Moreno,NA
gadm,argentina_buenos aires_moron,AR,Argentina,Buenos Aires,Morón,NA
gadm,argentina_buenos aires_navarro,AR,Argentina,Buenos Aires,Navarro,NA
gadm,argentina_buenos aires_necochea,AR,Argentina,Buenos Aires,Necochea,NA
gadm,argentina_buenos aires_nueve julio,AR,Argentina,Buenos Aires,Nueve de Julio,NA
gadm,argentina_buenos aires_olavarria,AR,Argentina,Buenos Aires,Olavarría,NA
gadm,argentina_buenos aires_patagones,AR,Argentina,Buenos Aires,Patagones,NA
gadm,argentina_buenos aires_pehuajo,AR,Argentina,Buenos Aires,Pehuajó,NA
gadm,argentina_buenos aires_pellegrini,AR,Argentina,Buenos Aires,Pellegrini,NA
gadm,argentina_buenos aires_pergamino,AR,Argentina,Buenos Aires,Pergamino,NA
gadm,argentina_buenos aires_pila,AR,Argentina,Buenos Aires,Pila,NA
gadm,argentina_buenos aires_pilar,AR,Argentina,Buenos Aires,Pilar,NA
gadm,argentina_buenos aires_pinamar,AR,Argentina,Buenos Aires,Pinamar,NA
gadm,argentina_buenos aires_puan,AR,Argentina,Buenos Aires,Puán,NA
gadm,argentina_buenos aires_quilmes,AR,Argentina,Buenos Aires,Quilmes,NA
gadm,argentina_buenos aires_ramallo,AR,Argentina,Buenos Aires,Ramallo,NA
gadm,argentina_buenos aires_rauch,AR,Argentina,Buenos Aires,Rauch,NA
gadm,argentina_buenos aires_rivadavia,AR,Argentina,Buenos Aires,Rivadavia,NA
gadm,argentina_buenos aires_rojas,AR,Argentina,Buenos Aires,Rojas,NA
gadm,argentina_buenos aires_roque perez,AR,Argentina,Buenos Aires,Roque Pérez,NA
gadm,argentina_buenos aires_saavedra,AR,Argentina,Buenos Aires,Saavedra,NA
gadm,argentina_buenos aires_saladillo,AR,Argentina,Buenos Aires,Saladillo,NA
gadm,argentina_buenos aires_salliquelo,AR,Argentina,Buenos Aires,Salliqueló,NA
gadm,argentina_buenos aires_salto,AR,Argentina,Buenos Aires,Salto,NA
gadm,argentina_buenos aires_san andres giles,AR,Argentina,Buenos Aires,San Andrés de Giles,NA
gadm,argentina_buenos aires_san antonio areco,AR,Argentina,Buenos Aires,San Antonio de Areco,NA
gadm,argentina_buenos aires_san cayetano,AR,Argentina,Buenos Aires,San Cayetano,NA
gadm,argentina_buenos aires_san fernando (1),AR,Argentina,Buenos Aires,San Fernando (1),NA
gadm,argentina_buenos aires_san fernando (2),AR,Argentina,Buenos Aires,San Fernando (2),NA
gadm,argentina_buenos aires_san isidro,AR,Argentina,Buenos Aires,San Isidro,NA
gadm,argentina_buenos aires_san nicolas,AR,Argentina,Buenos Aires,San Nicolás,NA
gadm,argentina_buenos aires_san pedro,AR,Argentina,Buenos Aires,San Pedro,NA
gadm,argentina_buenos aires_san vicente,AR,Argentina,Buenos Aires,San Vicente,NA
gadm,argentina_buenos aires_suipacha,AR,Argentina,Buenos Aires,Suipacha,NA
gadm,argentina_buenos aires_tandil,AR,Argentina,Buenos Aires,Tandil,NA
gadm,argentina_buenos aires_tapalque,AR,Argentina,Buenos Aires,Tapalqué,NA
gadm,argentina_buenos aires_tigre,AR,Argentina,Buenos Aires,Tigre,NA
gadm,argentina_buenos aires_tordillo,AR,Argentina,Buenos Aires,Tordillo,NA
gadm,argentina_buenos aires_tornquist,AR,Argentina,Buenos Aires,Tornquist,NA
gadm,argentina_buenos aires_trenque lauquen,AR,Argentina,Buenos Aires,Trenque Lauquen,NA
gadm,argentina_buenos aires_tres arroyos,AR,Argentina,Buenos Aires,Tres Arroyos,NA
gadm,argentina_buenos aires_tres febrero,AR,Argentina,Buenos Aires,Tres de Febrero,NA
gadm,argentina_buenos aires_tres lomas,AR,Argentina,Buenos Aires,Tres Lomas,NA
gadm,argentina_buenos aires_veinticinco mayo,AR,Argentina,Buenos Aires,Veinticinco de Mayo,NA
gadm,argentina_buenos aires_vicente lopez,AR,Argentina,Buenos Aires,Vicente López,NA
gadm,argentina_buenos aires_villa gesell,AR,Argentina,Buenos Aires,Villa Gesell,NA
gadm,argentina_buenos aires_villarino,AR,Argentina,Buenos Aires,Villarino,NA
gadm,argentina_buenos aires_zarate,AR,Argentina,Buenos Aires,Zárate,NA
gadm,argentina_catamarca,AR,Argentina,Catamarca,NA,NA
gadm,argentina_catamarca_ambato,AR,Argentina,Catamarca,Ambato,NA
gadm,argentina_catamarca_ancasti,AR,Argentina,Catamarca,Ancasti,NA
gadm,argentina_catamarca_andalgala,AR,Argentina,Catamarca,Andalgalá,NA
gadm,argentina_catamarca_antofagasta sierra,AR,Argentina,Catamarca,Antofagasta de la Sierra,NA
gadm,argentina_catamarca_belen,AR,Argentina,Catamarca,Belén,NA
gadm,argentina_catamarca_capayan,AR,Argentina,Catamarca,Capayán,NA
gadm,argentina_catamarca_capital,AR,Argentina,Catamarca,Capital,NA
gadm,argentina_catamarca_el alto,AR,Argentina,Catamarca,El Alto,NA
gadm,argentina_catamarca_fray mamerto esquiu,AR,Argentina,Catamarca,Fray Mamerto Esquiú,NA
gadm,argentina_catamarca_la paz,AR,Argentina,Catamarca,La Paz,NA
gadm,argentina_catamarca_paclin,AR,Argentina,Catamarca,Paclín,NA
gadm,argentina_catamarca_poman,AR,Argentina,Catamarca,Pomán,NA
gadm,argentina_catamarca_santa maria,AR,Argentina,Catamarca,Santa María,NA
gadm,argentina_catamarca_santa rosa,AR,Argentina,Catamarca,Santa Rosa,NA
gadm,argentina_catamarca_tinogasta,AR,Argentina,Catamarca,Tinogasta,NA
gadm,argentina_catamarca_valle viejo,AR,Argentina,Catamarca,Valle Viejo,NA
gadm,argentina_chaco,AR,Argentina,Chaco,NA,NA
gadm,argentina_chaco_almirante brown,AR,Argentina,Chaco,Almirante Brown,NA
gadm,argentina_chaco_bermejo,AR,Argentina,Chaco,Bermejo,NA
gadm,argentina_chaco_chacabuco,AR,Argentina,Chaco,Chacabuco,NA
gadm,argentina_chaco_comandante fernandez,AR,Argentina,Chaco,Comandante Fernández,NA
gadm,argentina_chaco_doce octubre,AR,Argentina,Chaco,Doce de Octubre,NA
gadm,argentina_chaco_fray justo santa maria oro,AR,Argentina,Chaco,Fray Justo Santa María de Oro,NA
gadm,argentina_chaco_general belgrano,AR,Argentina,Chaco,General Belgrano,NA
gadm,argentina_chaco_general donovan,AR,Argentina,Chaco,General Donovan,NA
gadm,argentina_chaco_general guemes,AR,Argentina,Chaco,General Güemes,NA
gadm,argentina_chaco_independencia,AR,Argentina,Chaco,Independencia,NA
gadm,argentina_chaco_libertad,AR,Argentina,Chaco,Libertad,NA
gadm,argentina_chaco_libertador general san martin,AR,Argentina,Chaco,Libertador General San Martín,NA
gadm,argentina_chaco_maipu,AR,Argentina,Chaco,Maipú,NA
gadm,argentina_chaco_mayor luis j. fontana,AR,Argentina,Chaco,Mayor Luis J. Fontana,NA
gadm,argentina_chaco_nueve julio,AR,Argentina,Chaco,Nueve de Julio,NA
gadm,argentina_chaco_o'higgins,AR,Argentina,Chaco,O'Higgins,NA
