collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
CLOE_CLOE,CLOE,CLOE,CLOE,Clitheroe Castle Museum,NA
CLP_CLP,CLP,CLP,CLP,Forest Products Research and Development Institute,NA
CLPw_CLPw,CLPw,CLPw,CLPw,"Materials Properties Evaluation Division, Forest Products Research and Development Institute (FPRDI), Department of Science and Technology",xylarium|not in IH
CLR_CLR,CLR,CLR,CLR,All Saint's Church,NA
CLU_CLU,CLU,CLU,CLU,Università della Calabria,NA
CM_CM,CM,CM,CM,Carnegie Museum of Natural History,NA
Botany_CM,Botany,CM,CM,Carnegie Museum of Natural History,NA
botany_CM,botany,CM,CM,Carnegie Museum of Natural History,NA
CM_CMNH,CM,CMNH,CM,Carnegie Museum of Natural History,NA
CMA_CMA,CMA,CMA,CMA,Crayford Manor House Adult Education Centre,NA
CMBG_CMBG,CMBG,CMBG,CMBG,Coastal Maine Botanical Gardens,NA
CMBY_CMBY,CMBY,CMBY,CMBY,Camberley Museum,NA
CMC_CMC,CMC,CMC,CMC,Central Michigan University,NA
CMH_CMH,CMH,CMH,CMH,Carrizo Mountain Herbarium,NA
CMM_CMM,CMM,CMM,CMM,Bradford Art Galleries and Museums,NA
CMMEX_CMMEX,CMMEX,CMMEX,CMMEX,Universidad Autónoma de Baja California,NA
CMMF_CMMF,CMMF,CMMF,CMMF,Jardin botanique de Montréal,NA
CMMI_CMMI,CMMI,CMMI,CMMI,Chinese Academy of Traditional Medicine,NA
CMML_CMML,CMML,CMML,CMML,Colorado State University,NA
CMNH_CMNH,CMNH,CMNH,CMNH,Cincinnati Museum Center (Cincinnati Museum of Natural History),NA
CMP_CMP,CMP,CMP,CMP,Cleveland Metroparks,NA
CMPH_CMPH,CMPH,CMPH,CMPH,Colegio de Postgraduados,NA
CMPH_IFIT-CP,CMPH,IFIT-CP,CMPH,Colegio de Postgraduados,NA
CMPR_CMPR,CMPR,CMPR,CMPR,Centre for Medicinal Plants Research,NA
CMS_CMS,CMS,CMS,CMS,Christian Missionary Society College,NA
CMU_CMU,CMU,CMU,CMU,Chiang Mai University,NA
CMUB_CMUB,CMUB,CMUB,CMUB,Chiang Mai University,NA
CMUH_CMUH,CMUH,CMUH,CMUH,Central Mindanao University,NA
CMV_CMV,CMV,CMV,CMV,Centre Marie-Victorin,NA
CMVB-UCO_CMVB-UCO,CMVB-UCO,CMVB-UCO,CMVB-UCO,NA,not in IH
HUCO_Colección Herbario Universidad Católica de Oriente,HUCO,Colección Herbario Universidad Católica de Oriente,CMVB-UCO,NA,not in IH
HUCO_Universidad Católica de Oriente,HUCO,Universidad Católica de Oriente,CMVB-UCO,NA,not in IH
CMY_CMY,CMY,CMY,CMY,R. G. Kar Medical College,NA
CN_CN,CN,CN,CN,Université de Caen,NA
Biodivalor_CNARP,Biodivalor,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
CNARP_CNARP,CNARP,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
CNRP_CNARP,CNRP,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
ICBG_CNARP,ICBG,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
NCI_CNARP,NCI,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
ORSTOM_CNARP,ORSTOM,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
SAGE_CNARP,SAGE,CNARP,CNARP,Centre National d' Application de Recherches Pharmaceutiques,medicinal_plants
CNBG_CNBG,CNBG,CNBG,CNBG,China National Botanical Garden,NA
CNCTC_CNCTC,CNCTC,CNCTC,CNCTC,Czech National Collection of Type Cultures,NA
CNE_CNE,CNE,CNE,CNE,Victoria Jubilee Museum,NA
CNF_CNF,CNF,CNF,CNF,Croatian Mycological Society,NA
CNH_CNH,CNH,CNH,CNH,Çanakkale Onsekiz Mart University,NA
CNHM_CNHM,CNHM,CNHM,CNHM,Croatian Natural History Museum,NA
CNM_CNM,CNM,CNM,CNM,Cheltenham Naturalists' Association,NA
CNMT_CNMT,CNMT,CNMT,CNMT,Universidade Federal de Mato Grosso,NA
CNMT_UFMT,CNMT,UFMT,CNMT,Universidade Federal de Mato Grosso,NA
CNMT_Universidade Federal de Mato Grosso,CNMT,Universidade Federal de Mato Grosso,CNMT,Universidade Federal de Mato Grosso,NA
CNMT_Universidade Federal de Mato Grosso (UFMT),CNMT,Universidade Federal de Mato Grosso (UFMT),CNMT,Universidade Federal de Mato Grosso,NA
CNPO_CNPO,CNPO,CNPO,CNPO,Embrapa Pecuária Sul,NA
CNPO_CPPSul,CNPO,CPPSul,CNPO,Embrapa Pecuária Sul,NA
CNR_CNR,CNR,CNR,CNR,Crimean Natural Reserve,NA
CNS_CNS,CNS,CNS,CNS,Australian Tropical Herbarium,NA
MBA_CNS,MBA,CNS,CNS,Australian Tropical Herbarium,NA
QRS_CNS,QRS,CNS,CNS,Australian Tropical Herbarium,NA
Herbier_CNSF_Centre National des Semences Forestières,Herbier_CNSF,Centre National des Semences Forestières,CNSF,Centre National de Semences Forestières,NA
CNSF_CNSF,CNSF,CNSF,CNSF,Centre National de Semences Forestières,NA
CNU_CNU,CNU,CNU,CNU,Chonnam National University,NA
CNUK_CNUK,CNUK,CNUK,CNUK,Chungnam National University,NA
CO_CO,CO,CO,CO,Muséum National d'Histoire Naturelle,NA
COA_COA,COA,COA,COA,Universidad de Córdoba - Jardín Botánico de Córdoba,NA
COAH_COAH,COAH,COAH,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
HERB_COAH,HERB,COAH,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
COAH_Herbario Amazónico Colombiano,COAH,Herbario Amazónico Colombiano,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
COAH_Instituto AmazÃ³nico de Investigaciones CientÃ­ficas - SINCHI,COAH,Instituto AmazÃ³nico de Investigaciones CientÃ­ficas - SINCHI,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
COAH_Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
COAH_Instituto Amazónico de Investigaciones Científicas (SINCHI),COAH,Instituto Amazónico de Investigaciones Científicas (SINCHI),COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
COAH_Instituto Amazónico de Investigaciones Científicas SINCHI,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,COAH,Instituto Amazónico de Investigaciones Científicas SINCHI,NA
COCA_COCA,COCA,COCA,COCA,Comisión Técnico Consultiva de Coeficientes de Agostadero (COTECOCA),NA
COCA_COTECOCA,COCA,COTECOCA,COCA,Comisión Técnico Consultiva de Coeficientes de Agostadero (COTECOCA),NA
COCAZ_COCAZ,COCAZ,COCAZ,COCAZ,Coconino National Forest Herbarium,NA
COCC_COCC,COCC,COCC,COCC,Central Oregon Community College,NA
Vascular_COCC,Vascular,COCC,COCC,Central Oregon Community College,NA
COCH_COCH,COCH,COCH,COCH,Universidad Mayor de San Simón,NA
COCMSP_COCMSP,COCMSP,COCMSP,COCMSP,"Cheyenne Mountain State Park, Colorado Parks and Wildlife",NA
COCO_COCO,COCO,COCO,COCO,Colorado College,NA
CODAGEM_CODAGEM,CODAGEM,CODAGEM,CODAGEM,Universidad Autonoma del Estado de Mexico,NA
CODAGEM_FCA-UAEM,CODAGEM,FCA-UAEM,CODAGEM,Universidad Autonoma del Estado de Mexico,NA
CODAGEM_FCAGRI-UAEM,CODAGEM,FCAGRI-UAEM,CODAGEM,Universidad Autonoma del Estado de Mexico,NA
Herbario_cofc_COFC,Herbario_cofc,COFC,COFC,Universidad de Córdoba,NA
Historico_cofc_COFC,Historico_cofc,COFC,COFC,Universidad de Córdoba,NA
COFC_COFC,COFC,COFC,COFC,Universidad de Córdoba,NA
COI_COI,COI,COI,COI,University of Coimbra,NA
COL_COL,COL,COL,COL,Universidad Nacional de Colombia,NA
HERB_COL,HERB,COL,COL,Universidad Nacional de Colombia,NA
Universidad Nacional de Colombia_COL,Universidad Nacional de Colombia,COL,COL,Universidad Nacional de Colombia,NA
COL_ICN,COL,ICN,COL,Universidad Nacional de Colombia,NA
HORI_UN-ORI,HORI,UN-ORI,COL,Universidad Nacional de Colombia,NA
COL_UNAL,COL,UNAL,COL,Universidad Nacional de Colombia,NA
COL_Universidad Nacional de Colombia (UNAL),COL,Universidad Nacional de Colombia (UNAL),COL,Universidad Nacional de Colombia,NA
COLG_COLG,COLG,COLG,COLG,Columbus State University,NA
COLO_COLO,COLO,COLO,COLO,University of Colorado Museum,NA
HERB_COLO,HERB,COLO,COLO,University of Colorado Museum,NA
COLO_UCM,COLO,UCM,COLO,University of Colorado Museum,NA
COLO_UCMC,COLO,UCMC,COLO,University of Colorado Museum,NA
COLOM_COLOM,COLOM,COLOM,COLOM,Colorado State Museum,NA
CON_CON,CON,CON,CON,"Bristol, Clifton and West of England Zoological Society's Gardens",NA
HERB_CONC,HERB,CONC,CONC,Universidad de Concepción,NA
CONC_CONC,CONC,CONC,CONC,Universidad de Concepción,NA
CONCF_CONCF,CONCF,CONCF,CONCF,Universidad de Concepción,NA
CONCw_CONCw,CONCw,CONCw,CONCw,"Facultad de Ciencias Naturales y Oceanograficas, Universidad de Concepcion",xylarium|not in IH
CONN_CONN,CONN,CONN,CONN,University of Connecticut,NA
CONN_UConn,CONN,UConn,CONN,University of Connecticut,NA
CONN_UCONN,CONN,UCONN,CONN,University of Connecticut,NA
Conservatoire botanique national du Bassin parisien_Conservatoire botanique national du Bassin parisien,Conservatoire botanique national du Bassin parisien,Conservatoire botanique national du Bassin parisien,Conservatoire botanique national du Bassin parisien,NA,not in IH
CONV_CONV,CONV,CONV,CONV,Converse College,NA
Convolvulaceae_BR_UFRPE,Convolvulaceae_BR,UFRPE,Convolvulaceae_BR,Universidade Federal Rural de Pernambuco,not in IH
COR_COR,COR,COR,COR,"Universidade Federal de Mato Grosso do Sul, Campus do Pantanal",NA
COR_CPAN-UFMS,COR,CPAN-UFMS,COR,"Universidade Federal de Mato Grosso do Sul, Campus do Pantanal",NA
COR_JBRJ,COR,JBRJ,COR,"Universidade Federal de Mato Grosso do Sul, Campus do Pantanal",NA
COR_UFMS,COR,UFMS,COR,"Universidade Federal de Mato Grosso do Sul, Campus do Pantanal",NA
CORB_CORB,CORB,CORB,CORB,Corchester School,NA
HERB_CORD,HERB,CORD,CORD,Herbario CORD,NA
CORD_CORD,CORD,CORD,CORD,Herbario CORD,NA
CORO_CORO,CORO,CORO,CORO,I.U.T.A.G.,NA
CORS_CORS,CORS,CORS,CORS,Office de l'Environnement de la Corse,NA
CORT_CORT,CORT,CORT,CORT,State University of New York College at Cortland,NA
CORU_CORU,CORU,CORU,CORU,"Universidad Veracruzana, Campus Córdoba",NA
CORU_FCBA-UV,CORU,FCBA-UV,CORU,"Universidad Veracruzana, Campus Córdoba",NA
COV_COV,COV,COV,COV,Herbert Art Gallery and Museum,NA
COVY_COVY,COVY,COVY,COVY,Coventry and District Natural History Society,NA
CSAT_CP,CSAT,CP,CP,University of Copenhagen,NA
CP_CP,CP,CP,CP,University of Copenhagen,NA
EMBRAPA_CPAP,EMBRAPA,CPAP,CPAP,EMBRAPA,NA
CPAP_CPAP,CPAP,CPAP,CPAP,EMBRAPA,NA
CPAP_EMBRAPA,CPAP,EMBRAPA,CPAP,EMBRAPA,NA
CPAP_Empresa Brasileira de Pesquisa AgropecuÃ¡ria,CPAP,Empresa Brasileira de Pesquisa AgropecuÃ¡ria,CPAP,EMBRAPA,NA
CPAP_Empresa Brasileira de Pesquisa Agropecuária,CPAP,Empresa Brasileira de Pesquisa Agropecuária,CPAP,EMBRAPA,NA
CPAP_Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),CPAP,Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA),CPAP,EMBRAPA,NA
CPB_CPB,CPB,CPB,CPB,National Institute for the Control of Pharmaceutical and Biological Products,NA
CPBH_CPBH,CPBH,CPBH,CPBH,St. Xavier's College,NA
CPC_CPC,CPC,CPC,CPC,Colegio de Postgraduados,NA
CPF_CPF,CPF,CPF,CPF,KwaZulu-Natal Nature Conservation Service,NA
CPH_CPH,CPH,CPH,CPH,University of the Pacific,NA
CPMA_CPMA,CPMA,CPMA,CPMA,Universidade Estadual de Campinas,not in IH
CPMA_CPQBA,CPMA,CPQBA,CPMA,Universidade Estadual de Campinas,not in IH
CPMA_UNICAMP,CPMA,UNICAMP,CPMA,Universidade Estadual de Campinas,not in IH (ex_situ_collection)
CPMR_CPMR,CPMR,CPMR,CPMR,Centre for Plant Medicine Research,NA
CPNP_CPNP,CPNP,CPNP,CPNP,Cuc Phuong National Park,NA
"CPR,M.E._CPR","CPR,M.E.",CPR,CPR,NA,not in IH
CPU_CPU,CPU,CPU,CPU,China Pharmaceutical University,NA
CPUH_CPUH,CPUH,CPUH,CPUH,Career Point University Hamirpur,NA
HERB_CPUN,HERB,CPUN,CPUN,Universidad Nacional de Cajamarca,NA
CPUN_CPUN,CPUN,CPUN,CPUN,Universidad Nacional de Cajamarca,NA
CQBG_CQBG,CQBG,CQBG,CQBG,Chongqing Botanical Garden,NA
CQNM_CQNM,CQNM,CQNM,CQNM,Chongqing Natural History Museum,NA
CQTw_CQTw,CQTw,CQTw,CQTw,Fisheries and Forestry,xylarium|not in IH
Museo Nacional de Costa Rica_CR,Museo Nacional de Costa Rica,CR,CR,Museo Nacional de Costa Rica,NA
CR_CR,CR,CR,CR,Museo Nacional de Costa Rica,NA
Herbario Nacional de Costa Rica (CR)_Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),Museo Nacional de Costa Rica (MNCR),CR,Museo Nacional de Costa Rica,NA
CRAF_CRAF,CRAF,CRAF,CRAF,University of Craiova,NA
HERB_CRAI,HERB,CRAI,CRAI,University of Craiova,NA
CRAI_CRAI,CRAI,CRAI,CRAI,University of Craiova,NA
CRBK_CRBK,CRBK,CRBK,CRBK,Cranbrook School,NA
CRBY_CRBY,CRBY,CRBY,CRBY,Crosby Library,NA
CRCA_CRCA,CRCA,CRCA,CRCA,Instituto dos Cereais,NA
CREG_CREG,CREG,CREG,CREG,Instituto Tecnológico Agropecuario de Jalisco,NA
CREG_ITTJ,CREG,ITTJ,CREG,Instituto Tecnológico Agropecuario de Jalisco,NA
CRI_CRI,CRI,CRI,CRI,"Universidade do Extremo Sul Catarinense, Bairro Universitário",NA
CRI_JBRJ,CRI,JBRJ,CRI,"Universidade do Extremo Sul Catarinense, Bairro Universitário",NA
CRI_UNESC,CRI,UNESC,CRI,"Universidade do Extremo Sul Catarinense, Bairro Universitário",NA
CRK_CRK,CRK,CRK,CRK,University College,NA
CRLA_CRLA,CRLA,CRLA,CRLA,Crater Lake National Park,NA
CRMC_CRMC,CRMC,CRMC,CRMC,College of the Redwoods,NA
CRO_CRO,CRO,CRO,CRO,Wellington College,NA
CRP_CRP,CRP,CRP,CRP,"I.N.T.A., E.E.A. Bariloche",NA
Herbarium_CS,Herbarium,CS,CS,Colorado State University,NA
CS_CS,CS,CS,CS,Colorado State University,NA
CS_CSU,CS,CSU,CS,Colorado State University,NA
CSAT_CSAT,CSAT,CSAT,CSAT,"Colegio de Postgraduados, Campus Tabasco",NA
CSAU_CSAU,CSAU,CSAU,CSAU,"Academy of Bioresources and Life Management, V.I. Vernadsky Crimean Federal University",NA
CSB_CSB,CSB,CSB,CSB,St. John's University/College of Saint Benedict,NA
CSC_CSC,CSC,CSC,CSC,Colegio del Sagrado Corazón,NA
CSCN_CSCN,CSCN,CSCN,CSCN,Chadron State College,NA
CSCS_CSCS,CSCS,CSCS,CSCS,Cebu State College of Science and Technology,NA
CSFI_CSFI,CSFI,CSFI,CSFI,Central-South Forestry University,NA
CSH_CSH,CSH,CSH,CSH,Shanghai Chenshan Botanical Garden,NA
CSIRNEIST_CSIRNEIST,CSIRNEIST,CSIRNEIST,CSIRNEIST,"CSIR-North East Institute of Science and Technology, Jorhat - 785006, Assam",NA
CSLA_CSLA,CSLA,CSLA,CSLA,California State University,NA
CSLA_CSULA,CSLA,CSULA,CSLA,California State University,NA
CSMH_CSMH,CSMH,CSMH,CSMH,"CAPTAIN SRINIVASA MURTHY CENTRAL AYURVEDA RESEARCH INSTITUTE (CSMCARI), CHENNAI",NA
CSN_CSN,CSN,CSN,CSN,Fondazione Parsec - Centro di Scienze Naturali,NA
CSPU_CSPU,CSPU,CSPU,CSPU,California State Polytechnic University,NA
CSR_CSR,CSR,CSR,CSR,Caucasus State Nature Biosphere Reserve,NA
CSRS_CSRS,CSRS,CSRS,CSRS,Centre Suisse de Recherches Scientifiques en Côte d’Ivoire,NA
CSTR_CSTR,CSTR,CSTR,CSTR,Universidade Federal de Campina Grande - Campus Patos,not in IH
CSTR_UFCG,CSTR,UFCG,CSTR,Universidade Federal de Campina Grande - Campus Patos,not in IH
CSU_CSU,CSU,CSU,CSU,University of Central Oklahoma,NA
CSU_UCO,CSU,UCO,CSU,University of Central Oklahoma,NA
CSUCI_CSUCI,CSUCI,CSUCI,CSUCI,California State University Channel Islands,NA
CSUH_Chelyabinsk State University,CSUH,Chelyabinsk State University,CSUH,Chelyabinsk State University,NA
CSUH_CSUH,CSUH,CSUH,CSUH,Chelyabinsk State University,NA
CSUNIV_CSUNIV,CSUNIV,CSUNIV,CSUNIV,Charleston Southern University,NA
VascularPlants_CSUSB,VascularPlants,CSUSB,CSUSB,"California State University, San Bernardino",NA
CSUSB_CSUSB,CSUSB,CSUSB,CSUSB,"California State University, San Bernardino",NA
CSVFC_CSVFC,CSVFC,CSVFC,CSVFC,Caradoc and Severn Valley Field Club,NA
CT_CT,CT,CT,CT,University of Cape Town,NA
CTB_CTB,CTB,CTB,CTB,"Shirur Shikshan Prasarak Mandal's Chandmal Tarachand Bora College of Arts, Commerce and Science, Shirur, District Pune, Maharashtra, India",NA
CTBCH_CTBCH,CTBCH,CTBCH,CTBCH,Centre for Tropical Biodiversity Conservation (CTBC),NA
CTBS_CTBS,CTBS,CTBS,CTBS,Universidade Federal de Santa Catarina,NA
CTBS_UFSC,CTBS,UFSC,CTBS,Universidade Federal de Santa Catarina,NA
CTBw_CTBw,CTBw,CTBw,CTBw,Centre Technique du Bois et de l'Ameublement,xylarium|not in IH
CTC_CTC,CTC,CTC,CTC,Chongqing Normal University,NA
CTES-VASC_CTES,CTES-VASC,CTES,CTES,Instituto de Botánica del Nordeste,NA
HERB_CTES,HERB,CTES,CTES,Instituto de Botánica del Nordeste,NA
Instituto de Botanica del Nordeste_CTES,Instituto de Botanica del Nordeste,CTES,CTES,Instituto de Botánica del Nordeste,NA
Instituto de Botánica del Nordeste_CTES,Instituto de Botánica del Nordeste,CTES,CTES,Instituto de Botánica del Nordeste,NA
CTES_CTES,CTES,CTES,CTES,Instituto de Botánica del Nordeste,NA
HERB_CTESN,HERB,CTESN,CTESN,Universidad Nacional del Nordeste,NA
CTESN_CTESN,CTESN,CTESN,CTESN,Universidad Nacional del Nordeste,NA
CTFCNG_CTFCNG,CTFCNG,CTFCNG,CTFCNG,"United States Department of Agriculture, Caribou-Targhee National Forest and Curlew National Grassland",NA
CTFw_CTFw,CTFw,CTFw,CTFw,CIRAD-Foret,xylarium|not in IH
CTN_CTN,CTN,CTN,CTN,Free Library and Museum,NA
CTS_CTS,CTS,CTS,CTS,Chongqing Teachers College,NA
CTY_CTY,CTY,CTY,CTY,Canterbury Literary and Philosophical Institution,NA
BH_CU,BH,CU,CU,Cornell University,NA
CU_CU,CU,CU,CU,Cornell University,NA
CUEF_CUEF,CUEF,CUEF,CUEF,Cukurova University,NA
CUFEFB_CUFEFB,CUFEFB,CUFEFB,CUFEFB,"ÇUKUROVA UNIVERSITY, SCIENCE AND LETTER FACULTY",NA
CUFH_CUFH,CUFH,CUFH,CUFH,Cumhuriyet University,NA
CUH_CUH,CUH,CUH,CUH,University of Calcutta,NA
CUHK_CUHK,CUHK,CUHK,CUHK,The Chinese University of Hong Kong,NA
CUK_CUK,CUK,CUK,CUK,Chosun University,not in IH
CUKH_CUKH,CUKH,CUKH,CUKH,Central University of Kerala,NA
CUMB_CUMB,CUMB,CUMB,CUMB,Universidade Federal do Pará,NA
CUP_CUP,CUP,CUP,CUP,Cornell University,NA
CUP_UF,CUP,UF,CUP,Cornell University,NA
CUPB_CUPB,CUPB,CUPB,CUPB,Central University of Punjab,NA
CURLA_CURLA,CURLA,CURLA,CURLA,Centro Universitario Regional del Litoral Atlantico,NA
CUS_CUS,CUS,CUS,CUS,"Cusino Wildlife Research Station, Michigan Department of Natural Resources",NA
HERB_CUVC,HERB,CUVC,CUVC,Universidad del Valle,NA
CUVC_CUVC,CUVC,CUVC,CUVC,Universidad del Valle,NA
CUVC_Fundación GAIA,CUVC,Fundación GAIA,CUVC,Universidad del Valle,NA
CUVC_Univalle,CUVC,Univalle,CUVC,Universidad del Valle,NA
CUVC_UNIVALLE,CUVC,UNIVALLE,CUVC,Universidad del Valle,NA
UNIVALLE_UNIVALLE,UNIVALLE,UNIVALLE,CUVC,Universidad del Valle,NA
CUVC_Universidad del Valle,CUVC,Universidad del Valle,CUVC,Universidad del Valle,NA
CUVC_Universidad del Valle (UniValle),CUVC,Universidad del Valle (UniValle),CUVC,Universidad del Valle,NA
CUW_CUW,CUW,CUW,CUW,Clark University,NA
CUZ_CUZ,CUZ,CUZ,CUZ,Universidad Nacional San Antonio Abad del Cusco,NA
CVCW_CVCW,CVCW,CVCW,CVCW,"Clinch Valley College, University of Virginia",NA
CVJBFZB_CVJBFZB,CVJBFZB,CVJBFZB,CVJBFZB,Fundação Zoo-Botânica de Belo Horizonte,not in IH
CVJBFZB_FZB-BH,CVJBFZB,FZB-BH,CVJBFZB,Fundação Zoo-Botânica de Belo Horizonte,not in IH
CVM_CVM,CVM,CVM,CVM,City Museum,NA
CVRD_CVRD,CVRD,CVRD,CVRD,"Reserva Natural da Vale, Meio Ambiente",NA
CVRD_Reserva Natural Vale,CVRD,Reserva Natural Vale,CVRD,"Reserva Natural da Vale, Meio Ambiente",NA
CVRD_Reserva Natural Vale (CVRD),CVRD,Reserva Natural Vale (CVRD),CVRD,"Reserva Natural da Vale, Meio Ambiente",NA
CVRD_VALE,CVRD,VALE,CVRD,"Reserva Natural da Vale, Meio Ambiente",NA
CVRDw_CVRDw,CVRDw,CVRDw,CVRDw,Reserva Florestal da CVRD,xylarium|not in IH
CW_CW,CW,CW,CW,The Caribbean Research and Management of Biodiversity (CARMABI) Foundation,NA
CWB_CWB,CWB,CWB,CWB,Kharkov State University,NA
CWC_CWC,CWC,CWC,CWC,Central Wyoming College,NA
CWDR_CWDR,CWDR,CWDR,CWDR,Cawdor Castle,NA
CWNU_CWNU,CWNU,CWNU,CWNU,Changwon National University,NA
CWU_CWU,CWU,CWU,CWU,V. N. Karazin National University,NA
CYE_CYE,CYE,CYE,CYE,Albie Cockayne Herbarium,NA
CYN_CYN,CYN,CYN,CYN,Chipstead Valley Primary School,NA
CYP_CYP,CYP,CYP,CYP,Department of Forests,NA
CZH_CZH,CZH,CZH,CZH,Hanshan Normal University,NA
D_D,D,D,D,Chaharmahal and Bakhtiari Agricultural and Natural Resources Research and Education Center,NA
DAC_DAC,DAC,DAC,DAC,Dinabandhu Andrews College,NA
DACB_DACB,DACB,DACB,DACB,Bangladesh National Herbarium,NA
DAG_DAG,DAG,DAG,DAG,Mountain Botanical Garden of the Dagestan Scientific Centre,NA
DAKAR_DAKAR,DAKAR,DAKAR,DAKAR,Université Cheikh Anta Diop,NA
DAL_DAL,DAL,DAL,DAL,Dalhousie University,NA
DAM_DAM,DAM,DAM,DAM,"Damietta University,",NA
DANV_DANV,DANV,DANV,DANV,Umweltamt Darmstadt,NA
DAO_AAFC,DAO,AAFC,DAO,Agriculture and Agri-Food Canada,NA
DAO_Agriculture & Agri-Food Canada,DAO,Agriculture & Agri-Food Canada,DAO,Agriculture and Agri-Food Canada,NA
DAO_Agriculture &#; Agri-Food Canada,DAO,Agriculture &#; Agri-Food Canada,DAO,Agriculture and Agri-Food Canada,NA
DAO_Agriculture &#38; Agri-Food Canada,DAO,Agriculture &#38; Agri-Food Canada,DAO,Agriculture and Agri-Food Canada,NA
HERB_DAO,HERB,DAO,DAO,Agriculture and Agri-Food Canada,NA
DAO_DAO,DAO,DAO,DAO,Agriculture and Agri-Food Canada,NA
DAOM_DAOM,DAOM,DAOM,DAOM,Agriculture and Agri-Food Canada,NA
DAR_DAR,DAR,DAR,DAR,NSW Plant Pathology and Mycology Herbarium,NA
DARWR_DARWR,DARWR,DARWR,DARWR,Darwin State Nature Biosphere Reserve,NA
DAS_DAS,DAS,DAS,DAS,Agriculture and Agri-Food Canada,NA
DAU_DAU,DAU,DAU,DAU,University of Daugavpils,NA
Herbarium_DAV,Herbarium,DAV,DAV,"University of California, Davis",NA
University of California_DAV,University of California,DAV,DAV,"University of California, Davis",NA
DAV_DAV,DAV,DAV,DAV,"University of California, Davis",NA
Vascular Plants_DAV,Vascular Plants,DAV,DAV,"University of California, Davis",NA
DAVFP_DAVFP,DAVFP,DAVFP,DAVFP,"Pacific Forestry Centre, Canadian Forest Service",NA
DAVFP_PFC,DAVFP,PFC,DAVFP,"Pacific Forestry Centre, Canadian Forest Service",NA
DAVH_DAVH,DAVH,DAVH,DAVH,University of California,NA
DAVw_DAVw,DAVw,DAVw,DAVw,"College of Biological Sciences, Section of Plant Biology",xylarium|not in IH
DAWES_DAWES,DAWES,DAWES,DAWES,The Dawes Arboretum,NA
DBC_DBC,DBC,DBC,DBC,University College,NA
DBEV_DBEV,DBEV,DBEV,DBEV,University of Antananarivo,NA
DBG_DBG,DBG,DBG,DBG,Denver Botanic Gardens,NA
HERB_DBN,HERB,DBN,DBN,National Botanic Gardens,NA
DBN_DBN,DBN,DBN,DBN,National Botanic Gardens,NA
DBNw_DBNw,DBNw,DBNw,DBNw,"National Herbarium, National Botanic Gardens",xylarium|not in IH
DBw_DBw,DBw,DBw,DBw,Department of Forestry,xylarium|not in IH
DBY_DBY,DBY,DBY,DBY,Derby Museum and Art Gallery,NA
DCH_DCH,DCH,DCH,DCH,Davidson College,NA
DCR_DCR,DCR,DCR,DCR,Museum and Art Gallery,NA
DCSR_DCSR,DCSR,DCSR,DCSR,"University of Belgrade, Institute of Chemistry, Technology and Metallurgy, National Institute of the Republic of Serbia",NA
DD_DD,DD,DD,DD,"Forest Research Institute, Indian Council of Forestry Research and Education",NA
DDMS_DDMS,DDMS,DDMS,DDMS,Fundação Universidade Federal da Grande Dourados,NA
DDMS_UFGD,DDMS,UFGD,DDMS,Fundação Universidade Federal da Grande Dourados,NA
DDw_DDw,DDw,DDw,DDw,Forest Research Institute,xylarium|not in IH
DE_DE,DE,DE,DE,Debrecen University,NA
DECA_DECA,DECA,DECA,DECA,Agnes Scott College,NA
DECV_DECV,DECV,DECV,DECV,Douglas Ecological Consultants,NA
DEE_DEE,DEE,DEE,DEE,McManus: Dundee's Art Gallery & Museum,NA
DEK_DEK,DEK,DEK,DEK,Northern Illinois University,NA
DELS_DELS,DELS,DELS,DELS,University of Delaware,NA
DELTA_DELTA,DELTA,DELTA,DELTA,Delta Waterfowl and Wetlands Research Station,NA
DEN_DEN,DEN,DEN,DEN,Denison University,NA
DENA_DENA,DENA,DENA,DENA,Watt Institute,NA
DEND_DEND,DEND,DEND,DEND,University of Zagreb,NA
DENF_DENF,DENF,DENF,DENF,"Grand Mesa-Uncompahgre-Gunnison Natonal Forests, USDA Forest Service",NA
DEP_DEP,DEP,DEP,DEP,DePaul University,NA
