collection.string,collectioncode.gbif,institutioncode.gbif,index.herbariorum.or.working.code,organization,col.OBS
AFR_FJBPC,AFR,FJBPC,AFR,Fundação Jardim Botânico de Poços de Caldas,NA
University of Michigan_AFS,University of Michigan,AFS,AFS,American Fern Society Herbarium,NA
AFS_AFS,AFS,AFS,AFS,American Fern Society Herbarium,NA
AGMT_AGMT,AGMT,AGMT,AGMT,Associazione Gruppi Micologici Toscani,NA
AGU_AGU,AGU,AGU,AGU,Astrakhan State University,NA
AGUAT_AGUAT,AGUAT,AGUAT,AGUAT,Universidad de San Carlos,NA
AGUCH_AGUCH,AGUCH,AGUCH,AGUCH,Facultad de Ciencias Agronómicas de la Universidad de Chile,NA
HERB_AGUCH,HERB,AGUCH,AGUCH,Facultad de Ciencias Agronómicas de la Universidad de Chile,NA
AGUCH_UCh,AGUCH,UCh,AGUCH,Facultad de Ciencias Agronómicas de la Universidad de Chile,NA
AH_AH,AH,AH,AH,Universidad de Alcalá,NA
AHFH_AHFH,AHFH,AHFH,AHFH,University of Southern California,NA
AHL_AHL,AHL,AHL,AHL,African Methodist Episcopal University,NA
AHMA_AHMA,AHMA,AHMA,AHMA,Ajrekar Mycological Herbarium (AMH),NA
AHP_AHP,AHP,AHP,AHP,American Herbal Pharmacopoeia,NA
AHS_AHS,AHS,AHS,AHS,Austin High School,NA
AHUC_AHUC,AHUC,AHUC,AHUC,University of California,NA
AIB_AIB,AIB,AIB,AIB,Anhui Institute of Biology,NA
AIBU_AIBU,AIBU,AIBU,AIBU,Abant Izzet Baysal Üniversitesi,NA
AICH_AICH,AICH,AICH,AICH,Aichi Kyoiku University,NA
AIMS_AIMS,AIMS,AIMS,AIMS,Australian Institute of Marine Science,NA
AISIY_AISIY,AISIY,AISIY,AISIY,Armenian Institute for the Scientific Investigation of Cattle Breeding and Veterinary,NA
AIU_AIU,AIU,AIU,AIU,Astana International University,NA
AIX_AIX,AIX,AIX,AIX,Muséum d'Histoire Naturelle d'Aix-en-Provence,NA
AIX_MHNAIX,AIX,MHNAIX,AIX,Muséum d'Histoire Naturelle d'Aix-en-Provence,NA
AJBC_AJBC,AJBC,AJBC,AJBC,Atkins Jardín Botánico de Cienfuegos,NA
AJOU_AJOU,AJOU,AJOU,AJOU,Ajou University,NA
AJU_AJU,AJU,AJU,AJU,Universidade Tiradentes,NA
AK_AK,AK,AK,AK,Auckland War Memorial Museum,NA
AKASH_AKASH,AKASH,AKASH,AKASH,University of Azad Jammu and Kashmir Pakistan,NA
AKASH_UAJK,AKASH,UAJK,AKASH,University of Azad Jammu and Kashmir Pakistan,NA
AKDE_AKDE,AKDE,AKDE,AKDE,"Akdeniz University, Herbarium of the Education Faculty",NA
AKDU_AKDU,AKDU,AKDU,AKDU,Akdeniz University,NA
vs_AKPM,vs,AKPM,AKPM,Akita Prefectural Museum,NA
AKPM_AKPM,AKPM,AKPM,AKPM,Akita Prefectural Museum,NA
VS_AKPM,VS,AKPM,AKPM,Akita Prefectural Museum,NA
AKSU_AKSU,AKSU,AKSU,AKSU,Aksaray University,NA
AKU_AKU,AKU,AKU,AKU,University of Auckland,NA
AL_AL,AL,AL,AL,Université d'Alger,NA
ALA_ALA,ALA,ALA,ALA,University of Alaska Museum of the North,NA
ALAJ_ALAJ,ALAJ,ALAJ,ALAJ,University of Alaska SE,NA
ALAM_ALAM,ALAM,ALAM,ALAM,Adams State University,NA
ALB_NA,ALB,NA,ALB,Civico Museo Archeologico e di Scienze Naturali Federico Eusebio,NA
ALBA_ALBA,ALBA,ALBA,ALBA,"Universidad de Castilla, La Mancha",NA
ALBC_ALBC,ALBC,ALBC,ALBC,Albion College,NA
ALBORZ_ALBORZ,ALBORZ,ALBORZ,ALBORZ,"Science and Research Branch, Islamic Azad University, Tehran, Iran",NA
ALBU_ALBU,ALBU,ALBU,ALBU,"Rocky Mountain Forest and Range Experiment Station, USDA Forest Service",NA
ALCA_ALCA,ALCA,ALCA,ALCA,NA,not in IH
ALCA-BGV_RJBJCI,ALCA-BGV,RJBJCI,ALCA,NA,not in IH
HERB_ALCB,HERB,ALCB,ALCB,"Universidade Federal da Bahia, Campus Universitário de Ondina",NA
ALCB_ALCB,ALCB,ALCB,ALCB,"Universidade Federal da Bahia, Campus Universitário de Ondina",NA
ALCB_UFBA,ALCB,UFBA,ALCB,"Universidade Federal da Bahia, Campus Universitário de Ondina",NA
ALCB_Universidade Federal da Bahia,ALCB,Universidade Federal da Bahia,ALCB,"Universidade Federal da Bahia, Campus Universitário de Ondina",NA
ALCB_Universidade Federal da Bahia (UFBA),ALCB,Universidade Federal da Bahia (UFBA),ALCB,"Universidade Federal da Bahia, Campus Universitário de Ondina",NA
ALCw_ALCw,ALCw,ALCw,ALCw,"Departamento de Tecnologia Fisico-mecanica dos Produtos Florestais, Estacao de Experimentacao Florestal, Alcobaca",xylarium|not in IH
ALD_ALD,ALD,ALD,ALD,Alderney Society and Museum,NA
ALEX_ALEX,ALEX,ALEX,ALEX,University of Alexandria,NA
ALF_ALF,ALF,ALF,ALF,CIRAD,NA
ALGU_ALGU,ALGU,ALGU,ALGU,Universidade do Algarve,NA
ALJAWF_ALJAWF,ALJAWF,ALJAWF,ALJAWF,National Center for Vegetation Cover,NA
ALK_ALK,ALK,ALK,ALK,Alnwick Scientific and Mechanical Institution,NA
All Taxa Biodiversity Inventory - Gemer (Slovakia)_European Distributed Institute of Taxonomy (EDIT),All Taxa Biodiversity Inventory - Gemer (Slovakia),European Distributed Institute of Taxonomy (EDIT),All Taxa Biodiversity Inventory - Gemer (Slovakia),NA,not in IH (flora)
ALM_ALM,ALM,ALM,ALM,"Art Gallery and Museum, Central Library",NA
ALMA_ALMA,ALMA,ALMA,ALMA,Alma College,NA
ALME_ALME,ALME,ALME,ALME,Arid Zone Experimental Station,NA
ALN_ALN,ALN,ALN,ALN,Alnwick Botanical Society,NA
ALNHS_ALNHS,ALNHS,ALNHS,ALNHS,Natural Heritage Section-ALDCNR,NA
ALT_ALT,ALT,ALT,ALT,Curtis Museum,NA
ALTA_ALTA,ALTA,ALTA,ALTA,University of Alberta,NA
ALTA_UA,ALTA,UA,ALTA,University of Alberta,NA
ALTA-VP_University of Alberta Museums,ALTA-VP,University of Alberta Museums,ALTA,University of Alberta,NA
ALTB_ALTB,ALTB,ALTB,ALTB,Altai State University,NA
ALU_ALU,ALU,ALU,ALU,Alabama Museum of Natural History,NA
ALUH_ALUH,ALUH,ALUH,ALUH,Alzahra University,NA
AMAL_AMAL,AMAL,AMAL,AMAL,Anniston Museum of Natural History,NA
AMAPA_AMAPA,AMAPA,AMAPA,AMAPA,Universidade do Estado do Amapá,NA
AMAS_AMAS,AMAS,AMAS,AMAS,Universidad Técnica de Ambato,NA
AMAZ_AMAZ,AMAZ,AMAZ,AMAZ,Universidad Nacional de la Amazónia Peruana (UNAP),NA
UNAPHerbarium_UNAPPeru,UNAPHerbarium,UNAPPeru,AMAZ,Universidad Nacional de la Amazónia Peruana (UNAP),NA
AMB_AMB,AMB,AMB,AMB,Associazione Micologica Bresadola,NA
AMD_AMD,AMD,AMD,AMD,"National Herbarium of the Netherlands, Hugo de Vries-Laboratory",NA
prm-pol-refcol_UvA-IBED,prm-pol-refcol,UvA-IBED,AMD?,University of Amsterdam,not in IH
AMDE_AMDE,AMDE,AMDE,AMDE,Brathay Field Centre for Exploration and Field Studies,NA
AMES_AMES,AMES,AMES,AMES,Harvard University,NA
AMES_Harvard University,AMES,Harvard University,AMES,Harvard University,NA
AMH_AMH,AMH,AMH,AMH,Agharkar Research Institute,NA
AMMS_AMMS,AMMS,AMMS,AMMS,Academy of Military Medical Sciences,NA
AMNH_AMNH,AMNH,AMNH,AMNH,"Icelandic Institute of Natural History, Akureyri Division",NA
Vascular plants_AMNH,Vascular plants,AMNH,AMNH,"Icelandic Institute of Natural History, Akureyri Division",NA
AMO_AMO,AMO,AMO,AMO,"Instituto Chinoin, A.C.",NA
AMP_AMP,AMP,AMP,AMP,Ampleforth College,NA
AMw_AMw,AMw,AMw,AMw,Birla Institute of Scientific Research,xylarium|not in IH
AMWH_AMWH,AMWH,AMWH,AMWH,Amway Corporation,NA
ANA_ANA,ANA,ANA,ANA,Orange County Department of Agriculture,NA
ANC_ANC,ANC,ANC,ANC,Università Politecnica delle Marche,NA
AND_AND,AND,AND,AND,"Slezské zemské museum Opava, Arboretum Nový Dv?r",NA
ANDA_ANDA,ANDA,ANDA,ANDA,Andalas University,NA
ANDES_ANDES,ANDES,ANDES,ANDES,Universidad de los Andes,NA
ANDES-H_Corporación Colombiana de Investigación Agropecuaria-AGROSAVIA,ANDES-H,Corporación Colombiana de Investigación Agropecuaria-AGROSAVIA,ANDES,Universidad de los Andes,NA
ANDES-H_Universidad de los Andes,ANDES-H,Universidad de los Andes,ANDES,Universidad de los Andes,NA
ANDES-H_Universidad de los Andes (UniAndes),ANDES-H,Universidad de los Andes (UniAndes),ANDES,Universidad de los Andes,NA
ANES_ANES,ANES,ANES,ANES,Anadolu University,NA
ANG_ANG,ANG,ANG,ANG,Muséum des sciences naturelles d'Angers,NA
ANG-GB_ANG,ANG-GB,ANG,ANG,Muséum des sciences naturelles d'Angers,NA
ANG-JL_ANG,ANG-JL,ANG,ANG,Muséum des sciences naturelles d'Angers,NA
ANGU_ANGU,ANGU,ANGU,ANGU,Instituto Nacional de Tecnología Agropecuaria,NA
ANGUC_ANGUC,ANGUC,ANGUC,ANGUC,Université Catholiques de l'Ouest,NA
ANH_ANH,ANH,ANH,ANH,Andong National University,NA
ANHC_ANHC,ANHC,ANHC,ANHC,Arkansas Natural Heritage Commission,NA
ANK_ANK,ANK,ANK,ANK,Ankara Üniversitesi,NA
ANKO_ANKO,ANKO,ANKO,ANKO,Central Anatolia Forestry Research Institute,NA
ANSM_ANSM,ANSM,ANSM,ANSM,Universidad Autónoma Agraria Antonio Narro,NA
ANSM_UAAAN,ANSM,UAAAN,ANSM,Universidad Autónoma Agraria Antonio Narro,NA
ANSP_ANSP,ANSP,ANSP,ANSP,Academy of Natural Sciences,NA
ANTU_ANTU,ANTU,ANTU,ANTU,Changbai Mountain National Nature Reserve Administration Bureau,NA
ANU_ANU,ANU,ANU,ANU,Anhui University,NA
ANUB_ANUB,ANUB,ANUB,ANUB,Anhui Normal University,NA
ANUC_ANUC,ANUC,ANUC,ANUC,Australian National University,NA
ANUG_ANUG,ANUG,ANUG,ANUG,Anhui Normal University,NA
ANUH_ANUH,ANUH,ANUH,ANUH,Acharya Nagarjuna University,NA
ANVL_ANVL,ANVL,ANVL,ANVL,Association des Naturalistes de la Vallée du Loing et du Massif de Fontainebleau,NA
AO_AO,AO,AO,AO,Museo Regionale di Scienze Naturali della Valle d'Aosta,NA
APCR_APCR,APCR,APCR,APCR,Arkansas Tech University,NA
APH_APH,APH,APH,APH,Society of Apothecaries,NA
APIY_APIY,APIY,APIY,APIY,Abovian Pedagogical Institute,NA
APM_APM,APM,APM,APM,Algonquin Provincial Park,NA
APP_APP,APP,APP,APP,Parco Nazionale del Gran Sasso e Monti della Laga - Università di Camerino,NA
APSC_APSC,APSC,APSC,APSC,Austin Peay State University,NA
AQC_AQC,AQC,AQC,AQC,Aquinas College,NA
Pl_AQP,Pl,AQP,AQP,Estudios Fitogeográficos del Perú,NA
AQP_AQP,AQP,AQP,AQP,Estudios Fitogeográficos del Perú,NA
