source,kingdom,name,name.correct,order.correct,class.correct
apg_v14|col_v2025,plantae,Ampelopsidaceae,Vitaceae,Vitales,Magnoliopsida
apg_v14,plantae,Amphorogynaceae,Santalaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Amygdalaceae,Rosaceae,Rosales,Magnoliopsida
apg_v14|col_v2025,plantae,Amyridaceae,Rutaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Anacampserotaceae,Anacampserotaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Anacardiaceae,Anacardiaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Anagallidaceae,Primulaceae,Ericales,Magnoliopsida
apg_v14,plantae,Anarthriaceae,Restionaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Anchusaceae,Boraginaceae,Boraginales,Magnoliopsida
apg_v14|col_v2025,plantae,Ancistrocladaceae,Ancistrocladaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Andromedaceae,Ericaceae,Ericales,Magnoliopsida
apg_v14,plantae,Andropogonaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Androstachyaceae,Picrodendraceae,Malpighiales,Magnoliopsida
apg_v14,plantae,Androsynaceae,Tecophilaeaceae,Asparagales,Liliopsida
apg_v14,plantae,Anemarrhenaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Anemonaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Angelicaceae,Apiaceae,Apiales,Magnoliopsida
apg_v14,plantae,Angeloniaceae,Plantaginaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Angiopteridaceae,Marattiaceae,Marattiales,Polypodiopsida
apg_v14|col_v2025,plantae,Anisophylleaceae,Anisophylleaceae,Cucurbitales,Magnoliopsida
apg_v14|col_v2025,plantae,Annonaceae,Annonaceae,Magnoliales,Magnoliopsida
apg_v14,plantae,Anomochloaceae,Poaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Anopteraceae,Escalloniaceae,Escalloniales,Magnoliopsida
apg_v14,plantae,Anopteridaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14|col_v2025,plantae,Anrederaceae,Basellaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Anthemidaceae,Asteroideae,Asterales,Magnoliopsida
apg_v14,plantae,Anthericaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14,plantae,Anthobolaceae,Opiliaceae,Santalales,Magnoliopsida
apg_v14,plantae,Anthoxanthaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Antidesmataceae,Phyllanthaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Antirrhinaceae,Plantaginaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Antoniaceae,Loganiaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Antrophyaceae,Pteridaceae,Polypodiales,Polypodiopsida
apg_v14,plantae,Aparinaceae,Rubiaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Aphanopetalaceae,Aphanopetalaceae,Saxifragales,Magnoliopsida
apg_v14|col_v2025,plantae,Aphloiaceae,Aphloiaceae,Crossosomatales,Magnoliopsida
apg_v14,plantae,Aphyllanthaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Apiaceae,Apiaceae,Apiales,Magnoliopsida
apg_v14|col_v2025,plantae,Apocynaceae,Apocynaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Apodanthaceae,Apodanthaceae,Cucurbitales,Magnoliopsida
apg_v14|col_v2025,plantae,Aponogetonaceae,Aponogetonaceae,Alismatales,Liliopsida
apg_v14,plantae,Aporusaceae,Phyllanthaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Aposeridaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Apostasiaceae,Orchidaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Aptandraceae,Aptandraceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Aquifoliaceae,Aquifoliaceae,Aquifoliales,Magnoliopsida
apg_v14|col_v2025,plantae,Aquilariaceae,Thymelaeaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Aquilegiaceae,Ranunculaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Arabidaceae,Brassicaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Araceae,Araceae,Alismatales,Liliopsida
apg_v14|col_v2025,plantae,Aragoaceae,Plantaginaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Araliaceae,Araliaceae,Apiales,Magnoliopsida
apg_v14|col_v2025,plantae,Aralidiaceae,Torricelliaceae,Apiales,Magnoliopsida
apg_v14|col_v2025,plantae,Araucariaceae,Araucariaceae,Cupressales,Pinopsida
apg_v14|col_v2025,plantae,Arbutaceae,Ericaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Arceuthidaceae,Cupressaceae,Cupressales,Pinopsida
apg_v14,plantae,Arceuthobiaceae,Santalaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Arctostaphylaceae,Ericaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Arctotidaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Ardisiaceae,Primulaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Arecaceae,Arecaceae,Arecales,Liliopsida
apg_v14|col_v2025,plantae,Argophyllaceae,Argophyllaceae,Asterales,Magnoliopsida
apg_v14,plantae,Arisaraceae,Araceae,Alismatales,Liliopsida
apg_v14|col_v2025,plantae,Aristolochiaceae,Aristolochiaceae,Piperales,Magnoliopsida
apg_v14|col_v2025,plantae,Aristoteliaceae,Elaeocarpaceae,Oxalidales,Magnoliopsida
apg_v14|col_v2025,plantae,Arjonaceae,Schoepfiaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Armeriaceae,Plumbaginaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Artemisiaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Arthrotaxidaceae,Cupressaceae,Cupressales,Pinopsida
apg_v14|col_v2025,plantae,Artocarpaceae,Moraceae,Rosales,Magnoliopsida
apg_v14,plantae,Arundinaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Arundinellaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Asaraceae,Aristolochiaceae,Piperales,Magnoliopsida
apg_v14|col_v2025,plantae,Asclepiadaceae,Apocynaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Ascyraceae,Hypericaceae,Malpighiales,Magnoliopsida
apg_v14,plantae,Aspalathaceae,Fabaceae,Fabales,Magnoliopsida
apg_v14|col_v2025,plantae,Asparagaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14,plantae,Asperellaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Asperulaceae,Rubiaceae,Gentianales,Magnoliopsida
apg_v14|col_v2025,plantae,Asphodelaceae,Asphodelaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Aspidiaceae,Dryopteridaceae,Polypodiales (Eupolypod I),Polypodiopsida
apg_v14,plantae,Aspidistraceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Asteliaceae,Asteliaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Asteraceae,Asteraceae,Asterales,Magnoliopsida
apg_v14,plantae,Asteranthaceae,Lecythidaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Asteropeiaceae,Asteropeiaceae,Caryophyllales,Magnoliopsida
apg_v14,plantae,Astragalaceae,Fabaceae,Fabales,Magnoliopsida
apg_v14|col_v2025,plantae,Astrocarpaceae,Resedaceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Athanasiaceae,Asteraceae,Asterales,Magnoliopsida
apg_v14|col_v2025,plantae,Atherospermataceae,Atherospermataceae,Laurales,Magnoliopsida
apg_v14|col_v2025,plantae,Atriplicaceae,Amaranthaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Atropaceae,Solanaceae,Solanales,Magnoliopsida
apg_v14,plantae,Aucubaceae,Garryaceae,Garryales,Magnoliopsida
apg_v14|col_v2025,plantae,Aurantiaceae,Rutaceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Austrobaileyaceae,Austrobaileyaceae,Austrobaileyales,Magnoliopsida
apg_v14,plantae,Austrotaxaceae,Taxaceae,Cupressales,Pinopsida
apg_v14,plantae,Avenaceae,Poaceae,Poales,Liliopsida
apg_v14|col_v2025,plantae,Averrhoaceae,Oxalidaceae,Oxalidales,Magnoliopsida
apg_v14,plantae,Avetraceae,Dioscoreaceae,Dioscoreales,Liliopsida
apg_v14|col_v2025,plantae,Avicenniaceae,Acanthaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Azaleaceae,Ericaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Azimaceae,Salvadoraceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Azollaceae,Salviniaceae,Marsileales,Polypodiopsida
apg_v14|col_v2025,plantae,Baeckeaceae,Myrtaceae,Myrtales,Magnoliopsida
apg_v14|col_v2025,plantae,Balanitaceae,Zygophyllaceae,Zygophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Balanopaceae,Balanopaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Balanophoraceae,Balanophoraceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Balsameaceae,Burseraceae,Sapindales,Magnoliopsida
apg_v14|col_v2025,plantae,Balsaminaceae,Balsaminaceae,Ericales,Magnoliopsida
apg_v14,plantae,Bambusaceae,Poaceae,Poales,Liliopsida
apg_v14,plantae,Barbaceniaceae,Velloziaceae,Pandanales,Liliopsida
apg_v14|col_v2025,plantae,Barbeuiaceae,Barbeuiaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Barbeyaceae,Barbeyaceae,Rosales,Magnoliopsida
apg_v14|col_v2025,plantae,Barclayaceae,Nymphaeaceae,Nymphaeales,Magnoliopsida
apg_v14,plantae,Barringtoniaceae,Lecythidaceae,Ericales,Magnoliopsida
apg_v14|col_v2025,plantae,Basellaceae,Basellaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Bataceae,Bataceae,Brassicales,Magnoliopsida
apg_v14|col_v2025,plantae,Baueraceae,Cunoniaceae,Oxalidales,Magnoliopsida
apg_v14,plantae,Bauhiniaceae,Fabaceae,Fabales,Magnoliopsida
apg_v14,plantae,Baxteriaceae,Dasypogonaceae,Arecales,Liliopsida
apg_v14|col_v2025,plantae,Begoniaceae,Begoniaceae,Cucurbitales,Magnoliopsida
apg_v14,plantae,Behniaceae,Asparagaceae,Asparagales,Liliopsida
apg_v14|col_v2025,plantae,Belangeraceae,Cunoniaceae,Oxalidales,Magnoliopsida
apg_v14|col_v2025,plantae,Belloniaceae,Gesneriaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Bembiciaceae,Salicaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Berberidaceae,Berberidaceae,Ranunculales,Magnoliopsida
apg_v14|col_v2025,plantae,Berberidopsidaceae,Berberidopsidaceae,Berberidopsidales,Magnoliopsida
apg_v14|col_v2025,plantae,Berryaceae,Malvaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Bersamaceae,Francoaceae,Geraniales,Magnoliopsida
apg_v14,plantae,Bertyaceae,Euphorbiaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Berzeliaceae,Bruniaceae,Bruniales,Magnoliopsida
apg_v14|col_v2025,plantae,Besleriaceae,Gesneriaceae,Lamiales,Magnoliopsida
apg_v14|col_v2025,plantae,Betaceae,Amaranthaceae,Caryophyllales,Magnoliopsida
apg_v14|col_v2025,plantae,Betulaceae,Betulaceae,Fagales,Magnoliopsida
apg_v14|col_v2025,plantae,Biebersteiniaceae,Biebersteiniaceae,Sapindales,Magnoliopsida
apg_v14,plantae,Bifariaceae,Santalaceae,Santalales,Magnoliopsida
apg_v14|col_v2025,plantae,Bignoniaceae,Bignoniaceae,Lamiales,Magnoliopsida
apg_v14,plantae,Bischofiaceae,Phyllanthaceae,Malpighiales,Magnoliopsida
apg_v14|col_v2025,plantae,Bixaceae,Bixaceae,Malvales,Magnoliopsida
apg_v14|col_v2025,plantae,Blakeaceae,Melastomataceae,Myrtales,Magnoliopsida
