seq,,collectionCode,institutionCode,collectionName,institutionName,scope,numberOfRecords,city,state,country,keywords_en
450,UFMG-REP_UFMG,UFMG-REP,UFMG,Coleção de Répteis do Centro de Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,animais,2946,Belo Horizonte,MG,Brasil,animals reptiles and amphibians vertebrates
452,UFMT-A_UFMT,UFMT-A,UFMT,Coleção Zoológica da UFMT- Setor Herpetologia-Amphibia,Universidade Federal de Mato Grosso,animais,10541,Cuiabá,MT,Brasil,animals reptiles and amphibians vertebrates
453,UFMT-CAP_UFMT,UFMT-CAP,UFMT,Coleção de Artrópodes do Pantanal da Universidade Federal de Mato Grosso,Universidade Federal de Mato Grosso,animais,1183,Cuiabá,MT,Brasil,animals arachnids insects terrestrial invertebrates
454,UFMT-R_UFMT,UFMT-R,UFMT,Coleção Zoológica da UFMT- Setor Herpetologia-Répteis,Universidade Federal de Mato Grosso,animais,10093,Cuiabá,MT,Brasil,animals reptiles and amphibians vertebrates
457,UFRGS_UFRGS,UFRGS,UFRGS,Coleção de Peixes,Universidade Federal do Rio Grande do Sul,animais,0,Porto Alegre,RS,Brasil,animals fishes vertebrates
462,UNT_UFT,UNT,UFT,Coleção de Peixes do Laboratório de Ictiologia Sistemática da Universidade Federal do Tocantins,Universidade Federal do Tocantins,animais,14573,Porto Nacional,TO,Brasil,animals fishes vertebrates
467,US-Animalia_SMITHSONIAN,US-Animalia,SMITHSONIAN,NMNH Extant Specimen and Observation Records,Smithsonian Institution,animais,346578,Washington,DC,Estados Unidos,animals
473,YPM-ENT_YALE,YPM-ENT,YALE,"Entomology Division, Yale Peabody Museum",Yale University,animais,11078,New Haven,CT,Estados Unidos,animals coleoptera beetles and scarabs insects lepidoptera butterflies and moths orthoptera grasshoppers crickets hopes terrestrial invertebrates
474,ZEE_AMPH_SEMA-AC,ZEE_AMPH,SEMA-AC,Zoneamento Ecológico Econômico do Acre - Amphibia,Secretaria de Estado de Meio Ambiente do Acre,animais,1340,Rio Branco,AC,Brasil,animals reptiles and amphibians vertebrates
475,ZEE_AVI_SEMA-AC,ZEE_AVI,SEMA-AC,Zoneamento Ecológico Econômico do Acre - Avifauna,Secretaria de Estado de Meio Ambiente do Acre,animais,3561,Rio Branco,AC,Brasil,animals birds vertebrates
476,ZEE_HERP_SEMA-AC,ZEE_HERP,SEMA-AC,Zoneamento Ecológico Econômico do Acre - Herpetofauna,Secretaria de Estado de Meio Ambiente do Acre,animais,343,Rio Branco,AC,Brasil,animals reptiles and amphibians vertebrates
477,ZEE_ICTIO_SEMA-AC,ZEE_ICTIO,SEMA-AC,Zoneamento Ecológico Econômico do Acre - Ictiofauna,Secretaria de Estado de Meio Ambiente do Acre,animais,888,Rio Branco,AC,Brasil,animals fishes vertebrates
478,ZEE_MAM_SEMA-AC,ZEE_MAM,SEMA-AC,Zoneamento Ecológico Econômico do Acre - Mammalia,Secretaria de Estado de Meio Ambiente do Acre,animais,2587,Rio Branco,AC,Brasil,animals mammals vertebrates
479,ZUEC-AMP_UNICAMP,ZUEC-AMP,UNICAMP,Coleção de Anfíbios do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,24121,Campinas,SP,Brasil,animals reptiles and amphibians vertebrates
481,ZUEC-APL_UNICAMP,ZUEC-APL,UNICAMP,Coleção de Aplacophora do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,251,Campinas,SP,Brasil,animals aquatic invertebrates mollusca
482,ZUEC-ARA_UNICAMP,ZUEC-ARA,UNICAMP,Coleção de Aracnideos do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,2108,Campinas,SP,Brasil,animals arachnids terrestrial invertebrates
483,ZUEC-ASC_UNICAMP,ZUEC-ASC,UNICAMP,Coleção de Ascidiacea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,127,Campinas,SP,Brasil,animals aquatic invertebrates chordata
484,ZUEC-AST_UNICAMP,ZUEC-AST,UNICAMP,Coleção de Asteroidea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,562,Campinas,SP,Brasil,animals aquatic invertebrates equinodermata
485,ZUEC-AVE_UNICAMP,ZUEC-AVE,UNICAMP,Coleção de Aves do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,1929,Campinas,SP,Brasil,animals birds vertebrates
486,ZUEC-BIV_UNICAMP,ZUEC-BIV,UNICAMP,Coleção de Bivalvia do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,7856,Campinas,SP,Brasil,animals aquatic invertebrates mollusca
487,ZUEC-BLA_UNICAMP,ZUEC-BLA,UNICAMP,Coleção de Blattodeado Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,390,Campinas,SP,Brasil,animals insects terrestrial invertebrates
488,ZUEC-BRA_UNICAMP,ZUEC-BRA,UNICAMP,Coleção de Brachiopoda do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,7,Campinas,SP,Brasil,animals aquatic invertebrates
489,ZUEC-BRY_UNICAMP,ZUEC-BRY,UNICAMP,Coleção de Bryozoa do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,58,Campinas,SP,Brasil,animals aquatic invertebrates
490,ZUEC-CEP_UNICAMP,ZUEC-CEP,UNICAMP,Coleção de Cephalopoda do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,8,Campinas,SP,Brasil,animals aquatic invertebrates mollusca
491,ZUEC-CLB_UNICAMP,ZUEC-CLB,UNICAMP,Coleção de Collembola do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3651,Campinas,SP,Brasil,animals insects terrestrial invertebrates
492,ZUEC-CNI_UNICAMP,ZUEC-CNI,UNICAMP,Coleção de Cnidaria do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,65,Campinas,SP,Brasil,animals aquatic invertebrates cnidaria
493,ZUEC-COL_UNICAMP,ZUEC-COL,UNICAMP,Coleção de Coleoptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3172,Campinas,SP,Brasil,animals coleoptera beetles and scarabs insects terrestrial invertebrates
494,ZUEC-CPH_UNICAMP,ZUEC-CPH,UNICAMP,Coleção de Cephalochordata do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,1,Campinas,SP,Brasil,animals aquatic invertebrates chordata
495,ZUEC-CRU_UNICAMP,ZUEC-CRU,UNICAMP,Coleção de Crustacea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,4340,Campinas,SP,Brasil,animals aquatic invertebrates arthropoda
496,ZUEC-DER_UNICAMP,ZUEC-DER,UNICAMP,Coleção de Dermaptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,57,Campinas,SP,Brasil,animals dermaptera earwig insects terrestrial invertebrates
497,ZUEC-DIP_UNICAMP,ZUEC-DIP,UNICAMP,Coleção de Diptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3361,Campinas,SP,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
498,ZUEC-ECH_UNICAMP,ZUEC-ECH,UNICAMP,Coleção de Echinoidea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,71,Campinas,SP,Brasil,animals aquatic invertebrates equinodermata
499,ZUEC-EPH_UNICAMP,ZUEC-EPH,UNICAMP,Coleção de Ephemeroptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,34,Campinas,SP,Brasil,animals ephemeroptera insects terrestrial invertebrates
500,ZUEC-GAS_UNICAMP,ZUEC-GAS,UNICAMP,Coleção de Gastropoda do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,7242,Campinas,SP,Brasil,animals aquatic invertebrates mollusca
501,ZUEC-GCH_UNICAMP,ZUEC-GCH,UNICAMP,Coleção de Gastrotricha do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,51,Campinas,SP,Brasil,animals aquatic invertebrates
502,ZUEC-HEM_UNICAMP,ZUEC-HEM,UNICAMP,Coleção de Hemiptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,4583,Campinas,SP,Brasil,animals insects terrestrial invertebrates
503,ZUEC-HOL_UNICAMP,ZUEC-HOL,UNICAMP,Coleção de Holothuroidea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,104,Campinas,SP,Brasil,animals aquatic invertebrates equinodermata
504,ZUEC-HYM_UNICAMP,ZUEC-HYM,UNICAMP,Coleção de Hymenoptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3722,Campinas,SP,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
505,ZUEC-ISO_UNICAMP,ZUEC-ISO,UNICAMP,Coleção de Isopterado Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,557,Campinas,SP,Brasil,animals insects isoptera terrestrial invertebrates
506,ZUEC-LEP_UNICAMP,ZUEC-LEP,UNICAMP,Coleção de Lepidoptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,10612,Campinas,SP,Brasil,animals insects lepidoptera butterflies and moths terrestrial invertebrates
507,ZUEC-MAM_UNICAMP,ZUEC-MAM,UNICAMP,Coleção de Mamíferos do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,2365,Campinas,SP,Brasil,animals mammals vertebrates
508,ZUEC-MYX_UNICAMP,ZUEC-MYX,UNICAMP,Coleção de Myxozoa do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,76,Campinas,SP,Brasil,animals
509,ZUEC-NEM_UNICAMP,ZUEC-NEM,UNICAMP,Coleção de Nemertea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,40,Campinas,SP,Brasil,animals
510,ZUEC-NEU_UNICAMP,ZUEC-NEU,UNICAMP,Coleção de Neuroptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,10,Campinas,SP,Brasil,animals insects neuroptera terrestrial invertebrates
511,ZUEC-NMA_UNICAMP,ZUEC-NMA,UNICAMP,Coleção de Nematoda do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,24,Campinas,SP,Brasil,animals
512,ZUEC-OPH_UNICAMP,ZUEC-OPH,UNICAMP,Coleção de Ophiuroidea do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3035,Campinas,SP,Brasil,animals aquatic invertebrates equinodermata
513,ZUEC-ORT_UNICAMP,ZUEC-ORT,UNICAMP,Coleção de Orthoptera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,2505,Campinas,SP,Brasil,animals insects orthoptera grasshoppers crickets hopes terrestrial invertebrates
514,ZUEC-PIS_UNICAMP,ZUEC-PIS,UNICAMP,Coleção de Peixes do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,17132,Campinas,SP,Brasil,animals fishes vertebrates
515,ZUEC-PLA_UNICAMP,ZUEC-PLA,UNICAMP,Coleção de Platyhelmintes do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,153,Campinas,SP,Brasil,animals
516,ZUEC-POL_UNICAMP,ZUEC-POL,UNICAMP,Coleção de Polychaeta do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,18571,Campinas,SP,Brasil,animals annelida aquatic invertebrates
517,ZUEC-POP_UNICAMP,ZUEC-POP,UNICAMP,Coleção de Polyplacophora do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3,Campinas,SP,Brasil,animals aquatic invertebrates mollusca
518,ZUEC-POR_UNICAMP,ZUEC-POR,UNICAMP,Coleção de Porifera do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,89,Campinas,SP,Brasil,animals aquatic invertebrates
519,ZUEC-REP_UNICAMP,ZUEC-REP,UNICAMP,Coleção de Répteis do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,animais,3891,Campinas,SP,Brasil,animals reptiles and amphibians vertebrates
520,ZUEC-VID_UNICAMP,ZUEC-VID,UNICAMP,Coleção Audiovisual do Museu de Zoologia Adão José Cardoso da UNICAMP - Coleção de vídeos,Universidade Estadual de Campinas,animais,761,Campinas,SP,Brasil,animals
521,ZUFMS-AMP_UFMS,ZUFMS-AMP,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Amphibia,Universidade Federal de Mato Grosso do Sul,animais,11271,Campo Grande,MS,Brasil,animals reptiles and amphibians vertebrates
522,ZUFMS-CRU_UFMS,ZUFMS-CRU,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Crustacea,Universidade Federal de Mato Grosso do Sul,animais,126,Campo Grande,MS,Brasil,animals aquatic invertebrates arthropoda
524,ZUFMS-HYM_UFMS,ZUFMS-HYM,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Hymenoptera,Universidade Federal de Mato Grosso do Sul,animais,3047,Campo Grande,MS,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
525,ZUFMS-MOL_UFMS,ZUFMS-MOL,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Mollusca,Universidade Federal de Mato Grosso do Sul,animais,94,,MS,Brasil,animals aquatic invertebrates mollusca
526,ZUFMS-NEM_UFMS,ZUFMS-NEM,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Nematoda,Universidade Federal de Mato Grosso do Sul,animais,72,Campo Grande,MS,Brasil,animals terrestrial invertebrates
527,ZUFMS-ODO_UFMS,ZUFMS-ODO,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Odonata,Universidade Federal de Mato Grosso do Sul,animais,31,Campo Grande,MS,Brasil,animals insects terrestrial invertebrates
528,ZUFMS-ORT_UFMS,ZUFMS-ORT,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Orthoptera,Universidade Federal de Mato Grosso do Sul,animais,729,Campo Grande,MS,Brasil,animals insects orthoptera grasshoppers crickets hopes terrestrial invertebrates
529,ZUFMS-PIS_UFMS,ZUFMS-PIS,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Peixes,Universidade Federal de Mato Grosso do Sul,animais,5859,Campo Grande,MS,Brasil,animals fishes vertebrates
530,ZUFMS-REP_UFMS,ZUFMS-REP,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Reptilia,Universidade Federal de Mato Grosso do Sul,animais,3252,Campo Grande,MS,Brasil,animals reptiles and amphibians vertebrates
320,MCP-Fosseis_PUCRS,MCP-Fosseis,PUCRS,Coleção de Fósseis,Pontifícia Universidade Católica do Rio Grande do Sul,fosseis,6909,Porto Alegre,RS,Brasil,fossil
363,NHM-London-PAL_NHMLondon,NHM-London-PAL,NHMLondon,Palaeontological collections,Natural History Museum London,fosseis,413,Londres,,Inglaterra,fossil
523,ZUFMS-FOS_UFMS,ZUFMS-FOS,UFMS,Coleção Zoológica de Referência da Universidade Federal de Mato Grosso do Sul - Fósseis,Universidade Federal de Mato Grosso do Sul,fosseis,132,Campo Grande,MS,Brasil,fossil
13,BGB_EMBRAPA,BGB,EMBRAPA,Banco de Germoplasma de Bacillus spp. para controle biológico,Empresa Brasileira de Pesquisa Agropecuária,micro,1989,Brasília,DF,Brasil,bacteria microorganisms
24,BR_EMBRAPA,BR,EMBRAPA,Coleção de Culturas de Bactérias Diazotróficas,Empresa Brasileira de Pesquisa Agropecuária,micro,311,Seropédica,RJ,Brasil,bacteria microorganisms
30,CBMAI_UNICAMP,CBMAI,UNICAMP,Coleção Brasileira de Micro-organismos de Ambiente e Indústria,Universidade Estadual de Campinas,micro,582,Paulínia,SP,Brasil,microorganisms
32,CCDCA_UFLA,CCDCA,UFLA,Coleção de Culturas de Microrganismos do Departamento de Ciência dos Alimentos/UFLA,Universidade Federal de Lavras,micro,396,Lavras,MG,Brasil,filamentous fungi microorganisms
48,CFAF_EMBRAPA,CFAF,EMBRAPA,Coleção de Culturas de Fitopatógenos e Agentes de Controle Biológico de Fitopatógenos,Empresa Brasileira de Pesquisa Agropecuária,micro,138,Brasília,DF,Brasil,filamentous fungi microorganisms
50,CFEOCA_IB,CFEOCA,IB,Coleção de Fungos Entomopatogênicos Oldemar Cardim Abreu,Instituto Biológico,micro,865,Campinas,SP,Brasil,filamentous fungi microorganisms
51,CFEUnioeste_UNIOESTE,CFEUnioeste,UNIOESTE,Coleção de Fungos Entomopatogênicos do Laboratório de Biotecnologia Agrícola,Universidade Estadual do Oeste do Paraná,micro,74,Cascavel,PR,Brasil,filamentous fungi microorganisms
52,CG_EMBRAPA,CG,EMBRAPA,Coleção de Culturas de Fungos Entomopatogênicos,Empresa Brasileira de Pesquisa Agropecuária,micro,889,Brasília,DF,Brasil,filamentous fungi microorganisms
57,CICG_FURB,CICG,FURB,Coleção Internacional de Cultura de Glomeromycota,Universidade Regional de Blumenau,micro,92,Blumenau,SC,Brasil,filamentous fungi microorganisms
63,CMRP_UFPR,CMRP,UFPR,Coleções Microbiológicas da Rede Paranaense - Taxonline,Universidade Federal do Paraná,micro,5008,Curitiba,PR,Brasil,bacteria filamentous fungi microorganisms
82,CRM-UNESP_UNESP,CRM-UNESP,UNESP,Central de Recursos Microbianos da UNESP,Universidade Estadual Paulista,micro,982,Rio Claro,SP,Brasil,bacteria filamentous fungi microorganisms yeasts
128,Fepagro-SEMIA_FEPAGRO,Fepagro-SEMIA,FEPAGRO,Coleção SEMIA de Rizóbios,Fundação Estadual de Pesquisa Agropecuária,micro,907,Porto Alegre,RS,Brasil,bacteria microorganisms
130,Fiocruz-CBAM_FIOCRUZ,Fiocruz-CBAM,FIOCRUZ,Coleção de Bactérias da Amazônia,Fundação Oswaldo Cruz,micro,427,Manaus,AM,Brasil,bacteria microorganisms
131,Fiocruz-CBAS_FIOCRUZ,Fiocruz-CBAS,FIOCRUZ,Coleção de Bactérias do Ambiente e Saúde,Fundação Oswaldo Cruz,micro,435,Rio de Janeiro,RJ,Brasil,bacteria microorganisms
133,Fiocruz-CCAMP_FIOCRUZ,Fiocruz-CCAMP,FIOCRUZ,Coleção de Campylobacter,Fundação Oswaldo Cruz,micro,201,Rio de Janeiro,RJ,Brasil,bacteria microorganisms
134,Fiocruz-CCBH_FIOCRUZ,Fiocruz-CCBH,FIOCRUZ,Coleção de Culturas de Bactérias de Origem Hospitalar,Fundação Oswaldo Cruz,micro,42,Rio de Janeiro,RJ,Brasil,bacteria microorganisms
136,Fiocruz-CCFF_FIOCRUZ,Fiocruz-CCFF,FIOCRUZ,Coleção de Culturas de Fungos Filamentosos,Fundação Oswaldo Cruz,micro,1015,Rio de Janeiro,RJ,Brasil,filamentous fungi microorganisms
137,Fiocruz-CCGB_FIOCRUZ,Fiocruz-CCGB,FIOCRUZ,Coleção de Culturas de Bacillus e Gêneros Correlatos,Fundação Oswaldo Cruz,micro,1152,Rio de Janeiro,RJ,Brasil,bacteria microorganisms
140,Fiocruz-CFAM_FIOCRUZ,Fiocruz-CFAM,FIOCRUZ,Coleção de Fungos da Amazônia,Fundação Oswaldo Cruz,micro,347,Manaus,AM,Brasil,filamentous fungi microorganisms
141,Fiocruz-CFP_FIOCRUZ,Fiocruz-CFP,FIOCRUZ,Coleção de Fungos Patogênicos,Fundação Oswaldo Cruz,micro,61,Rio de Janeiro,RJ,Brasil,filamentous fungi microorganisms
143,Fiocruz-CLEP_FIOCRUZ,Fiocruz-CLEP,FIOCRUZ,Coleção de Leptospira,Fundação Oswaldo Cruz,micro,192,Rio de Janeiro,RJ,Brasil,bacteria microorganisms
144,Fiocruz-CLIOC_FIOCRUZ,Fiocruz-CLIOC,FIOCRUZ,Coleção de Leishmania do Instituto Oswaldo Cruz,Fundação Oswaldo Cruz,micro,813,Rio de Janeiro,RJ,Brasil,microorganisms protozoários
145,Fiocruz-CLIST_FIOCRUZ,Fiocruz-CLIST,FIOCRUZ,Coleção de Listeria,Fundação Oswaldo Cruz,micro,55,Rio de Janeiro,RJ,Brasil,bacteria microorganisms
150,Fiocruz-COLPROT_FIOCRUZ,Fiocruz-COLPROT,FIOCRUZ,Coleção de Protozoários,Fundação Oswaldo Cruz,micro,94,Rio de Janeiro,RJ,Brasil,microorganisms protozoários
151,Fiocruz-COLTRYP_FIOCRUZ,Fiocruz-COLTRYP,FIOCRUZ,"Coleção de Trypanosoma de Mamíferos Silvestres, Domésticos e Vetores",Fundação Oswaldo Cruz,micro,741,Rio de Janeiro,RJ,Brasil,microorganisms protozoários
155,Fiocruz-CYP_FIOCRUZ,Fiocruz-CYP,FIOCRUZ,Coleção de Yersinia pestis,Fundação Oswaldo Cruz,micro,414,Recife,PE,Brasil,bacteria microorganisms
242,IBSBF_IB,IBSBF,IB,Coleção de Culturas de Fitobactérias do Instituto Biológico,Instituto Biológico,micro,2715,Campinas,SP,Brasil,bacteria microorganisms
292,LaFMA_UFPR,LaFMA,UFPR,Coleção de Foraminíferos,Universidade Federal do Paraná,micro,604,Curitiba,PR,Brasil,microorganisms protozoários
336,MGSS_UEMA,MGSS,UEMA,Micoteca Prof. Gilson Soares da Silva,Universidade Estadual do Maranhão,micro,270,São Luís,MA,Brasil,filamentous fungi microorganisms
445,UFMG-CM_UFMG,UFMG-CM,UFMG,Coleção de Micro-organismos do Centro de Coleções Taxonômicas da UFMG,Universidade Federal de Minas Gerais,micro,6296,Belo Horizonte,MG,Brasil,bacteria filamentous fungi microorganisms yeasts
465,URM-Micoteca_UFPE,URM-Micoteca,UFPE,Micoteca URM,Universidade Federal de Pernambuco,micro,6201,Recife,PE,Brasil,filamentous fungi microorganisms yeasts
480,ZUEC-API_UNICAMP,ZUEC-API,UNICAMP,Coleção de Apicomplexa do Museu de Zoologia da UNICAMP,Universidade Estadual de Campinas,micro,6,Campinas,SP,Brasil,microorganisms protozoários
