seq,,collectionCode,institutionCode,collectionName,institutionName,scope,numberOfRecords,city,state,country,keywords_en
262,INPA-Arachnida-Solifugae_INPA,INPA-Arachnida-Solifugae,INPA,Coleção de Solífugos INPA,Instituto Nacional de Pesquisas da Amazônia,animais,7,Manaus,AM,Brasil,animals arachnids solifugae camel spider terrestrial invertebrates
263,INPA-Arachnida-Thelyphonida_INPA,INPA-Arachnida-Thelyphonida,INPA,Coleção de Thelyphonidas INPA,Instituto Nacional de Pesquisas da Amazônia,animais,32,Manaus,AM,Brasil,animals arachnids terrestrial invertebrates thelyphonida whip scorpion
265,INPA-Chilopoda_INPA,INPA-Chilopoda,INPA,Coleção de Chilopodas INPA,Instituto Nacional de Pesquisas da Amazônia,animais,430,Manaus,AM,Brasil,animals aquatic invertebrates chilopoda
266,INPA-Crustacea_INPA,INPA-Crustacea,INPA,Coleção de Crustacea INPA,Instituto Nacional de Pesquisas da Amazônia,animais,142,Manaus,AM,Brasil,animals aquatic invertebrates arthropoda
267,INPA-Diplopoda_INPA,INPA-Diplopoda,INPA,Coleção de Diplópodes INPA,Instituto Nacional de Pesquisas da Amazônia,animais,196,Manaus,AM,Brasil,animals terrestrial invertebrates
269,INPA-Herpeto_INPA,INPA-Herpeto,INPA,Coleção de Anfíbios e Répteis INPA,Instituto Nacional de Pesquisas da Amazônia,animais,23108,Manaus,AM,Brasil,animals reptiles and amphibians vertebrates
270,INPA-Hymenoptera_INPA,INPA-Hymenoptera,INPA,Coleção de Hymenoptera INPA,Instituto Nacional de Pesquisas da Amazônia,animais,31667,Manaus,AM,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
271,INPA-Insecta-tipos_INPA,INPA-Insecta-tipos,INPA,Coleção de tipos de Insetos INPA,Instituto Nacional de Pesquisas da Amazônia,animais,2290,Manaus,AM,Brasil,animals insects terrestrial invertebrates
272,INPA-Mamiferos-tipos_INPA,INPA-Mamiferos-tipos,INPA,Coleção de tipos de Mamíferos INPA,Instituto Nacional de Pesquisas da Amazônia,animais,96,Manaus,AM,Brasil,animals mammals vertebrates
273,INPA-Mollusca_INPA,INPA-Mollusca,INPA,Coleção de Moluscos INPA,Instituto Nacional de Pesquisas da Amazônia,animais,1470,Manaus,AM,Brasil,animals aquatic invertebrates mollusca
274,INPA-Nemata_INPA,INPA-Nemata,INPA,Coleção de Nemata INPA,Instituto Nacional de Pesquisas da Amazônia,animais,33,Manaus,AM,Brasil,animals terrestrial invertebrates
275,INPA-Pauropoda_INPA,INPA-Pauropoda,INPA,Coleção Pauropoda INPA,Instituto Nacional de Pesquisas da Amazônia,animais,168,Manaus,AM,Brasil,animals aquatic invertebrates pauropoda
276,INPA-Peixes_INPA,INPA-Peixes,INPA,Coleção de Peixes INPA,Instituto Nacional de Pesquisas da Amazônia,animais,37666,Manaus,AM,Brasil,animals fishes vertebrates
277,INPA-Plathyhelminthes_INPA,INPA-Plathyhelminthes,INPA,Coleção de Platelmintos INPA,Instituto Nacional de Pesquisas da Amazônia,animais,518,Manaus,AM,Brasil,animals terrestrial invertebrates
278,INPA-Porifera_INPA,INPA-Porifera,INPA,Coleção Porífera INPA,Instituto Nacional de Pesquisas da Amazônia,animais,70,Manaus,AM,Brasil,animals aquatic invertebrates mollusca
279,INPA-Rotifera_INPA,INPA-Rotifera,INPA,Coleção de Rotifera INPA,Instituto Nacional de Pesquisas da Amazônia,animais,37,Manaus,AM,Brasil,animals aquatic invertebrates rotifera
280,INPA-Symphyla_INPA,INPA-Symphyla,INPA,Coleção Symphyla INPA,Instituto Nacional de Pesquisas da Amazônia,animais,21,Manaus,AM,Brasil,animals aquatic invertebrates symphyla
288,KU-SEMC_KU,KU-SEMC,KU,Snow Entomological Museum Collection,The University of Kansas,animais,374084,Lawrence,KS,Estados Unidos,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
291,LabZoo_UFES,LabZoo,UFES,Laboratório de Zooplâncton,Universidade Federal do Espírito Santo,animais,12977,Vitória,ES,Brasil,animals aquatic invertebrates
294,LEACOL_UFMA,LEACOL,UFMA,Coleção de Abelhas do Laboratório de Estudos sobre Abelhas,Universidade Federal do Maranhão,animais,19014,São Luís,MA,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
295,LEBIC_UFCG,LEBIC,UFCG,Laboratório de Ecologia e Biogeografia de Insetos da Caatinga,Universidade Federal de Campina Grande,animais,3851,Patos,PB,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
296,LESPP_UFMA,LESPP,UFMA,Laboratório de Ecologia e Sistemática de Insetos Polinizadores e Predadores,Universidade Federal do Maranhão,animais,1479,São Luís,MA,Brasil,animals insects terrestrial invertebrates
297,LIRP_USP,LIRP,USP,Coleção de Peixes do Laboratório de Ictiologia de Ribeirão Preto,Universidade de São Paulo,animais,15899,Ribeirão Preto,SP,Brasil,animals fishes vertebrates
305,MBML-Anfibios_INMA,MBML-Anfibios,INMA,Coleção de Anfíbios MBML,Instituto Nacional da Mata Atlântica,animais,12102,Santa Teresa,ES,Brasil,animals reptiles and amphibians vertebrates
306,MBML-Aves_INMA,MBML-Aves,INMA,Coleção de Aves MBML,Instituto Nacional da Mata Atlântica,animais,7718,Santa Teresa,ES,Brasil,animals birds vertebrates
308,MBML-Mamiferos_INMA,MBML-Mamiferos,INMA,Coleção de Mamíferos,Instituto Nacional da Mata Atlântica,animais,3854,Santa Teresa,ES,Brasil,animals mammals vertebrates
309,MBML-Peixes_INMA,MBML-Peixes,INMA,Coleção de Peixes,Instituto Nacional da Mata Atlântica,animais,14007,Santa Teresa,ES,Brasil,animals fishes vertebrates
310,MBML-Repteis_INMA,MBML-Repteis,INMA,Coleção de Répteis,Instituto Nacional da Mata Atlântica,animais,4762,Santa Teresa,ES,Brasil,animals reptiles and amphibians vertebrates
313,MCNAM_PUC-MINAS,MCNAM,PUC-MINAS,Coleção de Herpetologia,Pontifícia Universidade Católica de Minas Gerais,animais,1733,Belo Horizonte,MG,Brasil,animals reptiles and amphibians vertebrates
314,MCN-M_PUC-MINAS,MCN-M,PUC-MINAS,Coleção de Mastozoologia do Museu de Ciências Naturais PUC Minas,Pontifícia Universidade Católica de Minas Gerais,animais,1309,Belo Horizonte,MG,Brasil,animals mammals vertebrates
315,MCNR_PUC-MINAS,MCNR,PUC-MINAS,Coleção de Herpetologia,Pontifícia Universidade Católica de Minas Gerais,animais,5350,Belo Horizonte,MG,Brasil,animals reptiles and amphibians vertebrates
316,MCP-Abelhas_PUCRS,MCP-Abelhas,PUCRS,Coleção de Abelhas,Pontifícia Universidade Católica do Rio Grande do Sul,animais,52212,Porto Alegre,RS,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
317,MCP-Anfibios_PUCRS,MCP-Anfibios,PUCRS,Coleção de Anfíbios,Pontifícia Universidade Católica do Rio Grande do Sul,animais,14565,Porto Alegre,RS,Brasil,animals reptiles and amphibians vertebrates
318,MCP-Aves_PUCRS,MCP-Aves,PUCRS,Coleção de Aves,Pontifícia Universidade Católica do Rio Grande do Sul,animais,5514,Porto Alegre,RS,Brasil,animals birds vertebrates
319,MCP-Crustaceos_PUCRS,MCP-Crustaceos,PUCRS,Coleção de Crustáceos,Pontifícia Universidade Católica do Rio Grande do Sul,animais,3218,Porto Alegre,RS,Brasil,animals aquatic invertebrates arthropoda
321,MCP-Mamiferos_PUCRS,MCP-Mamiferos,PUCRS,Coleção de Mamíferos,Pontifícia Universidade Católica do Rio Grande do Sul,animais,1585,Porto Alegre,RS,Brasil,animals mammals vertebrates
322,MCP-Moluscos_PUCRS,MCP-Moluscos,PUCRS,Coleção de Moluscos,Pontifícia Universidade Católica do Rio Grande do Sul,animais,10672,Porto Alegre,RS,Brasil,animals aquatic invertebrates mollusca
323,MCP-Peixes_PUCRS,MCP-Peixes,PUCRS,Coleção de Peixes,Pontifícia Universidade Católica do Rio Grande do Sul,animais,54514,Porto Alegre,RS,Brasil,animals fishes vertebrates
324,MCP-Repteis_PUCRS,MCP-Repteis,PUCRS,Coleção de Répteis,Pontifícia Universidade Católica do Rio Grande do Sul,animais,19633,Porto Alegre,RS,Brasil,animals reptiles and amphibians vertebrates
325,MCTP-Aracnideos_PUCRS,MCTP-Aracnideos,PUCRS,Coleção de Arachnida e Myriapoda (ordens menores),Pontifícia Universidade Católica do Rio Grande do Sul,animais,694,Porto Alegre,RS,Brasil,acari mites amblypygi tailless whip scorpions animals arachnids pseudoscorpiones pseudoscorpions book scorpions ricinuleis hooded tickspiders terrestrial invertebrates
326,MCTP-Aranhas_PUCRS,MCTP-Aranhas,PUCRS,Coleção de Arachnida e Myriapoda,Pontifícia Universidade Católica do Rio Grande do Sul,animais,43762,Porto Alegre,RS,Brasil,animals arachnids araneae spiders terrestrial invertebrates
327,MCTP-Escorpioes_PUCRS,MCTP-Escorpioes,PUCRS,Coleção de Arachnida e Myriapoda,Pontifícia Universidade Católica do Rio Grande do Sul,animais,981,Porto Alegre,RS,Brasil,animals arachnids scorpiones scorpions terrestrial invertebrates
328,MCTP-Insetos_PUCRS,MCTP-Insetos,PUCRS,Coleção de Insetos,Pontifícia Universidade Católica do Rio Grande do Sul,animais,66802,Porto Alegre,RS,Brasil,animals coleoptera beetles and scarabs dermaptera earwig diptera flies and mosquitoes hymenoptera ants bees and wasps insects lepidoptera butterflies and moths orthoptera grasshoppers crickets hopes terrestrial invertebrates trichoptera caddisflies
329,MCTP-Miriapodes_PUCRS,MCTP-Miriapodes,PUCRS,Coleção de Arachnida e Myriapoda,Pontifícia Universidade Católica do Rio Grande do Sul,animais,203,Porto Alegre,RS,Brasil,animals arachnids myriapoda  terrestrial invertebrates
330,MCTP-Opilioes_PUCRS,MCTP-Opilioes,PUCRS,Coleção de Arachnida e Myriapoda,Pontifícia Universidade Católica do Rio Grande do Sul,animais,687,Porto Alegre,RS,Brasil,animals arachnids opiliones harvestmen daddy longlegs terrestrial invertebrates
331,MEFEIS_UNESP,MEFEIS,UNESP,Coleção do Museu de Entomologia da FEIS/Unesp,Universidade Estadual Paulista,animais,4699,Ilha Solteira,SP,Brasil,animals insects terrestrial invertebrates
337,MHNCI-Arachnida_MHNCI,MHNCI-Arachnida,MHNCI,Coleção de Arachnida MHNCI,Museu de História Natural Capão da Imbuia,animais,1601,Curitiba,PR,Brasil,animals arachnids terrestrial invertebrates
338,MHNCI-Aves_MHNCI,MHNCI-Aves,MHNCI,Coleção Ornitológica MHNCI,Museu de História Natural Capão da Imbuia,animais,4932,Curitiba,PR,Brasil,animals birds vertebrates
339,MHNCI-Crustacea_MHNCI,MHNCI-Crustacea,MHNCI,Coleção de Crustacea MHNCI,Museu de História Natural Capão da Imbuia,animais,1850,Curitiba,PR,Brasil,animals aquatic invertebrates arthropoda
340,MHNCI-Entomologia_MHNCI,MHNCI-Entomologia,MHNCI,Coleção Entomológica MHNCI,Museu de História Natural Capão da Imbuia,animais,1778,Curitiba,PR,Brasil,animals insects terrestrial invertebrates
341,MHNCI-Herpeto_MHNCI,MHNCI-Herpeto,MHNCI,Coleção Herpetológica MHNCI,Museu de História Natural Capão da Imbuia,animais,12729,Curitiba,PR,Brasil,animals reptiles and amphibians vertebrates
342,MHNCI-Mamiferos_MHNCI,MHNCI-Mamiferos,MHNCI,Coleção de Mamíferos MHNCI,Museu de História Natural Capão da Imbuia,animais,8149,Curitiba,PR,Brasil,animals mammals vertebrates
343,MHNCI-Miriapoda_MHNCI,MHNCI-Miriapoda,MHNCI,Coleção de Miriapoda MHNCI,Museu de História Natural Capão da Imbuia,animais,273,Curitiba,PR,Brasil,animals aquatic invertebrates miriapoda
