order,source,status,country_code,state_code,county_code,code,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,loc,loc.correct,latitude.gazetteer,longitude.gazetteer,resolution.gazetteer,AtlanticForest_Lei11428,AreaAF.prop_Lei11428,leiMA.prop_novo_conferir,AtlanticForest_Biomas_MMA,biome,checagem,warning,loc.best
31,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Coronel Dorrego,NA,NA,argentina_buenos aires_coronel dorrego,argentina_buenos aires_coronel dorrego,-38.67016213,-61.09513446,county,others,0.0,NA,others,NA,NA,NA,NA
32,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Coronel de Marina Leonardo Rosales,NA,NA,argentina_buenos aires_coronel marina leonardo rosales,argentina_buenos aires_coronel marina leonardo rosales,-38.84511007,-61.83424546,county,others,0.0,NA,others,NA,NA,NA,NA
33,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Coronel Pringles,NA,NA,argentina_buenos aires_coronel pringles,argentina_buenos aires_coronel pringles,-38.1485159,-61.26630766,county,others,0.0,NA,others,NA,NA,NA,NA
34,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Coronel Suárez,NA,NA,argentina_buenos aires_coronel suarez,argentina_buenos aires_coronel suarez,-37.53076804,-61.88754685,county,others,0.0,NA,others,NA,NA,NA,NA
12477,splink_jabot,check,AR,BA,NA,NA,Argentina,buenos aires,"corrientes, dep. esquina",NA,NA,"argentina_buenos aires_corrientes, dep. esquina",NA,NA,NA,NA,NA,NA,NA,NA,NA,check_loc_impossible,check_loc_impossible,"argentina_buenos aires_corrientes, esquina"
12478,splink_jabot,check,AR,BA,NA,NA,Argentina,buenos aires,"corrientes, dep. mercedes",NA,NA,"argentina_buenos aires_corrientes, dep. mercedes",NA,NA,NA,NA,NA,NA,NA,NA,NA,check_loc_impossible,check_loc_impossible,"argentina_buenos aires_corrientes, mercedes"
12479,splink_jabot,ok,AR,BA,NA,NA,Argentina,Corrientes,San Luis del Palmar,NA,NA,"argentina_buenos aires_corrientes, dep. san luis palmar",argentina_corrientes_san luis palmar,-27.59678603,-58.27052872,county,others,0.0,NA,others,NA,check_loc_impossible,check_loc_impossible,"argentina_buenos aires_corrientes, san luis palmar"
12480,splink_jabot,ok,AR,BA,NA,NA,Argentina,Corrientes,San Luis del Palmar,NA,NA,"argentina_buenos aires_corrientes, san luis palmar",argentina_corrientes_san luis palmar,-27.59678603,-58.27052872,county,others,0.0,NA,others,NA,NA,NA,NA
35,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Daireaux,NA,NA,argentina_buenos aires_daireaux,argentina_buenos aires_daireaux,-36.64003598,-61.8906017,county,others,0.0,NA,others,NA,NA,NA,NA
36,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Dolores,NA,NA,argentina_buenos aires_dolores,argentina_buenos aires_dolores,-36.40075329,-57.63800854,county,others,0.0,NA,others,NA,NA,NA,NA
37,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Ensenada,NA,NA,argentina_buenos aires_ensenada,argentina_buenos aires_ensenada,-34.84196098,-57.9827832,county,others,0.0,NA,others,NA,NA,NA,NA
38,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Escobar,NA,NA,argentina_buenos aires_escobar,argentina_buenos aires_escobar,-34.33455675,-58.77468414,county,others,0.0,NA,others,NA,NA,NA,NA
39,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Esteban Echeverría,NA,NA,argentina_buenos aires_esteban echeverria,argentina_buenos aires_esteban echeverria,-34.8691975,-58.53057612,county,others,0.0,NA,others,NA,NA,NA,NA
40,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Exaltación de la Cruz,NA,NA,argentina_buenos aires_exaltacion cruz,argentina_buenos aires_exaltacion cruz,-34.29932323,-59.16125719,county,others,0.0,NA,others,NA,NA,NA,NA
41,gadm,ok,AR,BA,NA,NA,Argentina,Buenos Aires,Florencio Varela,NA,NA,argentina_buenos aires_florencio varela,argentina_buenos aires_florencio varela,-34.88244441,-58.26393381,county,others,0.0,NA,others,NA,NA,NA,NA
