order,collection.string,collectioncode.gbif,institutioncode.gbif,name,records,pub.date,citation,license,datasetkey,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,total accessioned,geography,exchange,current status,notes,commenced date,incorporated herbaria,associatedHerbaria,latitude,longitude,physical street address,physical city,physical state,physical post code,physical country,col.OBS,,Herbarium vouchers Y/N,Herbarium vouchers Y (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,name,,,,,,,Collection acronym,institution,,,,Collection size (# specimens),Collection specialisation,,,Last update,,,Online database,,,adress,City,,,Country,,,,
18,JARIw_NA,JARIw,NA,Herbario e Xiloteca Jari,,,,,,,JARIw,"JARI-Companhia Florestal Monte Dourado, Superintendencia de Pesquisa Florestal",,,,800,Jari River Basin,,,Last update: 1988,,,,,,"68,240 Monte Dourado, Para",MONTE DOURADO,,,Brazil,xylarium,,Y,95
19,ESAw_NA,ESAw,NA,Laboratorio de Anatomia e Identificacao de Madeiras,,,,,,,ESAw,"Curso de Engenharia Florestal, Escola Superior de Agricultura Luiz de Queiroz, Universidade de Sao Paulo",,,,1600,Native and introduced species of Brazil,,,Last update: 2007,,,,,,"P.O. Box 09, 13418-900, Piracicaba, Sao Paulo",PIRACICABA,,,Brazil,xylarium,,Y,30
20,TIPw_NA,TIPw,NA,Wood collection Sergio Tavares,,,,,,,TIPw,"Universidade Federal Rural de Pernambuco (Rural Federal University of Pernambuco), Departamento de Ciencia Florestal (Forest Science Department) - Herbarium Sergio Tavares, ",,,,4600,northeast of Brazil,,,Last update: 2005,,,,,,"Av Dom Manuel de Medeiros s/n, Dois Irmaos, Recife, Pernambuco, CEP 52171-900",RECIFE,,,Brazil,xylarium,,Y,50
21,SUDENEw_NA,SUDENEw,NA,Wood collection Sergio Tavares,,,,,,,SUDENEw,"Universidade Federal Rural de Pernambuco (Rural Federal University of Pernambuco), Departamento de Ciencia Florestal (Forest Science Department) - Herbarium Sergio Tavares, ",,,,80000,northeast of Brazil,,,Last update: 2005,,,,,,"Av Dom Manuel de Medeiros s/n, Dois Irmaos, Recife, Pernambuco, CEP 52171-900",RECIFE,,,Brazil,xylarium,,Y,?
22,RBw_NA,RBw,NA,Xiloteca do Jardim Botanico do Rio de Janeiro,,,,,,,RBw,Instituto de Pesquisas Jardim Botanico do Rio de Janeiro,,,,8000,"Atlantic Rain Forest, Brazil, Rio de Janeiro",,,Last update: 2002,,,www.jbrj.gov.br,,,"Rua Pacheco Leao, 915, Horto, Rio de Janeiro, RJ, 22460-030",RIO DE JANEIRO,,,Brazil,xylarium,,Y,19
23,,,,Antracoteca do Museu Nacional/UFRJ,,,,,,,,"Museu Nacional, Universidade Federal do Rio de Janeiro",,,,2320,Brazilian vegetation types,,,Last update: 2015,,,,,,"Quinta da Boa Vista, s/nº. São Cristóvão, 20940-040 Rio de Janeiro, RJ.",RIO DE JANEIRO,,,Brazil,xylarium,,Y,23
24,NITw_NA,NITw,NA,Xiloteca do Herbário de Niterói,,,,,,,NITw,Universidade Federal Fluminense Outeiro São João Batista,,,,1354,"Atlantic Forest and Brazilian savannah (Cerrado) species, commercial woods, native and introduced species",,,Last update: 2019,,,nit.jbrj.gov.br,,,"s/n, Setor de Botânica, 24020-141, Centro, Niterói, RJ",RIO DE JANEIRO,,,Brazil,xylarium,,Y,7
25,PJPSw_NA,PJPSw,NA,The Padre José Pereira de Sousa Xylarium,,,,,,,PJPSw,"Universidade Federal da Bahia; Departamento de Botânica, Instituto de Biologia; Laboratório de Anatomia Vegetal e Identificação de Madeiras",,,,803,"Bahia: Atlantic Forest s.l. Scrub-land, Savannah and Subtropical Savannah; other Brazilian states such as Pernambuco; commercial woods from lumber stores of Bahia",,,Last update: 2015,,,http://www.madeirascomerciais.ufba.br,,,"Rua Barão de Geremoabo, 147, Campus de Ondina, Salvador, Bahia, 40.170-290",SALVADOR,,,Brazil,xylarium,,Y,34
26,ASEw_NA,ASEw,NA,Laboratorio de Botanica: anatomia vegetal e dendroecologia,,,,,,,ASEw,"Departamento de biologia, Universidade Federal de Sergipe",,,,1500,Native and introduced species of Brazil,,,Last update: 2018,,,,,,"Av. Marechal Rondon s/n. CEP 49100-000, Sao Cristovao, Sergipe",SAO CRISTOVAO,,,Brazil,xylarium,,Y,4
27,BCTw_NA,BCTw,NA,Xiloteca Dr. Calvino Mainieri,,,,,,,BCTw,Instituto de Pesquisas Tecnológicas do Estado de São Paulo S.A. - IPT,,,,17450,Brazilian woods with special emphasis on commercial species,,,Last update: 2015,,,http://splink.cria.org.br/,,,"Av. Prof. Almeida Prado, 532, Cidade Universitária, CEP 05508-901 - São Paulo, SP",SAO PAULO,,,Brazil,xylarium,,Y (elsewhere),5
