order,collection.string,collectioncode.gbif,institutioncode.gbif,name,records,pub.date,citation,license,datasetkey,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,total accessioned,geography,exchange,current status,notes,commenced date,incorporated herbaria,associatedHerbaria,latitude,longitude,physical street address,physical city,physical state,physical post code,physical country,col.OBS,,Herbarium vouchers Y/N,Herbarium vouchers Y (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,name,,,,,,,Collection acronym,institution,,,,Collection size (# specimens),Collection specialisation,,,Last update,,,Online database,,,adress,City,,,Country,,,,
79,DBNw_NA,DBNw,NA,National Herbarium,,,,,,,DBNw,"National Herbarium, National Botanic Gardens",,,,1000,"Ireland (native and exotic), Brazil, Sri Lanka, Nigeria, Papua New Guinea, Philippines",,,Last update: 2009,,,www.botanicgardens.ie,,,"Glasnevin, Dublin 9",DUBLIN,,,Ireland,xylarium,,Y,1
80,DBw_NA,DBw,NA,The Powerscourt Collection of World Timbers,,,,,,,DBw,Department of Forestry,,,,900,,,,Last update: 1988,,,,,,"University College, Dublin, Belfield, Dublin 4",DUBLIN,,,Ireland,xylarium,,,
81,NATw_NA,NATw,NA,Forestry Division,,,,,,,NATw,Agricultural Research Organisation,,,,1820,,,,Last update: 1988,,,,,,"Ilanoth, D.N. Lev Hasharon",ILANOTH,,,Israel,xylarium,,Y,for local species
82,FLw_NA,FLw,NA,IVALSA - CNR,,,,,,,FLw,Istituto per la Valorizzazione del Legno e delle Specie Arboree - Consiglio Nazionale delle Ricerche (Trees and Timber Institute - National Research Council),,,,10000,"Italy, North and South America, Central Africa, Japan, Philippines, Europe",,,Last update: 2005,,,,,,"Via Madonna del Piano, 50019 Sesto Fiorentino (Florence)",FLORENCE,,,Italy,xylarium,,N,
83,FLw_NA,FLw,NA,Herbarium Universitatis Florentinae and Erbario Tropicale di Firenze,,,,,,,FLw,,,,,5400,Worldwide with special emphasis on tropical Africa,,,Last update: 1988,,,,,,"Via Lamarmora 4, 1-50121 Firenze",FLORENCE,,,Italy,xylarium,,Y,30-40
84,,,,Xylarium Universitatis Florentinae,,,,,,,,,,,,1000,"Europe, Mediterranean, South America, Africa, Asia",,,Last update: 2016,,,,,,"Via San Bonaventura 13, 50145 Firenze",FLORENCE,,,Italy,xylarium,,N,
85,MCSw_NA,MCSw,NA,"Civica Siloteca ""R. Cormio""",,,,,,,MCSw,Civico Museo de Storia Naturale,,,,6000,"Central and southern Europe, East Africa",,,Last update: 1988,,,,,,"Corso Venezia 55, Milano",MILAN,,,Italy,xylarium,,Y,10
86,UPADw_NA,UPADw,NA,Xiloteca didattica,,,,,,,UPADw,"Università di Padova, Department of Land, Environment, Agriculture and Forestry (TESAF)",,,,1000,"Italy, Europe",,,Last update: 2015,,,,,,"Viale dell’Università 16, 35020 Legnaro (PD)",PADOVA,,,Italy,xylarium,,N,
87,IJw_NA,IJw,NA,The Natural History Division,,,,,,,IJw,Institute of Jamaica,,,,749,"Jamaica, Belize, Mexico, Guatemala, Argentina, Panama, Haiti, El Salvador, Egypt, Brazil, Thailand, various states in U.S.A",,,Last update: 1988,,,,,,"12-16 East Street, Kingston",KINGSTON,,,Jamaica,xylarium,,Y,73
88,HYOw_NA,HYOw,NA,Museum of Nature and Human Activities,,,,,,,HYOw,,,,,5200,Mostly Japan,,,Last update: 2006,,,,,,"Hyogo, Yayoigaoka 6, Sanda, Hyogo, 669-1546",HYOGO,,,Japan,xylarium,,Y,80
89,KYOw_NA,KYOw,NA,Research Institute for Sustainable Humanosphere,,,,,,,KYOw,Kyoto University,,,,20000,"Worldwide, but mostly Japan and south east Asia",,,Last update: 2015,,,http://database.rish.kyoto-u.ac.jp/arch/bmi/index_e.html,,,"Uji, Kyoto 611-0011",KYOTO,,,Japan,xylarium,,Y,15
90,TUSw_NA,TUSw,NA,Herbarium Tsudanum,,,,,,,TUSw,"Botanical Garden, Graduate School of Science, Tohoku University",,,,7100,"Japan, Nepal",,,Last update: 2004,,,,,,"Kawauchi 12-2, Aoba-ku, Sendai 980-0862",SENDAI/TOHOKU,,,Japan,xylarium,,Y,
91,TOFOw_NA,TOFOw,NA,Department of Forest Botany,,,,,,,TOFOw,"University Museum, University of Tokyo",,,,16000,Mostly Japan and tropical regions of the world; trade timbers,,,Last update: 1988,,,,,,"Hongo, Bunkyo-ku, Tokyo, 113",TOKYO,,,Japan,xylarium,,Y,
92,TWTw_NA,TWTw,NA,Forestry and Forest Products Research Institute,,,,,,,TWTw,Matsunosato,,,,28000,East and Southeast Asia,,,Last update: 2009,,,www.ffpri.affrc.go.jp/TWTwDB-E/home.php,,,"Tsukuba, Ibaraki 305-8687",TSUKUBA,,,Japan,xylarium,,Y (elsewhere),30
93,,,,FOFIFA-DRFGRN – Herbarium TEF DRFGRN,,,,,,,,,,,,9288,Madagascar native species,,,Last update: 2018,,,,,,"BP 904 Ambatobe, Antananarivo 101",ANTANANARIVO,,,Madagascar,xylarium,,Y,57
94,KEPw_NA,KEPw,NA,WT- Wood Technology,,,,,,,KEPw,Forest Research Institute Malaysia (FRIM),,,,10000,Peninsular Malaysia,,,Last update: 2007,,,,,,"Kepong, 52109, Selangor",KEPONG,,,Malaysia,xylarium,,Y,100
95,SARFw_NA,SARFw,NA,Timber Research and Technical Training Centre,,,,,,,SARFw,Forest Department,,,,7418,"Sarawak, Malaysia; Dipterocarpaceae",,,Last update: 1988,,,,,,"Kuching, Sarawak",KUCHING,,,Malaysia,xylarium,,Y,100
96,SANw_NA,SANw,NA,Wood Technology Section,,,,,,,SANw,Forest Research Centre,,,,6845,"Sabah, Malaya, Sarawak, Brunei, for timber-producing species only",,,Last update: 1988,,,,,,"Sepilok, P.O. Box 1407, Sandakan 90008, Sabah",SANDAKAN,,,Malaysia,xylarium,,Y,100
97,MEXUw_NA,MEXUw,NA,Xiloteca Dr. Ramon Echenique-Manrique,,,,,,,MEXUw,"Instituto de Biologia, Universidad Nacional Autonoma de Mexico",,,,3646,Mexico,,,Last update: 2010,,,www.biodiversidad.gob.mx/v_ingles/resources,,,"Circuito Exterior Jardin Botanico, Ciudad Universitaria, Coyoacan 04510, Mexico D.F. Ap. Postal 70-233",MEXICO,,,Mexico,xylarium,,Y,85
98,MEXFw_NA,MEXFw,NA,Xiloteca Nacional,,,,,,,MEXFw,"Seccion de Anatomia de Maderas, lnstituto Nacional de Investigaciones Forestales",,,,4882,,,,Last update: 1988,,,,,,"Avenida Progreso No.5, Coyoacan, Mexico 21, D.F.",MEXICO,,,Mexico,xylarium,,Y,100 (for Mexican spp)
99,XALw_NA,XALw,NA,"Xiloteca ""Dr. Faustino Miranda""",,,,,,,XALw,Instituto de Ecologia,,,,4000,Southeastern Mexico,,,Last update: 2007,,,http://www.conabio.gob.mx/,,,"A.C., Km. 2.5 Carretera Antigua a Coatepec No. 351, Congregacion ""El Haya"", 91070 Xalapa, Veracruz",XALAPA,,,Mexico,xylarium,,Y,30
100,ARw_NA,ARw,NA,,,,,,,,ARw,Forest Research Institute,,,,1873,Burma (Myanmar),,,Last update: 1988,,,,,,"Yezin, Pyinmana",YEZIN,,,Myanmar,xylarium,,Y,80
101,KATHw_NA,KATHw,NA,Department of Plant Resources,,,,,,,KATHw,National Herbarium and Plant Laboratory,,,,350,Nepal Himalayan Region,,,Last update: 2006,,,,,,"P.O. Box 3708, Godawary, Lalitpur",LALITPUR,,,Nepal,xylarium,,Y,10
102,GIAw_NA,GIAw,NA,GIA wood collection,,,,,,,GIAw,Groningen Institute of Archaeology,,,,600,"N.W. Europe, Mediterranean (Greece, Middle East, North Africa)",,,Last update: 2007,,,,,,"Mail address: Poststraat 6, 9712 ER Groningen; Location of wood collection: Broerstraat 9, Groningen",GRONINGEN,,,The Netherlands,xylarium,,N,
103,Dw_NA,Dw,NA,,,,,,,,Dw,Naturalis Biodiversity Center,,,,10000,"Worldwide, but especially strong in the Malesian region, tropical South America and Africa",,,Last update: 2016,,,http://bioportal.naturalis.nl/?language=en&back,,,"Darwinweg 2, P.O. Box 9517, 2300 RA Leiden",LEIDEN,,,The Netherlands,xylarium,,Y,80
104,Lw_NA,Lw,NA,Naturalis Biodiversity Center,,,,,,,Lw,,,,,30000,"Worldwide, but especially strong in the Malesian region, tropical South America and Africa",,,Last update: 2016,,,http://bioportal.naturalis.nl/?language=en&back,,,"Darwinweg 2, P.O. Box 9517, 2300 RA Leiden",LEIDEN,,,The Netherlands,xylarium,,Y,80
105,Uw_NA,Uw,NA,Naturalis Biodiversity Center,,,,,,,Uw,,,,,40000,"Worldwide, but especially strong in the Malesian region, tropical South America and Africa",,,Last update: 2016,,,http://bioportal.naturalis.nl/?language=en&back,,,"Darwinweg 2, P.O. Box 9517, 2300 RA Leiden",LEIDEN,,,The Netherlands,xylarium,,Y,80
106,RTIw_NA,RTIw,NA,Naturalis Biodiversity Center (was Koninklijk Instituut voor de Tropen),,,,,,,RTIw,,,,,35000,"Worldwide, but especially strong in the Malesian region, tropical South America and Africa",,,Last update: 2016,,,http://bioportal.naturalis.nl/?language=en&back,,,"Darwinweg 2, P.O. Box 9517, 2300 RA Leiden",LEIDEN,,,The Netherlands,xylarium,,Y,80
107,"WAGw, WLw, WIBw_NA","WAGw, WLw, WIBw",NA,Naturalis Biodiversity Center,,,,,,,"WAGw, WLw, WIBw",,,,,10000,"Worldwide, but especially strong in the Malesian region, tropical South America and Africa",,,Last update: 2016,,,http://bioportal.naturalis.nl/?language=en&back,,,"Darwinweg 2, P.O. Box 9517, 2300 RA Leiden",LEIDEN,,,The Netherlands,xylarium,,Y,80
108,CHNw_NA,CHNw,NA,Biological Sciences,,,,,,,CHNw,University of Canterbury,,,,2500,New Zealand indigenous species,,,Last update: 2015,,,,,,"Private Bag 4800, Christchurch",CHRISTCHURCH,,,New Zealand,xylarium,,Y,67
109,WZw_NA,WZw,NA,Forest Research Xylarium,,,,,,,WZw,Forest Research,,,,4500,"Southwest Pacific, New Zealand, more than 70 countries",,,Last update: 2015,,,http://www.scionresearch.com/general/facilities-and-collections/wood-collection,,,"Private Bag 3020, Rotorua",ROTORUA,,,New Zealand,xylarium,,N,
110,NINw_NA,NINw,NA,"Laboratory of Wood Technology ""Olof Palme",,,,,,,NINw,""" Nicaraguan Institute of Natural Resources and Environment",,,,472,Nicaragua,,,Last update: 1988,,,,,,"P.O. Box 5123, Managua",MANAGUA,,,Nicaragua,xylarium,,Y,50
111,FHIw_NA,FHIw,NA,Timber Library,,,,,,,FHIw,"Forest Products Research Division, Forestry Research Institute of Nigeria",,,,2500,Nigeria,,,Last update: 1988,,,,,,"P.M.B. 5054, Ibadan",IBADAN,,,Nigeria,xylarium,,Y,95
112,PMPw_NA,PMPw,NA,Forest Products Research and Development Centre.,,,,,,,PMPw,,,,,13000,Papua New Guinea,,,Last update: 1988,,,,,,"P.O. Box 1358, Boroko",BOROKO,,,Papua New Guinea,xylarium,,Y (elsewhere),
113,BULHw_NA,BULHw,NA,Bulolo Herbarium,,,,,,,BULHw,Papua New Guinea Forestry College,,,,7000,Mainly Papua New Guinea and Solomon Islands,,,Last update: 1988,,,,,,"P.O. Box 92, Bulolo",BULOLO,,,Papua New Guinea,xylarium,,Y (elsewhere),?
114,CAFw_NA,CAFw,NA,The Research Institute of Wood Industry (CRIWI),,,,,,,CAFw,Chinese Academy of Forestry (CAF),,,,20000,,,,Last update: 2003,,,,,,"Wan Shou Shan, Chinese Academy of Forestry, Beijing 100091",BEIJING,,,People's Republic of China,xylarium,,Y,10
115,SYSw_NA,SYSw,NA,Wood Anatomy Section,,,,,,,SYSw,"Botanical Laboratories, Department of Biology, Sun Yat-Sen University",,,,1800,"Guangdong Province, including Hainan Island",,,Last update: 1988,,,,,,"Guangzhou, Guangdong",GUANGZHOU,,,People's Republic of China,xylarium,,Y (elsewhere),30
116,FRTGw_NA,FRTGw,NA,Forest Research Institute of Guangdong Province,,,,,,,FRTGw,,,,,2212,North America and Central Africa and a small portion from Southeast Asia,,,Last update: 1988,,,,,,"Saho, Guangzhou, Guangdong",GUANGZHOU,,,People's Republic of China,xylarium,,Y,100 (Guangdong)
117,HEFw_NA,HEFw,NA,Institute of Forest Products Industry,,,,,,,HEFw,Anhui Agricultural College,,,,4072,"Eastern and southern China: some from western and northern China and from abroad such as Japan, Malaysia, Indonesia, and New Guinea",,,Last update: 1988,,,,,,"Hefei, Anhui",HEFEI,,,People's Republic of China,xylarium,,Y,66
118,SWFUw_NA,SWFUw,NA,College of Material Engineering,,,,,,,SWFUw,Southwest Forestry University,,,,,"Yunnan, China",,,Last update: 2016,,,,,,"Kunming, Yunnan, 650224",KUNMING,,,People's Republic of China,xylarium,,Y (elsewhere),
119,NFUw_NA,NFUw,NA,College of Materials Science & Engineering,,,,,,,NFUw,Nanjing Forestry University,,,,30000,"China, Southeast Asia, Japan, Australia, and some other countries",,,Last update: 2015,,,,,,"159 Nanjing Longpan Road, Jiangsu Province 210037",NANJING,,,People's Republic of China,xylarium,,Y (elsewhere),
120,IFPw_NA,IFPw,NA,Wood Research Group,,,,,,,IFPw,"Institute of Forestry and Pedology, Academia Sinica",,,,416,"Northeast, central-south, and southwest China",,,Last update: 1988,,,,,,"P.O. Box 417, Shenyang, Lisoning",SHENYANG,,,People's Republic of China,xylarium,,,
121,YANw_NA,YANw,NA,Timber Research Laboratory,,,,,,,YANw,Northwestern College of Forestry,,,,1200,Northwest provinces of China,,,Last update: 1988,,,,,,"Yangling, Shensi",YANGLING,,,People's Republic of China,xylarium,,Y,20
122,,,,Laboratorio de Anatomía de la madera. Departamento de Industrias Forestales,,,,,,,,"Facultad de Ciencias Forestales, Universidad Nacional Agraria la Molina",,,,5500,Amazonian Species from Peru,,,Last update: 2016,,,,,,Av. la Molina s/n. Lima,LIMA,,,Perú,xylarium,,Y,
123,CLPw_NA,CLPw,NA,Anatomy and Dendrology Section,,,,,,,CLPw,"Materials Properties Evaluation Division, Forest Products Research and Development Institute (FPRDI), Department of Science and Technology",,,,11000,Philippines,,,Last update: 2006,,,,,,"College, Laguna 4031",COLLEGE,,,Philippines,xylarium,,Y (elsewhere),20
124,,,,Department of Forest Engineering,,,,,,,,"Faculty of Forestry, Poznan University of Life Sciences",,,,5142,world,,,Last update: 2016,,,,,,"60-625 Poznan, Wojska Polskiego 71C",POZNAŃ,,,Poland,xylarium,,N,
125,ALCw_NA,ALCw,NA,,,,,,,,ALCw,"Departamento de Tecnologia Fisico-mecanica dos Produtos Florestais, Estacao de Experimentacao Florestal, Alcobaca",,,,150,"Portugal, continental and insular (Madeira, Acores)",,,Last update: 1988,,,,,,Alcobaca,ALCOBACA,,,Portugal,xylarium,,Y,80
126,LISFLw_NA,LISFLw,NA,FLOR,,,,,,,LISFLw,"Instituto de Investigacao Cientifica Tropical, FLOR -Florestas e Produtos Florestais, Dep. Engenharia Florestal",,,,4120,,,,Last update: 2017,,,,,,"Tapada da Ajuda, 1347-017 Lisboa",LISBON,,,Portugal,xylarium,,,
127,LNECw_NA,LNECw,NA,Divisao de Madeiras,,,,,,,LNECw,Laboratorio Nacional de Engenharia Civil,,,,600,Portugal and former Portuguese territories (Guinea-Bissau; Angola; Mozambique),,,Last update: 1988,,,,,,"Avenida do Brasil, Lisboa",LISBON,,,Portugal,xylarium,,Y,
128,LISJCw_NA,LISJCw,NA,Xiloteca,,,,,,,LISJCw,Jardim Botânico Tropical,,,,4148,"Worldwide, especially tropical forests",,,Last update: 2017,,,,,,"Calcada do Galvao, Belem-Lisboa",LISBON,,,Portugal,xylarium,,Y,
129,MHNC-UP_NA,MHNC-UP,NA,PO HERBARIUM,,,,,,,MHNC-UP,Museu de História Natural e da Ciência da Universidade do Porto,,,,2737,Portuguese trees and shrubs,,,Last update: 2018,,,A catalogue of the wood collection at PO is available on request to the curator.,,,"Praça Gomes Teixeira, 4099-002. Porto.",PORTO,,,Portugal,xylarium,,Y,50
130,LEw_NA,LEw,NA,Dendrological Collection,,,,,,,LEw,"Botanical Museum, Komarov Botanical Institute of the Russian Academy of Sciences",,,,14000,"Worldwide, but especially the former Soviet Union",,,Last update: 2009,,,http://www.binran.ru/botmus/collect/collect2.htm,,,"Professor Popov street 2, 197376 St. Petersburg",ST PETERSBURG,,,Russia,xylarium,,Y (elsewhere),20
131,JPRw_NA,JPRw,NA,Modern wood collection,,,,,,,JPRw,"Bernard Price Institute for Palaeontological Research, University of the Witwatersrand",,,,100,South Africa,,,Last update: 2010,,,,,,"Private Bag 3, WITS 2050, Johannesburg",JOHANNESBURG,,,South Africa,xylarium,,N,
132,PFPw_NA,PFPw,NA,South African Forestry Research Institute Wood Collection,,,,,,,PFPw,South African Forestry Research Institute,,,,5055,South Africa,,,Last update: 1988,,,,,,"P.O. Box 727, Pretoria 0001",PRETORIA,,,South Africa,xylarium,,Y,33
133,STEw_NA,STEw,NA,Department of Wood Science,,,,,,,STEw,University of Stellenbosch,,,,1600,Africa; South Africa,,,Last update: 1988,,,,,,Stellenbosch 7600,STELLENBOSCH,,,South Africa,xylarium,,?,
134,UPMAw_NA,UPMAw,NA,Universidad Politecnica de Madrid,,,,,,,UPMAw,Escuela Tecnica Superior de Ingenieros de Montes,,,,1635,"Mediterranean area, Iberian Peninsula and Canary Islands",,,Last update: 2010,,,,,,"Catedra de Tecnologia de la Madera, Ciudad Universitaria, s/n 28040 Madrid",MADRID,,,Spain,xylarium,,Y,only for woods from Canary Islands
135,MADRw_NA,MADRw,NA,Instituto Nacional de Investigaciones Agrarias,,,,,,,MADRw,Centro de Investigacion Forestal (CIFOR),,,,6420,"Mainland Spain, Canary Islands",,,Last update: 2017,,,,,,"Ctra. de la Coruna Km. 7, 28008-Madrid",MADRID,,,Spain,xylarium,,Y,
136,BBSw_NA,BBSw,NA,,,,,,,,BBSw,Surinam Forest Service,,,,3000,Surinam,,,Last update: 1988,,,,,,"P.O. Box 436, Paramaribo",PARAMARIBO,,,Suriname,xylarium,,Y,
137,S-PAw_NA,S-PAw,NA,Section of Palaeobotany,,,,,,,S-PAw,Swedish Museum of Natural History,,,,350,"Worldwide, but mostly conifers",,,Last update: 1988,,,,,,104 05 Stockholm 50,STOCKHOLM,,,Sweden,xylarium,,?,
138,WSLw_NA,WSLw,NA,Microscopic slides WSL,,,,,,,WSLw,"Swiss Federal Institute for Forest, Snow and Landscape",,,,2000,Mainly from the northern hemisphere. The major part belongs to herbs,,,Last update: 2009,,,www.wsl.ch/dendro/xylemdb/,,,CH- 8903 Birmensdorf,BIRMENSDORF,,,Switzerland,xylarium,,N,
139,ZTw_NA,ZTw,NA,Institut fur Wald- und Holzforschung,,,,,,,ZTw,Fachbereich Holzkunde und Holztechnologie,,,,6065,Europe and the tropics,,,Last update: 1988,,,,,,"Eidgenossische Technische Hochschule, ETH-Zentrum, CH-8092 Zurich",ZURICH,,,Switzerland,xylarium,,?,
140,TNMw_NA,TNMw,NA,Department of Botany,,,,,,,TNMw,National Museum of Natural Science,,,,1025,"Taiwan, vines and mistletoes",,,Last update: 2007,,,,,,"1, Kuan Chien Road, Taichung, Taiwan 40453",TAICHUNG,,,Taiwan,xylarium,,Y,20
141,TAIFw_NA,TAIFw,NA,Taiwan Forestry Research Institute,,,,,,,TAIFw,Botanical Garden,,,,20000,Taiwan,,,Last update: 1988,,,,,,"53, Nan-Hai Road, Taipei",TAIPEI,,,Taiwan,xylarium,,?,
142,BKFw_NA,BKFw,NA,Wood Research Institute,,,,,,,BKFw,"Forest Products Research Division, Royal Forest Department",,,,2617,Thailand and Southeast Asian countries,,,Last update: 1988,,,,,,"Bangkhen, Bangkok 9",BANGKOK,,,Thailand,xylarium,,Y,50
143,ISTUFw_NA,ISTUFw,NA,Istanbul University,,,,,,,ISTUFw,"Faculty of Forestry, Department of Forest Biology and Wood Protection Technology",,,,740,"Turkey, England, USA, Mexico, South Africa, New Zealand, Pakistan, Canada, Italy",,,Last update: 2009,,,http://www.orman.istanbul.edu.tr/en/node/2546,,,"34473 Bahcekoy, Istanbul",ISTANBUL,,,Turkey,xylarium,,Y (elsewhere),90
144,UCNWw_NA,UCNWw,NA,School of Environment,,,,,,,UCNWw,Natural Resources and Geography,,,,4800,"Ghana, parts of South America",,,Last update: 2016,,,,,,"Bangor, Gwynedd, LL57 2UW, Wales",BANGOR,,,UK,xylarium,,N,
145,NMWw_NA,NMWw,NA,Timber collection,,,,,,,NMWw,National Museum Wales,,,,5000,world,,,Last update: 2009,,,,,,"Cathays Park, Cardiff CF10 3NP, Wales",CARDIFF,,,UK,xylarium,,N,
146,FPRLw_NA,FPRLw,NA,Centre for Timber Technology and Construction,,,,,,,FPRLw,Building Research Establishment Ltd,,,,30000,"Worldwide, but particularly rich in timbers of tropical Africa and Southeast Asia",,,Last update: 2002,,,,,,"Garston, Watford, WD25 9XX England","GARSTON, WATFORD",,,UK,xylarium,,Y (elsewhere),30
147,Kw_NA,Kw,NA,Economic Botany Collection,,,,,,,Kw,Royal Botanic Gardens Kew,,,,33500,world,,,Last update: 2009,,,http://epic.kew.org/,,,"Richmond, Surrey, TW9 3AE England",KEW,,,UK,xylarium,,Y,12
148,K-Jw_NA,K-Jw,NA,Jodrell Laboratory,,,,,,,K-Jw,Royal Botanic Gardens Kew,,,,40000,world,,,Last update: 2009,,,www.kew.org,,,"Richmond, Surrey TW9 3DS England",KEW,,,UK,xylarium,,Y,?
149,LIVw_NA,LIVw,NA,National Museums & Galleries on Merseyside,,,,,,,LIVw,Liverpool Museum,,,,10662,"Tropical Africa, S.E. Asia, Australasia",,,Last update: 2002,,,,,,"William Brown St, Liverpool L3 8EN England",LIVERPOOL,,,UK,xylarium,,Y (elsewhere),5
150,HMw_NA,HMw,NA,The Horniman Museum and Library,,,,,,,HMw,,,,,170,,,,Last update: 1988,,,www.horniman.ac.uk,,,"London Road, Forest Hill, London SE23 3PQ, England",LONDON,,,UK,xylarium,,,
151,FHOw_NA,FHOw,NA,Department of Plant Sciences,,,,,,,FHOw,University of Oxford,,,,24381,The Commonwealth,,,Last update: 2002,,,herbaria.plants.ox.ac.uk/herbaria_pages/xylarium.html,,,"South Parks Road, Oxford, OX1 3RB England",OXFORD,,,UK,xylarium,,Y,44
152,MICHw_NA,MICHw,NA,University Herbarium,,,,,,,MICHw,"North University Building, University of Michigan",,,,2500,,,,Last update: 1988,,,,,,"Ann Arbor, Michigan 48109-1057",ANN ARBOR,,,USA,xylarium,,Y,
153,NYw_NA,NYw,NA,The New York Botanical Garden,,,,,,,NYw,,,,,,,,,Last update: 1988,,,,,,"Bronx, New York 10458",BRONX,,,USA,xylarium,,,
154,Aw_NA,Aw,NA,Bailey-Wetmore Laboratory of Plant Anatomy and Morphology,,,,,,,Aw,Harvard University Herbaria,,,,31000,"General, but strong in tropical Asia, Australasia, and America",,,Last update: 1988,,,,,,"22 Divinity Avenue, Cambridge, Massachusetts 02138",CAMBRIDGE,,,USA,xylarium,,Y (elsewhere),60
155,RSAw_NA,RSAw,NA,Rancho Santa Ana Botanic Garden,,,,,,,RSAw,,,,,7500,"Southern California, Australia, South Africa, Hawaii; ""woody herbs"", vines, and other non-arborescent plants",,,Last update: 2009,,,www.rsabg.org/collections/120,,,"1500 North College Avenue, Claremont, California 91711",CLAREMONT,,,USA,xylarium,,Y,90
156,DAVw_NA,DAVw,NA,University of California - Davis,,,,,,,DAVw,"College of Biological Sciences, Section of Plant Biology",,,,600,world,,,Last update: 2006,,,,,," One Shields Avenue, Davis, CA 95616 USA",DAVIS,,,USA,xylarium,,N,
157,BRITw_NA,BRITw,NA,The Botanical Research Institute of Texas,,,,,,,BRITw,The BRIT Philecology Herbarium,,,,330,world,,,Last update: 2020,,,www.brit.org/xylarium,,,"1700 University Drive, Fort Worth, Texas, 76107-3400",FORT WORTH,,,USA,xylarium,,N (1.42 million vouchers but not connected to wood collection),
158,FLASw_NA,FLASw,NA,University of Florida Herbarium Wood Collection,,,,,,,FLASw,University of Florida Herbarium,,,,15700,"Worldwide, but especially the tropics",,,Last update: 2006,,,www.flmnh.ufl.edu/herbarium/flaswood.htm,,,"379 Dickinson Hall, Florida Museum of Natural History, PO Box 110575, Gainesville, Florida 32611-0575",GAINSVILLE,,,USA,xylarium,,Y,?
159,BISHw_NA,BISHw,NA,Bernice P. Bishop Museum,,,,,,,BISHw,Department of Botany,,,,4400,"Polynesia, Micronesia, Melanesia. Malaysia",,,Last update: 1988,,,,,,"P.O. Box 6037, Honolulu 96818",HONOLULU,,,USA,xylarium,,Y,large
160,"MADw, SJRw_NA","MADw, SJRw",NA,Forest Products Laboratory Wood Collection and Samuel J. Record Memorial Wood Collection,,,,,,,"MADw, SJRw","USDA Forest Service, Forest Products Laboratory",,,,105000,"Worldwide, but especially strong in New World",,,Last update: 2005,,,www2.fpl.fs.fed.us,,,"One Gifford Pinchot Drive, Madison, WI 53726-2398",MADISON,,,USA,xylarium,,Y (elsewhere),60
161,MUw_NA,MUw,NA,Willard Sherman Turrell Herbarium,,,,,,,MUw,"Department of Botany, Miami University",,,,20000,world,,,Last update: 2009,,,www.units.muohio.edu/herbarium,,,"Oxford, Ohio 45056",OXFORD,,,USA,xylarium,,Y,?
162,NYJw_NA,NYJw,NA,The Jesup Collection of Woods of North America,,,,,,,NYJw,World Forestry Center,,,,505,North America,,,Last update: 1988,,,,,,"4033 S.W. Canyon Road, Portland, Oregon 97221",PORTLAND,,,USA,xylarium,,Y (elsewhere),100
163,PACw_NA,PACw,NA,The David A. Kribs Wood Collection,,,,,,,PACw,"Department of Wood and Paper Science, College of Natural Resources, North Carolina State University",,,,32000,"worldwide, emphasis on USA",,,Last update: 2004,,,,,,"Raleigh, North Carolina, 27695-8005",RALEIGH,,,USA,xylarium,,?,
164,UCw_NA,UCw,NA,University of California Wood Collection,,,,,,,UCw,"Forest Products Laboratory, University of California",,,,12000,world,,,Last update: 1988,,,,,,"1301 South 46th Street, Richmond, California 94804",RICHMOND,,,USA,xylarium,,Y (elsewhere),25
165,RPPRw_NA,RPPRw,NA,Institute of Tropical Forestry,,,,,,,RPPRw,,,,,1844,Tropics,,,Last update: 1988,,,,,,"P.O. Box 21390, Rio Piedras, Puerto Rico 00928",RIO PIEDRAS,,,USA,xylarium,,Y,18
166,WTUFw_NA,WTUFw,NA,Burke Museum of Natural History and Culture,,,,,,,WTUFw,University of Washington,,,,5500,"North American temperate woods, tropical hardwoods from South America and Asia; Woods from the island of Borneo are especially well represented",,,Last update: 2009,,,,,,"Box 353010, Seattle, WA 98195-3010",SEATTLE,,,USA,xylarium,,?,
167,BWCw_NA,BWCw,NA,Harry Philip Brown Memorial Wood Collection,,,,,,,BWCw,"College of Environmental Science and Forestry, State University of New York",,,,40000,"Best representation is in the Neotropics, but there are strong collections from North and Central America; good representation of Asiatic material and moderately good in tropical and temperate Africa.",,,Last update: 1988,,,,,,"Syracuse, New York 13210",SYRACUSE,,,USA,xylarium,,Y (elsewhere),97
168,USw_NA,USw,NA,Department of Botany,,,,,,,USw,"National Museum of Natural History, Smithsonian Institution",,,,43130,"General, but largely tropical America",,,Last update: 2018,,,www.botany.si.edu/colls/wood,,,Washington D.C. 20560,WASHINGTON,,,USA,xylarium,,Y,60
169,WDw_NA,WDw,NA,The Professor E.S. Harrar Wood Collection,,,,,,,WDw,The Henry Francis du Pont Winterthur Museum,,,,8799,"North America, Philippines, Australia, Indo-Malayan region, South America",,,Last update: 1988,,,,,,"Winterthur, Delaware 19735",WINTERTHUR,,,USA,xylarium,,Y (elsewhere),35
170,VENw_NA,VENw,NA,Fundacion Instituto Botanico de Venezuela,,,,,,,VENw,Herbario Nacional de Venezuela,,,,2397,Venezuela,,,Last update: 2006,,,,,,"Apartado Postal 2156, Caracas",CARACAS,,,Venezuela,xylarium,,Y,?
