"","name","decimallongitude","decimallatitude","city","country","address","source","type","geocoding.precision.m","geocoding.issue","geocoding.source","inside.ptoected.area.WDPAID","pais"
"250","Andean Botanic Garden Project",NA,NA,"Santiago","CHL",NA,"BCGI","Botanic_garden",NA,NA,"VZ",NA,"Chile"
"251","Andersonian Naturalists Society",-4.2401,55.8637,"Glasgow","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"United Kingdom"
"253","Andong National University, School of Bioresource Science",NA,NA,"Andong","KOR",NA,"indexherbariorum","Herbarium",NA,NA,"VZ",NA,"South Korea"
"255","Andrews University, Museum of Natural History",-86.3593,41.96421,"Berrien Springs","USA","Biology Department, Science Complex, 112 Price Hall","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"256","Andromeda Botanic Gardens",-59.51834,13.20748,"St Joseph",NA,NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,NA
"257","Andromeda Botanic Gardens",-59.51834,13.20748,"St Joseph","BRB",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Barbados"
"261","Angelo State University, Biology Department",-100.4772,31.459,"San Angelo","USA","2601 West Avenue North","indexherbariorum","Herbarium",10,NA,"automatic",NA,"United States"
"264","Angus Museums",-3.0047,56.6113,"Montrose","GBR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"United Kingdom"
"267","Anhui Agricultural University, Department of Basic Courses",117.2574,31.86,"Hefei","CHN",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"China"
"271","Anhui Institute of Biology",117.2618,31.84906,"Hefei","CHN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"China"
"275","Anhui Normal University, Geography Department",118.37488,31.33202,"Wuhu","CHN",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"China"
"277","Anhui University, Biology Department",117.0585,30.5484,"Hefei","CHN",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"China"
"281","Animal World Nature Museum",44.7771,41.7127,"Tbilisi","GEO",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Georgia"
"283","Ankara Universitesi, Biyoloji Bolumu",32.8321,39.9358,"Ankara","TUR",NA,"indexherbariorum","Herbarium",1000,NA,"CD",NA,"Turkey"
"284","Anniston Museum of Natural History",-85.8203,33.6967,"Anniston","USA","800 Museum Drive","indexherbariorum","Herbarium",1000,NA,"CD",NA,"United States"
"286","Antarctic Division",147.29091,-42.9871,"Kingston","AUS",NA,"indexherbariorum","Herbarium",10,NA,"automatic",NA,"Australia"
"289","Anthropological Museum of the University of Zurich",8.5473,47.3979,"Zurich","CHE",NA,"wikipedia","Museum",1000,NA,"CD",NA,"Switzerland"
"291","Antigua Estacion Experimental Agronomica, Instituto de Agronomia",NA,NA,"Habana","CUB",NA,"indexherbariorum","Herbarium",NA,NA,"CD",NA,"Cuba"
"293","Aomori Prefectural Museum",140.7487,40.8273,NA,"JPN",NA,"grbioorg","Museum",1000,NA,"NW",NA,"Japan"
"295","Appalachian State University, Biology Department",-81.6849,36.2151,"Boone","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"298","Aquazoo-Lobbecke-Museum Dusseldorf",6.7496,51.2564,"Dusseldorf","DEU",NA,"wikipedia","Museum",10,NA,"automatic",NA,"Germany"
"300","Aquinas College, Biology Department",-85.6293,42.9603,"Grand Rapids","USA",NA,"indexherbariorum","Herbarium",1000,NA,"JA",NA,"United States"
"307","Arboreto di Arco - Parco Arciducale",10.88296,45.92218,"Trento","ITA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Italy"
"308","Arboretum and Botanic Garden, University of Bergen",5.27014,60.25716,"Bergen","NOR",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Norway"
"309","Arboretum de la Maulevrie, Musee Botanique",-0.7446,47.0057,"Angers","FRA",NA,"indexherbariorum","Herbarium",1000,NA,"VZ",NA,"France"
"310","Arboretum I Zaklad Fizjografii w Bolestraszycach",22.857,49.8173,"Przemysl","POL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Poland"
"311","Arboretum I Zaklad Fizjografii w Bolestraszycach",22.86038,49.81745,"Przemysl","POL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Poland"
"312","Arboretum Kirchberg",6.1627,49.6304,"Luxembourg","LUX",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Luxembourg"
"313","Arboretum Kirchberg",6.1551,49.6258,"Luxembourg","LUX",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Luxembourg"
"314","Arboretum Kirchberg",6.1795,49.6328,"Luxembourg","LUX",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Luxembourg"
"315","Arboretum Kirchberg",6.17298,49.63615,"Luxembourg","LUX",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Luxembourg"
"317","Arboretum Mlynany, Slovak Academy of Sciences",18.3596,48.3176,"Nitra","SVK","Vieska nad Zitavou","indexherbariorum","Herbarium",10,NA,"automatic",NA,"Slovakia"
"318","Arboretum of The Barnes Foundation",-75.24058,39.99794,"Merion","USA",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"United States"
"319","Arboretum Parque Dona Ines",-66.02872,18.3868,"San Juan","PRI",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Puerto Rico"
"320","Arboretum Parque Dona Ines",-66.02872,18.3868,"San Juan","PRI",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Puerto Rico"
"321","Arboretum Provinciaal Domein Het Leen",3.56295,51.16586,"Eeklo","BEL",NA,"BCGI","Botanic_garden",10,NA,"automatic",555545307,"Belgium"
"322","Arboretum Schovenhorst",5.62774,52.25135,"Putten","NLD",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Netherlands"
"323","Arboretum w Przelewicach",15.0814,53.1074,"Przelewice","POL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Poland"
"324","Arboretum w Przelewicach",15.08485,53.1108,"Przelewice","POL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Poland"
"325","Arboretum Wespelaar",4.6339,50.9585,"Haacht-Wespelaar","BEL",NA,"BCGI","Botanic_garden",10,NA,"automatic",NA,"Belgium"
