order,source,family,family.obs,full.name1,tdwg.name
7376,herbaria,Convolvulaceae?,NA,,"Feltz, E."
7377,herbaria,Floristics/Generalist (all families),NA,Oswaldo Téllez-Valdés,"Tellez, O."
7378,herbaria,Floristics/Generalist (all families),NA,Oswaldo Téllez-Valdés,"Tellez V., O."
7379,herbaria,Floristics/Generalist (all families),NA,Oswaldo Téllez-Valdés,Otellez
7380,herbaria,Floristics/Generalist (all families),NA,Oswaldo Téllez-Valdés,O. Tellez V.
7381,herbaria,Cornaceae?,NA,,J. Rzedowski R.
7382,herbaria,Cucurbitaceae,NA,Vera Lúcia Gomes Klein,"Gomes-Klein, V.L."
7383,herbaria,Cunoniaceae,NA,JASON BRADFORD,"Bradford, J."
7384,herbaria,Cunoniaceae,NA,Gerdt Guenther Hatschbach,"Hatschbach, G.G."
7385,herbaria,Cupressaceae?,NA,Eleazar Carranza Gonçales,E. Carranza G.
7386,herbaria,Cupressaceae?,NA,Eleazar Carranza Gonçales,"Gonzalez, E.C."
7387,herbaria,Cupressaceae,NA,Enrique Guízar Nolazco,E. Guizar N.
7388,herbaria,Cupressaceae,NA,Enrique Guízar Nolazco,"Nolazco, E.G."
7389,herbaria,Cupressaceae,NA,Aljos Farjon,"Farjon, A."
7390,herbaria,Lentibulariaceae,NA,Sergio Zamudio Ruiz,S. Zamudio R.
7391,herbaria,Cupressaceae,NA,T.A. Zanoni,"Zanoni, T."
7392,herbaria,Cupressaceae,NA,T.A. Zanoni,"Zanoni, T.A."
7393,herbaria,Cyatheaceae,NA,Irene Fernandes,"Fernandes, I."
7394,herbaria,Cyatheaceae,NA,Irene Fernandes,Fernandes
7395,herbaria,Dicksoniaceae,NA,Irene Fernandes,"Fernandes, I."
7396,herbaria,Dicksoniaceae,NA,Irene Fernandes,Fernandes
7397,herbaria,Cyatheaceae?,NA,,"Giraldo, F."
7398,herbaria,Cyatheaceae?,NA,,"Giraldo-G., L.F."
7399,herbaria,Cyatheaceae,Alsophila,Ramós Riba,"Riba, R."
7400,herbaria,Cyatheaceae?,NA,,"Rodriguez, W."
7401,herbaria,Cyatheaceae,NA,Alexander Fco. Rojas - Alvarado,"Rojas, A."
7402,herbaria,Cyatheaceae,NA,Alexander Fco. Rojas - Alvarado,"Rojas-Alvarado, A.F."
7403,herbaria,Pteridophyta,"Cyathea, Dicksonia",R. Tryon,"Tryon, R."
7404,herbaria,Cyatheaceae,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,"Windisch, P.G."
7405,herbaria,Cyatheaceae,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,"Windisch, P."
7406,herbaria,Cyatheaceae,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,Windisch
7407,herbaria,Dicksoniaceae,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,"Windisch, P.G."
7408,herbaria,Dicksoniaceae,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,"Windisch, P."
7409,herbaria,Dicksoniaceae,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,Windisch
7410,herbaria,Pteridophyta,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,"Windisch, P.G."
7411,herbaria,Pteridophyta,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,"Windisch, P."
7412,herbaria,Pteridophyta,"fern floristics, Cyatheaceae, Dicksoniaceae",Paulo G. Windisch,Windisch
7413,herbaria,Dichapetalaceae,NA,André Marcio Amorim,"Amorim, A.M."
7414,herbaria,Dicksoniaceae,NA,Marcus Lehnert,"Lehnert, M."
7415,herbaria,Pterydophyta?,Dicksonia,,"Palacios-Rios, M."
7416,herbaria,Dicksoniaceae,NA,Alexander Fco. Rojas - Alvarado,"Rojas, A."
7417,herbaria,Dicksoniaceae,NA,Alexander Fco. Rojas - Alvarado,"Rojas-Alvarado, A.F."
7418,herbaria,Dicksoniaceae,NA,Aloysio Sehnem,"Sehnem, A."
7419,herbaria,Dilleniaceae,NA,Gerardo Antonio Aymard Corredor,"Aymard, G."
7420,herbaria,Dilleniaceae,NA,Klaus Kubitzki,"Kubitzki, K."
7421,herbaria,Dilleniaceae,NA,Carol A. Todzia,"Todzia, C.A."
7422,herbaria,Dipentodontaceae?,NA,,"Gonzalez, L."
7423,herbaria,Ebenaceae,NA,Paulo B. Cavalcante,"Cavalcante, P.B."
7424,herbaria,Floristics/Generalist (all families),NA,E. Martinez S.,"Martinez, E."
7425,herbaria,Ebenaceae,NA,Mitchell C. Provance,"Provance, M."
7426,herbaria,Ebenaceae?,NA,,"Salas, E.M."
7427,herbaria,Ebenaceae,NA,Matheus Fortes Santos,"Santos, M.F."
7428,herbaria,Ebenaceae,NA,George E. Schatz,"Schatz, G.E."
7429,herbaria,Ebenaceae,NA,Cynthia A. Sothers,"Sothers, C.A."
7430,herbaria,Chrysobalanaceae,NA,Cynthia A. Sothers,"Sothers, C.A."
7431,herbaria,Ebenaceae,NA,Bruno Wallnöfer,"Wallnofer, B."
7432,herbaria,Ehretiaceae?,NA,,"Saynes V., A."
7433,herbaria,Ehretiaceae,NA,María Goreti Campos Ríos,"Campos, G."
7434,herbaria,Ehretiaceae,NA,María Goreti Campos Ríos,"Campos-Rios, M.G."
7435,herbaria,Ehretiaceae,NA,Javier Estrada,"Estrada, J."
7436,herbaria,Ehretiaceae?,NA,,"Gaviria, J."
7437,herbaria,Ehretiaceae,NA,Marc Gottschling,"Gottschling, M."
7438,herbaria,Ehretiaceae?,NA,,Hasenstab
7439,herbaria,Ehretiaceae?,NA,,"Laroda, N."
7440,herbaria,Ehretiaceae?,NA,,"Mendoza, H."
7441,herbaria,Ehretiaceae,NA,James Spencer Miller,"Miller, J.S."
7442,herbaria,Ehretiaceae,NA,James Spencer Miller,"Miller, J."
7443,herbaria,Ehretiaceae?,NA,,"Rios, G.C."
7444,herbaria,Ehretiaceae,NA,Maria Natividad Sánchez de Stapf,"Stapf, M.N.S."
7445,herbaria,Elaeocarpaceae,NA,D. Alfaro Castañeda,"Castaneda, D.A."
7446,herbaria,Elaeocarpaceae,NA,Marcus A. Nadruz Coelho,"Nadruz, M."
7447,herbaria,Elaeocarpaceae?,NA,,"Smith, D.A."
7448,herbaria,Elaeocarpaceae,NA,Rodolfo Vásquez Martínez,"Vasquez, R."
7449,herbaria,Elaeocarpaceae,NA,Rodolfo Vásquez Martínez,"Martinez, R.V."
7450,herbaria,Ericaceae,NA,E. Ann Powell ,"Powell, E.A."
7451,herbaria,Erythropalaceae?,NA,,"Jimenez, Q."
7452,herbaria,Erythropalaceae,NA,Peter Moller Jorgensen,"Jorgensen, P.M."
7453,herbaria,Erythroxylaceae,NA,James Lucas da Costa-Lima,"Costa-Lima, J.L."
7454,herbaria,Erythroxylaceae,NA,Nancy Hensold,"Hensold, N."
7455,herbaria,Erythroxylaceae,NA,ORLANDO ADOLFO JARA-MUÑOZ,"Jara, A."
7456,herbaria,Erythroxylaceae,NA,ORLANDO ADOLFO JARA-MUÑOZ,"Jara-Munoz, O.A."
7457,herbaria,Erythroxylaceae?,NA,,"Lima, J.L.C."
7458,herbaria,Erythroxylaceae,NA,Joalice de Oliveira Mendonça,"Mendonca, J.O."
7459,herbaria,Escalloniaceae,NA,Silvana M. Sede,"Sede, S.M."
7460,herbaria,Euphorbiaceae,Acalypha,José Maria Cardiel,"Cardiel, J.M."
7461,herbaria,Euphorbiaceae,NA,Daniela dos Santos Carneiro Torres,"Carneiro-Torres, D.S."
7462,herbaria,Euphorbiaceae,NA,MARIA BEATRIZ ROSSI Caruzo,"Caruzo, M.B.R."
7463,herbaria,Euphorbiaceae,NA,Francisco Javier Fernandez Casas,"Casas, F.J.F."
7464,herbaria,Euphorbiaceae,NA,Francisco Javier Fernandez Casas,"Casas, J.F."
7465,herbaria,Euphorbiaceae?,NA,,"Cordeiro, W."
7466,herbaria,Euphorbiaceae,NA,Hans Joachim Esser,"Esser, H.J."
7467,herbaria,Euphorbiaceae,NA,Hans Joachim Esser,"Esser, H."
7468,herbaria,Euphorbiaceae,NA,F.S.T. Sweet,"Fst, S."
7469,herbaria,Euphorbiaceae,NA,F.S.T. Sweet,"Sweet, F.S.T."
7470,herbaria,Floristics/Generalist (all families),NA,Gerdt Guenther Hatschbach,Hatschbach
7471,herbaria,Euphorbiaceae,NA,J.W.F. SLIK,"Jwf, S."
7472,herbaria,Euphorbiaceae,NA,J.W.F. SLIK,"Slik, J.W.F."
7473,herbaria,Euphorbiaceae,NA,ANDRÉ LAURÊNIO DE MELO,"Laurenio, A."
7474,herbaria,Euphorbiaceae,NA,ANDRÉ LAURÊNIO DE MELO,"Melo, A.L."
7475,herbaria,Euphorbiaceae,Manihot,Moises Mendoza,"Mendoza, M."
