order,collection.string,collectioncode.gbif,institutioncode.gbif,name,rightsholder,index.herbariorum.or.working.code,organization,branch,department,section,OBS
500,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)_Instituto Nacional de Pesquisas da Amazônia - INPA","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Instituto Nacional de Pesquisas da Amazônia - INPA,NA,NA,INPA,Instituto Nacional de Pesquisas da Amazônia,Coordenação de Pesquisas em Botânica,NA,Herbário,
501,"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)_Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",Instituto Nacional de Pesquisas da Amazônia (INPA),NA,NA,INPA,Instituto Nacional de Pesquisas da Amazônia,Coordenação de Pesquisas em Botânica,NA,Herbário,
502,HPL_Instituto Plantarum de Estudos da Flora Ltda (HPL),HPL,Instituto Plantarum de Estudos da Flora Ltda (HPL),NA,HPL - Herbário do Jardim Botânico Plantarum,HPL,Jardim Botânico Plantarum,NA,NA,Herbário,
503,"Empresa Pernambucana de Pesquisa Agropecuaria, IPA_IPA","Empresa Pernambucana de Pesquisa Agropecuaria, IPA",IPA,NA,NA,IPA,"Empresa Pernambucana de Pesquisa Agropecuária, IPA",Seção  de Botânica e Ecologia,NA,Herbário Dárdano de Andrade Lima,
504,"Empresa Pernambucana de Pesquisa Agropecuária, IPA_IPA","Empresa Pernambucana de Pesquisa Agropecuária, IPA",IPA,NA,NA,IPA,"Empresa Pernambucana de Pesquisa Agropecuária, IPA",Seção  de Botânica e Ecologia,NA,Herbário Dárdano de Andrade Lima,
505,IPA_IPA,IPA,IPA,NA,NA,IPA,"Empresa Pernambucana de Pesquisa Agropecuária, IPA",Seção  de Botânica e Ecologia,NA,Herbário Dárdano de Andrade Lima,
506,JACA_IPE-CSIC,JACA,IPE-CSIC,NA,NA,JACA,"Instituto Pirenaico de Ecología, C.S.I.C.",NA,NA,Herbario,
507,PS_IPMM,PS,IPMM,NA,NA,IPMM,Iwate Prefectural Museum,,,,not in IH
508,HERB_IPRN,HERB,IPRN,NA,NA,IPRN,Instituto de Pesquisas de Recursos Naturais Renováveis,Secretaria da Agricultura,NA,Herbário,
509,BCTw_IPT,BCTw,IPT,Xiloteca Dr. Calvino Mainieri,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),BCTw,Instituto de Pesquisas Tecnológicas do Estado de São Paulo,,,,
510,CHAPA_IRENAT-CP,CHAPA,IRENAT-CP,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),CHAPA,Colegio de Postgraduados,NA,Botánica,Herbario-Hortorio,
511,VascularPlants_IRVC,VascularPlants,IRVC,NA,NA,IRVC,University of California,NA,UCI Arboretum Mail,UCI Herbarium,
512,LISI_ISA,LISI,ISA,NA,"Instituto Superior de Agronomia, Universidade de Lisboa",LISI,Instituto Superior de Agronomia,NA,NA,Herbário João de Carvalho e Vasconcellos,
513,Pl_ISKW,Pl,ISKW,NA,NA,ISKW,Ishikawa Museum of Natural History,NA,NA,Herbarium,
514,ISC_ISU,ISC,ISU,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),ISU,Illinois State University,NA,Biological Sciences Department,Herbarium,
515,ITA_ITA,ITA,ITA,NA,NA,EURISCO,,,,,
516,HERB_IZAC,HERB,IZAC,NA,NA,IZAC,Universidad Nacional de La Rioja-Sede Chamical,NA,NA,Herbario Regional,
517,PL_JACM,PL,JACM,NA,NA,JACM,Atsugi City Museum,,,,not in IH
518,HEPH_Jardim Botânico de Brasília (JBB),HEPH,Jardim Botânico de Brasília (JBB),NA,HEPH - Herbário Ezechias Paulo Heringer,HEPH,Jardim Botânico de Brasília,Diretoria de Vegetação e Flora,Superintendência Técnico Científica,Herbário Ezechias Paulo Heringer,
519,BGVJBA_JBA,BGVJBA,JBA,NA,Jardín Botánico Atlántico,JBAG,"Jardín Botánico Atlántico, Ayuntamiento de Gijón",NA,NA,Herbario,
520,JBAG_JBAG,JBAG,JBAG,NA,NA,JBAG,"Jardín Botánico Atlántico, Ayuntamiento de Gijón",NA,NA,Herbario,
521,JBAG-LaÃ­nz_JBAG,JBAG-LaÃ­nz,JBAG,NA,NA,JBAG,"Jardín Botánico Atlántico, Ayuntamiento de Gijón",NA,NA,Herbario,
522,JBAG-Laínz_JBAG,JBAG-Laínz,JBAG,NA,NA,JBAG,"Jardín Botánico Atlántico, Ayuntamiento de Gijón",NA,NA,Herbario,
523,JBB_JBBJCM,JBB,JBBJCM,NA,Jardín Botánico José Celestino Mutis,JBB,Jardín Botánico José Celestino Mutis,NA,Subdirección Científica,Herbario,
524,BGJBCLM_JBCLM,BGJBCLM,JBCLM,NA,Jardín Botánico de Castilla-La Mancha,JBCLM,,,,,not in IH
525,JBGP_JBGP,JBGP,JBGP,NA,NA,JBGP,Jardín Botánico de Cartagena “Guillermo Piñeres”,NA,NA,Herbario,
526,HAJB_JBN,HAJB,JBN,NA,NA,JBN,Fundacion Jardin Botanico Nacional,NA,NA,Herbarium,
527,RB_JBRJ,RB,JBRJ,NA,Rio de Janeiro Botanical Garden,RB,Jardim Botânico do Rio de Janeiro,Diretoria de Pesquisa,NA,Herbário Dimitri Sucre,
528,RBw_JBRJ,RBw,JBRJ,NA,Rio de Janeiro Botanical Garden,RBw,Jardim Botânico do Rio de Janeiro,Diretoria de Pesquisa,NA,Herbário Dimitri Sucre,
529,JBRJ herbarium - RB_JBRJ - Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,JBRJ herbarium - RB,JBRJ - Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,NA,NA,RB,Jardim Botânico do Rio de Janeiro,Diretoria de Pesquisa,NA,Herbário Dimitri Sucre,
530,BGVIB_JBS,BGVIB,JBS,NA,Jardí Botànic de Soller,HJBS,Fundació Jardí Botànic de Sóller,NA,NA,Herbario,
531,Fbonafe_JBS,Fbonafe,JBS,NA,Jardí Botànic de Soller,HJBS,Fundació Jardí Botànic de Sóller,NA,NA,Herbario,
532,G_JCJB,G,JCJB,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),G,Conservatoire et Jardin botaniques de la Ville de Genève,NA,NA,Herbarium,
533,JCT_JCT,JCT,JCT,NA,NA,JCT,James Cook University,NA,College of Science and Engineering,Herbarium,
534,JEO_JEO,JEO,JEO,COLECCIONES FLORÍSTICAS Y ETNOBOTÁNICAS DE OAXACA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),JEO,JARDÍN HISTÓRICO ETNOBOTÁNICO DEL CENTRO CULTURAL SANTO DOMINGO,,,,
535,VascularPlants_JEPS,VascularPlants,JEPS,NA,NA,JEPS,University of California,NA,NA,Jepson Herbarium,
536,PL_JNHM,PL,JNHM,NA,NA,PL,Západoceské muzeum,Botanické oddelení,NA,Herbarium,check
537,PL-_JNHM,PL-,JNHM,NA,NA,JNHM,,,,,not in IH
538,PL-OB_JNHM,PL-OB,JNHM,NA,NA,JNMH,,,,,not in IH
539,VascularPlants_JOTR,VascularPlants,JOTR,NA,NA,JOTR,Joshua Tree National Park,NA,NA,Herbarium,
540,HERB_JRM,HERB,JRM,NA,NA,JRM,,,,,not in IH
541,VascularPlants_JROH,VascularPlants,JROH,NA,NA,JROH,"Jasper Ridge Biological Preserve, Stanford University",NA,NA,The Oakmead Herbarium and Collections,
542,VS_JSCM,VS,JSCM,NA,NA,JSCM,Sagamihara City Museum,,,,not in IH
543,HERB_JUA,HERB,JUA,NA,NA,JUA,Universidad Nacional de Jujuy,NA,Facultad de Ciencias Agrarias,Herbarium Jujuy Agronomía,
544,VASC_JYV,VASC,JYV,NA,NA,JYV,University of Jyväskylä,Museum,Section of Natural Sciences,Herbarium,
545,HERB_K,HERB,K,NA,NA,K,Royal Botanic Gardens,NA,NA,Herbarium,
546,Herbarium_K,Herbarium,K,NA,NA,K,Royal Botanic Gardens,NA,NA,Herbarium,
547,Royal Botanic Gardens_K,Royal Botanic Gardens,K,NA,NA,K,Royal Botanic Gardens,NA,NA,Herbarium,
548,Spirit Collection_K,Spirit Collection,K,NA,NA,E,Royal Botanic Garden Edinburgh,NA,NA,Herbarium,
549,Pl_KCMH,Pl,KCMH,NA,NA,KCMH,,,,,not in IH
550,PL-OB_KIWE,PL-OB,KIWE,NA,NA,KIWE,Korea Institutie of Water and Enviroment,,,,not in IH
551,V_KMN,V,KMN,NA,NA,KMN,"Natural History Museum and Botanical Garden, University of Agder",NA,Botany Department,Herbarium KMN,
552,KMNH_KMNH,KMNH,KMNH,NA,NA,KMNH,Kitakyushu Museum of Natural History and Human History,NA,Botany Department,Herbarium,
553,Plant_KNA,Plant,KNA,NA,NA,KH,Korea National Arboretum,NA,NA,Herbarium,
554,plants_KNA,plants,KNA,NA,NA,KH,Korea National Arboretum,NA,NA,Herbarium,
555,p_KOM,p,KOM,NA,NA,KOM,,,,,not in IH
556,Plants_KSTC,Plants,KSTC,NA,NA,KSTC,Emporia State University,Biological Sciences Division,NA,H. A. Stephens Herbarium,
557,KANU_KU,KANU,KU,NA,NA,KU,Kwangsi University,NA,NA,Herbarium,
558,KURA_KURA,KURA,KURA,NA,NA,KURA,,,,,not in IH (http://www2.city.kurashiki.okayama.jp/musnat/english.html)
559,FU_KYUM,FU,KYUM,NA,NA,FU,Kyushu University,"Laboratory of Wood Science, Faculty of Agriculture",Department of Forest and Forest Products Sciences,Herbarium,
560,HERB_L,HERB,L,NA,NA,L,Naturalis,Botany Section,Nationaal Herbarium Nederland,"Due to moving to our new building, could you please not send any parcels until July 2019.",
561,Phanerogam_L,Phanerogam,L,NA,NA,L,Naturalis,Botany Section,Nationaal Herbarium Nederland,"Due to moving to our new building, could you please not send any parcels until July 2019.",
562,VascularPlants_LA,VascularPlants,LA,NA,NA,LA,"University of California, Los Angeles",1035 Terasaki Life Science Bldg,NA,UCLA Herbarium,
563,Herbarium LAGU_LAGU,Herbarium LAGU,LAGU,NA,NA,LAGU,"Asociación Jardín Botánico La Laguna, Urbanización Plan de La Laguna",Sección Técnica-Científica,NA,Herbario,
564,LBM_LBM,LBM,LBM,NA,NA,LBM,,,,,not in IH
565,General_LD,General,LD,NA,NA,LD,Lund University,Biological museum,Botanical Museum,Herbarium,
566,HERB_LD,HERB,LD,NA,NA,LD,Lund University,Biological museum,Botanical Museum,Herbarium,
567,HERB_LE,HERB,LE,NA,NA,LE,Komarov Botanical Institute of RAS,Russian Academy of Sciences,NA,Vascular Plants Herbarium of the Komarov Botanical Institute (LE),
568,BRASIL_LEB,BRASIL,LEB,NA,NA,LEB,Universidad de León,Facultad de Ciencias Biológicas y Ambientales,CRAI-Experimental,"Herbario ""Jaime Andrés Rodríguez""",
569,LEB_LEB,LEB,LEB,NA,NA,LEB,Universidad de León,Facultad de Ciencias Biológicas y Ambientales,CRAI-Experimental,"Herbario ""Jaime Andrés Rodríguez""",
570,GC_LEGON-GC,GC1,LEGON-GC,NA,NA,GC,University of Ghana,NA,Botany Department,Ghana Herbarium,
571,HERB_LIL,HERB,LIL,NA,NA,LIL,Fundación Miguel Lillo,NA,NA,Herbario,
572,LINC_LINC,LINC,LINC,NA,NA,LINC,Lincoln University,Bio-Protection and Ecology Division,NA,Herbarium,
573,Col_LISI_LISI,Col_LISI,LISI,NA,NA,LISI,Instituto Superior de Agronomia,NA,NA,Herbário João de Carvalho e Vasconcellos,
574,HERB_LL,HERB,LL,NA,NA,LL,University of Texas at Austin,NA,NA,Lundell Herbarium,
575,LOMA_LLU,LOMA,LLU,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),LOMA,La Sierra University,NA,Biology Department,Herbarium,
576,Löbbecke Museum Düsseldorf_LMD,Löbbecke Museum Düsseldorf,LMD,NA,NA,LMD,,,,,not in IH
577,LM-AG_LMS,LM-AG,LMS,NA,NA,LMS,"Musée Vert, muséum d'histoire naturelle du Mans",NA,NA,Herbarium,
578,LM-DL_LMS,LM-DL,LMS,NA,NA,LMS,"Musée Vert, muséum d'histoire naturelle du Mans",NA,NA,Herbarium,
579,Universidad Nacional de Loja_LOJA,Universidad Nacional de Loja,LOJA,NA,NA,LOJA,Universidad Nacional de Loja,Facultad de Ciencias Agrícolas,Departamento de Botánica y Ecología,Herbario “Reinaldo Espinosa”,
580,HERB_LP,HERB,LP,NA,NA,LP,Museo de La Plata,División Plantas Vasculares,NA,Herbario,
581,HERB_LPAG,HERB,LPAG,NA,NA,LPAG,Universidad Nacional de La Plata,Facultad de Ciencias Agrarias y Forestales,Area de Botánica,Herbario,
582,HERB_LPB,HERB,LPB,NA,NA,LPB,"Herbario Nacional de Bolivia, Universidad Mayor de San Andrés",NA,NA,NA,
583,HERB_LPS,HERB,LPS,NA,NA,LPS,Universidad Nacional de La Plata,Museo de La Plata,Instituto de Botánica Carlos Spegazzini,Herbario,
584,Vascular Plants_LSU,Vascular Plants,LSU,NA,"Louisiana State University, Shirley C. Tucker Herbarium",LSU,Louisiana State University,NA,Biological Sciences Department,Shirley C. Tucker Herbarium,
585,LTB_LTB,LTB,LTB,NA,NA,LTB,La Trobe University,School of Life Sciences,"Department of Ecology, Environment and Evolution",La Trobe Univeristy Herbarium,
586,Biologie du bois (INERA-LUKI)_LUKI_INERA,Biologie du bois (INERA-LUKI),LUKI_INERA,NA,NA,LUKI,Institut National pour l'Etude et la Recherche Agronomiques,NA,NA,Herbarium de Luki,
587,LVA_LVA,LVA,LVA,NA,NA,EURISCO,,,,,
588,LYJB_LYJB,LYJB,LYJB,NA,NA,LYJB,Jardin botanique de la ville de Lyon,NA,NA,Herbier,
589,Botanische Staatssammlung Muenchen_M,Botanische Staatssammlung Muenchen,M,NA,NA,M,Botanische Staatssammlung München,NA,NA,Herbarium,
590,HERB_M,HERB,M,NA,NA,M,Botanische Staatssammlung München,NA,NA,Herbarium,
591,Phanerogam_M,Phanerogam,M,NA,NA,M,Botanische Staatssammlung München,NA,NA,Herbarium,
592,HERB_MA,HERB,MA,NA,NA,MA,Real Jardín Botánico,NA,NA,Herbario,
593,MA_MA,MA,MA,NA,NA,MA,Real Jardín Botánico,NA,NA,Herbario,
594,VascularPlants_MACF,VascularPlants,MACF,NA,NA,MACF,California State University,NA,Biological Science Department,Herbarium,
595,BA Pa_MACN,BA Pa,MACN,NA,NA,BA,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",NA,NA,Herbario,
596,BA Pb_MACN,BA Pb,MACN,NA,NA,BA,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",NA,NA,Herbario,
597,BA V_MACN,BA V,MACN,NA,NA,BA,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",NA,NA,Herbario,
598,MADUG-BO_MADUG-UGTO,MADUG-BO,MADUG-UGTO,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MADUG,Museo de Historia Natural Alfredo Dugés,,,,not in IH
599,MAF_MAF,MAF,MAF,NA,NA,MAF,"Facultad de Farmacia, Universidad Complutense, Madrid",Unidad de Botánica,"Departamento de Farmacología, Farmacognosia y Botánica",Herbario MAF,
600,ISP_MAK,ISP,MAK,NA,NA,MAK,Tokyo Metropolitan University,NA,NA,Makino Herbarium,
601,HMIM_Marimurtra,HMIM,Marimurtra,NA,NA,HMIM,Jardí Botànic Marimurtra,NA,Technical Department,Herbario,
602,MARS_MARS,MARS,MARS,NA,NA,MARS,Aix-Marseille Université,Faculté des Sciences de Saint-Charles,"Laboratoire de Botanique, Case 4",Herbier,
603,HERB_MARY,HERB,MARY,NA,NA,MARY,University of Maryland,NA,NA,Norton-Brown Herbarium,
604,MBcoll_MB,MBcoll,MB,NA,NA,MB,Philipps University Marburg,NA,NA,Herbarium Marburgense,
605,MBK_MBK,MBK,MBK,NA,NA,MBK,Makino Botanical Garden,NA,Department of Botany,Herbarium,
606,HERB_MBM,HERB,MBM,NA,MBM - Herbário do Museu Botânico Municipal,MBM,Museu Botânico Municipal,Divisão do Museu Botânico Municipal,Prefeitura Municipal de Curitiba - Secretaria Municipal do Meio Ambiente,Herbário,
607,MBM_MBM,MBM,MBM,NA,MBM - Herbário do Museu Botânico Municipal,MBM,Museu Botânico Municipal,Divisão do Museu Botânico Municipal,Prefeitura Municipal de Curitiba - Secretaria Municipal do Meio Ambiente,Herbário,
608,"Museu Botanico Municipal Curritiba, Brasilia_MBM","Museu Botanico Municipal Curritiba, Brasilia",MBM,NA,MBM - Herbário do Museu Botânico Municipal,MBM,Museu Botânico Municipal,Divisão do Museu Botânico Municipal,Prefeitura Municipal de Curitiba - Secretaria Municipal do Meio Ambiente,Herbário,
609,MBML-HERBARIO_MBML,MBML-HERBARIO,MBML,NA,MBML-Herbario - Herbário Mello Leitão,MBML,Instituto Nacional da Mata Atlântica - INMA,Divisão de Ciências,NA,Herbário,
610,MTMG_McGill University,MTMG,McGill University,NA,NA,MTMG,"McGill University, Macdonald Campus",NA,Plant Science Department,Herbarium,
611,BH_MCNAM,BH,MCNAM,NA,NA,MCNAM-BH,Museo de Ciencias Naturales y Antropológicas “Juan Cornelio Moyano”,,,Colección Botánica-Herbario,
612,HERB_MCNS,HERB,MCNS,NA,NA,MCNS,Museo de Ciencias Naturales de Salta,NA,NA,Herbario,
613,MEL_MEL,MEL,MEL,NA,NA,MEL,Royal Botanic Gardens Victoria,NA,NA,National Herbarium of Victoria,
614,MELU_MELU,MELU,MELU,NA,NA,MELU,University of Melbourne,School of BioSciences,NA,Herbarium,
615,NFLD_Memorial University of Newfoundland,NFLD,Memorial University of Newfoundland,NA,NA,NFLD,Memorial University of Newfoundland,NA,Biology Department,Ayre Herbarium,
616,HERB_MERL,HERB,MERL,NA,NA,MERL,"Instituto Argentino de Investigaciones de las Zonas Áridas (IADIZA, CRICYTME)",Unidad Botánica y Fitosociología,NA,Herbario Ruiz Leal,
617,HERB_MEXU,HERB,MEXU,NA,NA,MEXU,Universidad Nacional Autónoma de México,Instituto de Biología,Departamento de Botánica,Herbario Nacional,
618,Universidad Nacional Autonoma de Mexico_MEXU,Universidad Nacional Autonoma de Mexico,MEXU,NA,NA,MEXU,Universidad Nacional Autónoma de México,Instituto de Biología,Departamento de Botánica,Herbario Nacional,
619,Universidad Nacional Autónoma de México_MEXU,Universidad Nacional Autónoma de México,MEXU,NA,NA,MEXU,Universidad Nacional Autónoma de México,Instituto de Biología,Departamento de Botánica,Herbario Nacional,
620,HERB_MG,HERB,MG,NA,NA,MG,Museu Paraense Emílio Goeldi,NA,Departamento de Botânica,Herbário,
621,Museu Paraense Emilio Goeldi_MG,Museu Paraense Emilio Goeldi,MG,NA,NA,MG,Museu Paraense Emílio Goeldi,NA,Departamento de Botânica,Herbário,
622,Museu Paraense Emílio Goeldi_MG,Museu Paraense Emílio Goeldi,MG,NA,NA,MG,Museu Paraense Emílio Goeldi,NA,Departamento de Botânica,Herbário,
623,MGC-Cormof_MGC,MGC-Cormof,MGC,NA,NA,MGC,Universidad de Málaga,Facultad de Ciencias,Departamento de Biología Vegetal,Herbario,
624,AIX_MHNAIX,AIX,MHNAIX,NA,NA,AIX,Muséum d'Histoire Naturelle d'Aix-en-Provence,NA,NA,Herbier,
625,MEX_MHNCM,MEX,MHNCM,NA,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MEX,Museo de Historia Natural de la Ciudad de México,NA,NA,Herbario,
626,Swiss Psyllid (Hemiptera) Collections - Geneva_MHNG,Swiss Psyllid (Hemiptera) Collections - Geneva,MHNG,NA,NA,Swiss Psyllid (Hemiptera) Collections - Geneva,,,,,not in IH
627,HERB_MICH,HERB,MICH,NA,NA,MICH,University of Michigan,NA,NA,Herbarium,
628,University of Michigan_MICH,University of Michigan,MICH,NA,NA,MICH,University of Michigan,NA,NA,Herbarium,
629,MO_Missouri Botanical Garden: Missouri Botanical Garden,MO,Missouri Botanical Garden: Missouri Botanical Garden,NA,NA,MO,Missouri Botanical Garden,NA,NA,Herbarium,
630,Tropicos_Missouri Botanical Garden: Missouri Botanical Garden,Tropicos,Missouri Botanical Garden: Missouri Botanical Garden,NA,NA,MO,Missouri Botanical Garden,NA,NA,Herbarium,
631,Johannes Gutenberg-Universitat_MJG,Johannes Gutenberg-Universitat,MJG,NA,NA,MJG,Johannes Gutenberg-Universität,Institut für Spezielle Botanik und Botanischer Garten,NA,Herbarium,
632,Johannes Gutenberg-Universität_MJG,Johannes Gutenberg-Universität,MJG,NA,NA,MJG,Johannes Gutenberg-Universität,Institut für Spezielle Botanik und Botanischer Garten,NA,Herbarium,
633,MKD_MKD,MKD,MKD,NA,NA,EURISCO,,,,,
634,Angiospermae_MMHNSR,Angiospermae,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
635,Angiospermas_MMHNSR,Angiospermas,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
636,Farmacognosia_MMHNSR,Farmacognosia,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
637,FloraAdventicia_MMHNSR,FloraAdventicia,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
638,FloraApícola_MMHNSR,FloraApícola,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
639,FloraBuenosAires_MMHNSR,FloraBuenosAires,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
640,FloraCatamarca_MMHNSR,FloraCatamarca,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
641,FloraChile_MMHNSR,FloraChile,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
642,FloraCórdoba_MMHNSR,FloraCórdoba,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
643,FloraCultivada_MMHNSR,FloraCultivada,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
644,FloraEntreRíos_MMHNSR,FloraEntreRíos,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
645,FloraEstadosUnidos_MMHNSR,FloraEstadosUnidos,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
646,FloraJujuy_MMHNSR,FloraJujuy,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
647,FloraLaRioja_MMHNSR,FloraLaRioja,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
648,FloraMendocina_MMHNSR,FloraMendocina,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
649,FloraNativa_MMHNSR,FloraNativa,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
650,FloraNeuquén_MMHNSR,FloraNeuquén,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
651,FloraNoroesteArgentino_MMHNSR,FloraNoroesteArgentino,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
652,FloraRegional_MMHNSR,FloraRegional,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
653,FloraRíoNegro_MMHNSR,FloraRíoNegro,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
654,FloraSanJuan_MMHNSR,FloraSanJuan,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
655,FloraSanLuis_MMHNSR,FloraSanLuis,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
656,FloraSantiagodelEstero_MMHNSR,FloraSantiagodelEstero,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
657,FloraTierradelFuego_MMHNSR,FloraTierradelFuego,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
658,FloraTucumán_MMHNSR,FloraTucumán,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
659,FrutosySemillas_MMHNSR,FrutosySemillas,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
660,Patología_MMHNSR,Patología,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
661,Semillas_MMHNSR,Semillas,MMHNSR,NA,Museo Municipal de Historia Natural de San Rafael (MMHNSR),MMHNSR,Museo Municipal de Historia Natural de San Rafael (MMHNSR),,,,not in IH
662,MMPEAAH_MMP,MMPEAAH,MMP,NA,NA,MMPEAAH,,,,,not in IH
663,R_MN,R,MN,NA,R - Herbário do Museu Nacional,R,Museu Nacional,NA,Departamento de Botânica,Herbário,
664,R-TIPOS_MN,R-TIPOS,MN,NA,R - Herbário do Museu Nacional,R,Museu Nacional,NA,Departamento de Botânica,Herbário,
665,HERB_MNES,HERB,MNES,NA,NA,MNES,Universidad Nacional de Misiones,Instituto de Biología Subtropical,NA,Herbario de la Universidad Nacional de Misiones,
666,MNHM-Botany_MNHM,MNHM-Botany,MNHM,NA,NA,MNHM,Naturhistorisches Museum Mainz/Landessammlung für Naturkunde Rheinland-Pfalz,NA,NA,Herbarium,
667,MNHN-HerbariumOesau_MNHM,MNHN-HerbariumOesau,MNHM,NA,NA,MNHN-HerbariumOesau,,,,,not in IH
668,FABR_MNHN,FABR,MNHN,NA,NA,P,Muséum National d'Histoire Naturelle,Phanérogamie,Direction des Collections,Herbier National,
669,P_MNHN,P,MNHN,NA,NA,P,Muséum National d'Histoire Naturelle,Phanérogamie,Direction des Collections,Herbier National,
